transcript_id,58,59,60
g41134.t1,0,0,0
g56929.t1,0,10,0
g53983.t1,122,46,32
g67754.t1,195,0,71
g12267.t1,0,0,0
g3386.t1,0,0,0
g50705.t1,1,0,2
g52913.t1,11,14,23
g11811.t1,30,0,0
g8271.t1,0,0,0
g11243.t1,43,67,174
adi2mcaRNA25527_R0.t1,3,4,0
g64357.t1,1307,1506,2185
g32639.t1,0,0,0
g36182.t1,1143,1948,2316
g58629.t1,282,342,384
g52622.t1,505,586,614
g17403.t1,172,194,137
g54550.t1,2,0,0
g9421.t1,0,0,0
g53851.t1,0,0,0
g44792.t1,288,849,695
g41394.t1,30,2,13
g4792.t1,0,0,3
g32993.t1,42,21,35
g67490.t1,0,0,0
g44442.t1,0,0,1
g56658.t1,1,0,8
g69191.t1,4,4,0
g30202.t1,40,76,130
g69983.t1,1,4,3
g69733.t1,0,0,4
g54038.t1,2028,1774,3980
g6453.t1,12,147,120
g56160.t1,2,8,1
g29137.t1,679,147,614
g63062.t1,24,5,11
g49512.t1,142,127,204
g15564.t1,41,167,145
g14931.t1,0,0,0
g57411.t1,0,0,0
g10435.t1,0,0,0
g22868.t1,0,0,0
g62960.t1,26,43,47
g50860.t1,69,49,44
g5743.t1,8,10,3
g31869.t1,453,356,508
g13496.t1,257,149,244
g16547.t1,0,0,0
g10268.t1,0,0,0
g43077.t1,39,11,23
g360.t1,0,7,0
g24.t1,7,34,97
g61021.t1,22,27,15
g48668.t1,0,0,0
g1057.t1,0,0,0
g285.t1,188,373,957
g33914.t1,4,4,0
adi2mcaRNA24873_R4.t1,7,15,7
g12976.t1,0,0,0
adi2mcaRNA4931_R0.t1,2777,2543,5363
g39445.t1,23,22,22
g7253.t1,19,50,167
g9515.t1,0,0,0
adi2mcaRNA31433_R5.t1,0,15,17
g44092.t1,0,0,0
g30254.t1,3,1,1
g52273.t1,0,0,7
g42591.t1,27,36,0
g17195.t1,1,0,1
g33368.t1,772,1264,1555
g15994.t1,637,792,1036
g24471.t1,0,0,0
adi2mcaRNA715_R2.t1,104,120,163
g66875.t1,44,2,10
g18522.t1,1548,2069,2816
g41221.t1,866,1033,2826
adi2mcaRNA18868_R3.t1,0,0,0
g1154.t1,740,947,877
g37360.t1,83,78,51
g28811.t1,325,284,399
g63036.t1,4,36,14
g14602.t1,740,635,807
g50589.t1,4,4,8
g41203.t1,228,49,52
g60360.t1,319,184,259
g9518.t1,0,0,0
g39429.t1,58,50,75
g58274.t1,329,359,350
g13766.t1,2,2,1
adi2mcaRNA24868_R1.t1,0,0,0
adi2mcaRNA9177_R1.t1,437,0,11
g15414.t1,636,434,680
g40055.t1,0,0,2
g13325.t1,0,0,0
g18089.t1,0,0,0
g27325.t1,1,0,2
g30626.t1,322,308,547
g50734.t1,466,583,1035
g68271.t1,0,3,0
