gene_id,1101.gtf,1548.gtf,1628.gtf,Sample4.gtf,Sample5.gtf,Sample6.gtf
Montipora_capitata_PredGene_g13322,0,0,0,10,8,8
Montipora_capitata_PredGene_g14113,9,66,22,10,6,2
Montipora_capitata_PredGene_g14112,3,46,24,2,12,3
Montipora_capitata_PredGene_g14110,0,0,5,8,2,5
Montipora_capitata_PredGene_g46263,0,0,0,14,1,12
Montipora_capitata_PredGene_g64547,0,0,0,18,22,9
Montipora_capitata_PredGene_g64546,0,0,0,7,11,12
Montipora_capitata_PredGene_g64545,0,0,0,34,31,11
Montipora_capitata_PredGene_g64544,0,0,0,30,17,13
Montipora_capitata_PredGene_g64543,0,0,0,15,12,10
Montipora_capitata_PredGene_g64542,0,0,0,2,6,4
Montipora_capitata_PredGene_g64541,0,0,0,25,21,12
Montipora_capitata_PredGene_g64540,0,0,0,28,13,9
Montipora_capitata_PredGene_g64549,0,0,0,6,6,10
Montipora_capitata_PredGene_g64548,0,0,0,21,19,12
Montipora_capitata_PredGene_g23616,0,0,0,5,7,3
Montipora_capitata_PredGene_adi2mcaRNA29409_R0,546,477,432,28,22,30
Montipora_capitata_PredGene_g67109,0,0,0,5,0,0
Montipora_capitata_PredGene_g16203,2,21,2,13,11,10
Montipora_capitata_PredGene_g8850,0,0,4,0,0,8
Montipora_capitata_PredGene_adi2mcaRNA14205_R4,5,0,0,9,2,7
Montipora_capitata_PredGene_adi2mcaRNA14205_R5,0,8,0,9,0,8
Montipora_capitata_PredGene_g53949,732,661,743,13,10,9
Montipora_capitata_PredGene_g53948,966,732,370,20,26,24
Montipora_capitata_PredGene_g8854,4,0,4,5,9,20
Montipora_capitata_PredGene_g53945,268,314,426,9,9,7
Montipora_capitata_PredGene_g53947,161,184,74,16,17,12
Montipora_capitata_PredGene_g53946,308,167,208,28,29,33
Montipora_capitata_PredGene_g18073,19,12,12,0,5,3
Montipora_capitata_PredGene_g20981,0,3,2,3,4,5
Montipora_capitata_PredGene_g3561,0,0,0,31,9,13
Montipora_capitata_PredGene_g34,0,0,0,2,1,0
Montipora_capitata_PredGene_g20980,224,8,112,32,17,40
Montipora_capitata_PredGene_g15854,0,0,0,0,0,0
Montipora_capitata_PredGene_g15857,3,2,2,6,4,8
Montipora_capitata_PredGene_adi2mcaRNA25756_R1,35,15,17,37,35,34
Montipora_capitata_PredGene_adi2mcaRNA13405_R4,0,4,0,7,11,9
Montipora_capitata_PredGene_g61689,0,0,0,12,4,0
Montipora_capitata_PredGene_g61688,1010,588,619,115,83,108
Montipora_capitata_PredGene_g61686,983,768,476,12,21,18
Montipora_capitata_PredGene_g61685,36,95,143,4,0,0
Montipora_capitata_PredGene_g61683,0,0,0,12,7,5
Montipora_capitata_PredGene_g61682,0,0,3,17,2,11
Montipora_capitata_PredGene_g61681,0,0,0,7,0,8
Montipora_capitata_PredGene_g61680,1,1,4,10,3,7
Montipora_capitata_PredGene_adi2mcaRNA22237_R0,234,180,160,11,0,10
Montipora_capitata_PredGene_g54279,1785,1633,1265,111,82,82
Montipora_capitata_PredGene_g24047,53,74,157,0,0,0
Montipora_capitata_PredGene_g20989,26,16,5,0,0,7
Montipora_capitata_PredGene_g22169,0,0,0,0,11,14
Montipora_capitata_PredGene_g22168,4,3,0,3,7,4
Montipora_capitata_PredGene_g22167,3,3,0,7,7,2
Montipora_capitata_PredGene_g15245,0,0,0,23,7,19
Montipora_capitata_PredGene_g15246,474,657,499,0,21,17
Montipora_capitata_PredGene_g15852,0,0,0,0,0,3
Montipora_capitata_PredGene_g15240,13,13,10,0,4,7
Montipora_capitata_PredGene_g55628,468,298,219,25,32,16
Montipora_capitata_PredGene_g10439,0,1,1,9,9,9
Montipora_capitata_PredGene_g11895,16,14,9,9,4,6
Montipora_capitata_PredGene_g11897,0,0,0,3,1,3
Montipora_capitata_PredGene_g11896,20,7,0,0,0,11
Montipora_capitata_PredGene_g11891,24,83,0,0,8,0
Montipora_capitata_PredGene_g11892,0,32,0,0,7,0
Montipora_capitata_PredGene_g36852,0,0,0,32,9,26
Montipora_capitata_PredGene_adi2mcaRNA18407_R9,0,0,0,17,13,23
Montipora_capitata_PredGene_g11899,21,10,14,9,2,2
Montipora_capitata_PredGene_g11898,0,0,0,8,13,5
Montipora_capitata_PredGene_g63014,2,5,2,3,2,4
Montipora_capitata_PredGene_g63015,4,2,3,2,3,4
Montipora_capitata_PredGene_g63016,0,0,0,0,0,0
Montipora_capitata_PredGene_g63010,0,0,0,0,0,0
Montipora_capitata_PredGene_g63011,4,0,0,0,0,0
Montipora_capitata_PredGene_g63012,0,0,0,0,0,0
Montipora_capitata_PredGene_g63013,0,0,0,0,0,0
Montipora_capitata_PredGene_g69070,27,8,6,20,14,15
Montipora_capitata_PredGene_g69073,179,109,168,7,0,13
Montipora_capitata_PredGene_g69074,304,141,208,0,0,5
Montipora_capitata_PredGene_g69075,3,4,1,12,2,4
Montipora_capitata_PredGene_g10140,278,125,276,15,14,15
Montipora_capitata_PredGene_g10141,301,246,151,57,76,57
Montipora_capitata_PredGene_g10142,0,0,6,0,8,5
Montipora_capitata_PredGene_g10144,87,98,108,12,4,9
Montipora_capitata_PredGene_g10146,0,0,0,6,21,19
Montipora_capitata_PredGene_g10147,0,0,4,8,11,10
Montipora_capitata_PredGene_g10148,0,8,0,5,15,9
Montipora_capitata_PredGene_g24215,0,0,0,1,0,2
Montipora_capitata_PredGene_g62797,19,0,8,0,4,0
Montipora_capitata_PredGene_g10432,0,0,0,27,16,36
Montipora_capitata_PredGene_g62114,0,0,0,6,4,9
Montipora_capitata_PredGene_g69327,51,70,65,0,0,0
Montipora_capitata_PredGene_g62790,700,969,662,56,52,89
Montipora_capitata_PredGene_g10433,7,10,6,18,20,21
Montipora_capitata_PredGene_adi2mcaRNA32118_R5,0,0,0,0,0,0
Montipora_capitata_PredGene_g62791,288,215,300,25,21,15
Montipora_capitata_PredGene_g52397,0,0,0,11,13,6
Montipora_capitata_PredGene_g52396,0,0,0,20,4,14
Montipora_capitata_PredGene_g52395,0,0,0,1,8,5
Montipora_capitata_PredGene_g52394,0,0,0,1,4,8
Montipora_capitata_PredGene_g52393,0,0,0,5,6,2
Montipora_capitata_PredGene_g24211,189,85,144,0,3,0
Montipora_capitata_PredGene_g52391,0,0,0,0,0,2
Montipora_capitata_PredGene_g29481,0,0,0,16,19,9
Montipora_capitata_PredGene_g6222,20,16,26,20,30,12
Montipora_capitata_PredGene_g52399,0,0,0,1,6,7
Montipora_capitata_PredGene_g52398,0,0,0,16,5,11
Montipora_capitata_PredGene_g36263,0,0,0,6,4,0
Montipora_capitata_PredGene_g68309,0,0,0,0,0,0
Montipora_capitata_PredGene_g68308,0,0,0,0,0,0
Montipora_capitata_PredGene_g68301,0,15,0,0,8,0
Montipora_capitata_PredGene_adi2mcaRNA5713_R8,0,2,3,19,17,15
Montipora_capitata_PredGene_g68303,0,0,1,8,10,8
Montipora_capitata_PredGene_g68302,1,5,8,12,18,16
Montipora_capitata_PredGene_g68304,0,0,0,0,0,0
Montipora_capitata_PredGene_g68307,0,0,0,0,0,0
Montipora_capitata_PredGene_g68306,0,0,0,0,0,0
Montipora_capitata_PredGene_g57912,0,0,0,5,4,3
Montipora_capitata_PredGene_adi2mcaRNA7643_R0,1270,917,852,40,52,66
Montipora_capitata_PredGene_g57910,0,0,0,11,29,2
Montipora_capitata_PredGene_g57911,0,0,0,8,6,19
Montipora_capitata_PredGene_g57916,0,0,0,6,0,9
Montipora_capitata_PredGene_g57914,0,0,0,9,2,6
Montipora_capitata_PredGene_g57915,0,0,0,0,0,0
Montipora_capitata_PredGene_g57918,0,0,0,3,0,2
Montipora_capitata_PredGene_adi2mcaRNA29995_R9,0,0,0,3,8,7
Montipora_capitata_PredGene_g13121,138,49,104,14,29,29
Montipora_capitata_PredGene_g23414,0,0,0,11,4,2
Montipora_capitata_PredGene_adi2mcaRNA22300_R3,17,22,18,32,41,50
Montipora_capitata_PredGene_g4437,538,14,437,27,0,41
Montipora_capitata_PredGene_adi2mcaRNA22300_R8,4,0,0,9,25,13
Montipora_capitata_PredGene_g23416,0,0,0,4,3,5
Montipora_capitata_PredGene_g11231,25,21,17,9,24,20
Montipora_capitata_PredGene_g11233,599,317,355,59,32,63
Montipora_capitata_PredGene_g11232,291,499,278,7,10,22
Montipora_capitata_PredGene_g11235,3,3,3,15,11,18
Montipora_capitata_PredGene_g62650,158,105,308,42,50,40
Montipora_capitata_PredGene_g11237,41,24,20,19,34,24
Montipora_capitata_PredGene_g62652,0,0,0,34,42,22
Montipora_capitata_PredGene_g11239,1215,961,445,44,50,43
Montipora_capitata_PredGene_g11238,324,291,328,14,11,10
Montipora_capitata_PredGene_g62659,588,2885,1145,16,8,17
Montipora_capitata_PredGene_g70559,0,4,0,18,34,8
Montipora_capitata_PredGene_g70558,846,742,448,22,24,22
Montipora_capitata_PredGene_g63558,0,0,0,15,24,0
Montipora_capitata_PredGene_g70551,128,68,90,7,9,11
Montipora_capitata_PredGene_g70550,902,840,496,69,81,67
Montipora_capitata_PredGene_adi2mcaRNA11453_R0,939,643,606,15,12,17
Montipora_capitata_PredGene_g70552,15,33,12,29,13,23
Montipora_capitata_PredGene_g70555,6,4,4,26,21,18
Montipora_capitata_PredGene_g70554,9,13,9,49,51,45
Montipora_capitata_PredGene_g70557,82,42,39,14,12,19
Montipora_capitata_PredGene_adi2mcaRNA295_R1,263,173,118,10,13,7
Montipora_capitata_PredGene_g28910,868,864,791,23,13,22
Montipora_capitata_PredGene_g28911,638,297,171,23,13,10
Montipora_capitata_PredGene_g28914,12,17,7,9,5,3
Montipora_capitata_PredGene_g28915,1115,988,1000,29,13,22
Montipora_capitata_PredGene_g3376,0,3,0,10,6,8
Montipora_capitata_PredGene_g3377,6,5,6,18,6,14
Montipora_capitata_PredGene_g28918,0,0,0,20,13,14
Montipora_capitata_PredGene_adi2mcaRNA32298_R2,41,73,84,38,19,32
Montipora_capitata_PredGene_g36346,28,36,74,11,9,10
Montipora_capitata_PredGene_adi2mcaRNA32298_R7,0,35,20,15,23,28
Montipora_capitata_PredGene_g56726,0,0,0,0,0,1
Montipora_capitata_PredGene_adi2mcaRNA5936_R0,195,119,80,15,8,17
Montipora_capitata_PredGene_g61309,213,160,181,9,20,12
Montipora_capitata_PredGene_adi2mcaRNA30901_R6,3,8,8,6,8,15
Montipora_capitata_PredGene_g61303,0,0,0,0,0,2
Montipora_capitata_PredGene_adi2mcaRNA2531_R8,0,3,0,66,25,51
Montipora_capitata_PredGene_adi2mcaRNA2531_R9,0,0,0,79,47,67
Montipora_capitata_PredGene_g53118,22,24,15,11,12,15
Montipora_capitata_PredGene_g53119,0,5,0,12,12,8
Montipora_capitata_PredGene_adi2mcaRNA2531_R0,5,35,0,134,156,128
Montipora_capitata_PredGene_adi2mcaRNA2531_R1,8,38,5,209,193,164
Montipora_capitata_PredGene_adi2mcaRNA2531_R2,14,35,4,152,173,150
Montipora_capitata_PredGene_adi2mcaRNA2531_R3,6,59,4,158,172,123
Montipora_capitata_PredGene_g53112,1105,1094,835,27,22,42
Montipora_capitata_PredGene_g53113,292,227,247,8,5,5
Montipora_capitata_PredGene_adi2mcaRNA2531_R6,0,0,0,96,135,107
Montipora_capitata_PredGene_g53111,415,257,279,14,22,13
Montipora_capitata_PredGene_g17033,25,1,14,7,7,8
Montipora_capitata_PredGene_g31761,0,0,3,14,16,5
Montipora_capitata_PredGene_g70083,77,59,117,26,22,20
Montipora_capitata_PredGene_g70082,134,88,223,10,0,14
Montipora_capitata_PredGene_g70081,194,185,151,13,7,14
Montipora_capitata_PredGene_g70080,14,41,7,1,0,2
Montipora_capitata_PredGene_g70085,2,3,0,8,2,6
Montipora_capitata_PredGene_g70084,26,30,24,13,11,6
Montipora_capitata_PredGene_g70089,251,203,160,46,41,78
Montipora_capitata_PredGene_g31760,30,70,37,10,12,22
Montipora_capitata_PredGene_g38989,0,0,0,18,25,14
Montipora_capitata_PredGene_g38987,0,0,0,5,5,9
Montipora_capitata_PredGene_g38984,0,0,0,5,10,2
Montipora_capitata_PredGene_g38985,16,24,17,17,21,21
Montipora_capitata_PredGene_g38982,229,994,201,24,16,26
Montipora_capitata_PredGene_g38983,0,0,0,20,18,7
Montipora_capitata_PredGene_g38980,10,4,0,17,14,15
Montipora_capitata_PredGene_g38981,0,0,0,15,5,10
Montipora_capitata_PredGene_g39053,0,0,3,15,12,34
Montipora_capitata_PredGene_adi2mcaRNA28016_R8,12,88,39,35,57,34
Montipora_capitata_PredGene_g39051,19,0,26,35,32,51
Montipora_capitata_PredGene_g39050,0,0,0,18,33,11
Montipora_capitata_PredGene_g39057,0,0,0,26,28,18
Montipora_capitata_PredGene_g39056,0,0,0,17,8,12
Montipora_capitata_PredGene_g39054,0,0,0,15,14,15
Montipora_capitata_PredGene_adi2mcaRNA28340_R2,0,0,0,0,6,8
Montipora_capitata_PredGene_g39059,0,0,0,3,5,6
Montipora_capitata_PredGene_g39058,0,0,0,2,4,11
Montipora_capitata_PredGene_g22989,40,18,10,3,5,6
Montipora_capitata_PredGene_g22988,22,27,18,20,5,16
Montipora_capitata_PredGene_g22981,81,84,73,5,0,11
Montipora_capitata_PredGene_g22980,13,6,10,8,8,8
Montipora_capitata_PredGene_g22982,235,288,339,15,11,12
Montipora_capitata_PredGene_g22987,146,112,59,20,25,19
Montipora_capitata_PredGene_g59562,0,0,0,6,5,6
Montipora_capitata_PredGene_g65367,0,1,0,10,16,10
Montipora_capitata_PredGene_adi2mcaRNA38209_R1,480,490,484,24,25,24
Montipora_capitata_PredGene_g20859,0,0,0,26,22,18
Montipora_capitata_PredGene_adi2mcaRNA4853_R0,0,0,0,15,9,5
Montipora_capitata_PredGene_adi2mcaRNA2766_R1,0,0,0,9,9,0
Montipora_capitata_PredGene_g51166,185,66,38,38,18,22
Montipora_capitata_PredGene_g39446,1951,1150,1274,6,6,10
Montipora_capitata_PredGene_g20850,101,91,33,20,13,17
Montipora_capitata_PredGene_g20853,0,0,0,16,5,2
Montipora_capitata_PredGene_g20852,0,0,0,8,3,6
Montipora_capitata_PredGene_g20857,0,0,0,27,8,9
Montipora_capitata_PredGene_g17037,93,55,97,16,18,8
Montipora_capitata_PredGene_g18175,179,138,122,25,11,16
Montipora_capitata_PredGene_g17306,0,2,0,0,0,0
Montipora_capitata_PredGene_g18177,68,4,58,6,0,11
Montipora_capitata_PredGene_g34277,0,0,0,11,11,10
Montipora_capitata_PredGene_g12155,158,203,117,76,61,69
Montipora_capitata_PredGene_g18170,2471,2172,2184,101,13,62
Montipora_capitata_PredGene_g12157,384,652,489,23,24,26
Montipora_capitata_PredGene_g26721,0,0,1,26,16,22
Montipora_capitata_PredGene_g13827,0,2,7,14,12,8
Montipora_capitata_PredGene_adi2mcaRNA5716_R3,0,0,0,28,12,22
Montipora_capitata_PredGene_g47780,0,0,0,7,5,3
Montipora_capitata_PredGene_g31764,79,79,32,33,26,37
Montipora_capitata_PredGene_g58570,0,5,6,23,20,36
Montipora_capitata_PredGene_adi2mcaRNA36081_R0,37,51,144,41,37,34
Montipora_capitata_PredGene_adi2mcaRNA27972_R2,0,0,14,5,14,13
Montipora_capitata_PredGene_adi2mcaRNA27972_R1,0,0,0,5,8,8
Montipora_capitata_PredGene_g27535,0,0,0,21,13,14
Montipora_capitata_PredGene_adi2mcaRNA13455_R0,15,0,0,14,25,17
Montipora_capitata_PredGene_g67429,0,0,0,0,6,5
Montipora_capitata_PredGene_adi2mcaRNA9627_R1,0,0,0,2,7,8
Montipora_capitata_PredGene_g18335,0,0,0,14,15,18
Montipora_capitata_PredGene_g5373,335,381,495,5,6,9
Montipora_capitata_PredGene_g636,1107,1239,968,17,17,30
Montipora_capitata_PredGene_g9589,2,3,1,2,3,1
Montipora_capitata_PredGene_g9588,0,0,0,1,9,8
Montipora_capitata_PredGene_g5371,80,35,36,86,71,97
Montipora_capitata_PredGene_g5000,0,0,0,0,25,28
Montipora_capitata_PredGene_g5001,0,0,0,0,6,6
Montipora_capitata_PredGene_g5002,0,0,0,0,8,6
Montipora_capitata_PredGene_g5003,111,96,69,27,41,56
Montipora_capitata_PredGene_g9585,69,62,57,9,17,13
Montipora_capitata_PredGene_g9584,0,0,0,0,0,3
Montipora_capitata_PredGene_g5006,196,193,276,0,7,0
Montipora_capitata_PredGene_g9586,100,65,45,13,18,9
Montipora_capitata_PredGene_g8186,943,695,688,9,0,20
Montipora_capitata_PredGene_g8187,303,213,248,0,8,8
Montipora_capitata_PredGene_g8184,0,0,0,4,5,8
Montipora_capitata_PredGene_g8185,0,0,0,0,5,7
Montipora_capitata_PredGene_g8189,6,1,2,4,10,4
Montipora_capitata_PredGene_g15736,0,4,0,22,21,6
Montipora_capitata_PredGene_g32478,128,64,72,41,35,47
Montipora_capitata_PredGene_g67420,0,0,0,4,0,1
Montipora_capitata_PredGene_adi2mcaRNA36081_R3,36,54,160,38,37,36
Montipora_capitata_PredGene_g5378,7,3,4,62,51,102
Montipora_capitata_PredGene_adi2mcaRNA23004_R0,72,66,56,9,5,6
Montipora_capitata_PredGene_adi2mcaRNA18864_R8,20,16,0,14,14,14
Montipora_capitata_PredGene_g26185,3,0,0,10,4,11
Montipora_capitata_PredGene_g26184,0,0,0,10,3,11
Montipora_capitata_PredGene_g26187,0,0,0,23,11,12
Montipora_capitata_PredGene_g14657,0,0,0,20,23,15
Montipora_capitata_PredGene_g26181,0,0,0,11,6,6
Montipora_capitata_PredGene_g26180,0,0,0,12,13,0
Montipora_capitata_PredGene_g26183,0,0,0,17,9,4
Montipora_capitata_PredGene_g26182,0,0,0,11,7,0
Montipora_capitata_PredGene_g19223,509,296,122,38,19,15
Montipora_capitata_PredGene_g14659,0,0,0,12,16,12
Montipora_capitata_PredGene_g19225,0,0,0,3,3,1
Montipora_capitata_PredGene_g25980,239,245,98,97,58,75
Montipora_capitata_PredGene_g25981,89,78,102,11,9,11
Montipora_capitata_PredGene_g25982,121,127,126,6,8,12
Montipora_capitata_PredGene_g25983,38,155,149,10,10,8
Montipora_capitata_PredGene_adi2mcaRNA22635_R2,0,0,0,0,9,4
Montipora_capitata_PredGene_g25985,47,53,34,15,0,15
Montipora_capitata_PredGene_g25986,34,23,5,21,15,22
Montipora_capitata_PredGene_g8230,51,1,0,7,2,1
Montipora_capitata_PredGene_g8231,1,1,2,5,8,4
Montipora_capitata_PredGene_g8232,0,0,0,13,15,17
Montipora_capitata_PredGene_g8233,161,107,49,39,19,21
