gene_id,1101.gtf,1548.gtf,1628.gtf,Sample4.gtf,Sample5.gtf,Sample6.gtf
Montipora_capitata_PredGene_adi2mcaRNA22286_R5,0,0,0,2,0,0
Montipora_capitata_PredGene_adi2mcaRNA22286_R1,0,0,0,19,16,10
Montipora_capitata_PredGene_adi2mcaRNA22286_R3,0,0,0,0,0,5
Montipora_capitata_PredGene_g48350,2,0,0,3,3,4
Montipora_capitata_PredGene_g48351,0,0,0,53,48,40
Montipora_capitata_PredGene_g48352,0,0,0,0,0,0
Montipora_capitata_PredGene_g45101,15,0,24,11,11,9
Montipora_capitata_PredGene_g48357,1371,2063,2257,7,0,6
Montipora_capitata_PredGene_g48358,124,81,63,25,34,32
Montipora_capitata_PredGene_g48359,5,0,2,0,5,0
Montipora_capitata_PredGene_g30041,44,48,35,25,11,14
Montipora_capitata_PredGene_g44665,0,3,10,12,15,18
Montipora_capitata_PredGene_g4511,20,13,16,15,30,35
Montipora_capitata_PredGene_g4510,0,0,0,5,6,16
Montipora_capitata_PredGene_g4512,3,4,0,8,12,24
Montipora_capitata_PredGene_adi2mcaRNA29187_R0,2393,1739,1436,21,16,33
Montipora_capitata_PredGene_g4517,0,0,0,8,9,2
Montipora_capitata_PredGene_g4516,0,0,2,19,24,22
Montipora_capitata_PredGene_g4518,1,1,1,2,1,4
Montipora_capitata_PredGene_g16209,9679,6754,11248,0,0,9
Montipora_capitata_PredGene_g56622,0,0,0,8,8,1
Montipora_capitata_PredGene_g56626,0,0,0,8,10,8
Montipora_capitata_PredGene_g56625,0,0,0,3,2,9
Montipora_capitata_PredGene_g56624,0,0,0,15,10,17
Montipora_capitata_PredGene_g56629,0,0,0,5,4,4
Montipora_capitata_PredGene_g16205,40,94,50,26,17,29
Montipora_capitata_PredGene_g16204,0,0,0,0,9,7
Montipora_capitata_PredGene_g16207,715,521,623,21,24,32
Montipora_capitata_PredGene_g16206,44,69,55,24,23,12
Montipora_capitata_PredGene_g44479,0,1,0,2,2,12
Montipora_capitata_PredGene_g44478,0,0,0,0,1,5
Montipora_capitata_PredGene_g36859,3,4,0,13,11,10
Montipora_capitata_PredGene_adi2mcaRNA4649_R0,0,2,0,4,5,4
Montipora_capitata_PredGene_g44473,0,0,0,15,24,30
Montipora_capitata_PredGene_g44472,0,0,0,2,1,4
Montipora_capitata_PredGene_g44475,0,0,2,18,0,13
Montipora_capitata_PredGene_adi2mcaRNA4649_R6,0,0,0,4,2,3
Montipora_capitata_PredGene_g3482,0,0,0,3,2,3
Montipora_capitata_PredGene_g42409,1807,1294,1294,83,46,73
Montipora_capitata_PredGene_g8396,0,0,0,6,1,0
Montipora_capitata_PredGene_g2607,0,0,0,3,2,4
Montipora_capitata_PredGene_g6985,0,272,0,4,14,12
Montipora_capitata_PredGene_adi2mcaRNA1449_R3,0,0,0,18,17,22
Montipora_capitata_PredGene_g8394,0,2,0,13,8,9
Montipora_capitata_PredGene_adi2mcaRNA1449_R4,1,1,0,19,24,11
Montipora_capitata_PredGene_g2604,0,0,0,11,6,19
Montipora_capitata_PredGene_g3483,0,0,0,0,15,31
Montipora_capitata_PredGene_g24164,85,56,67,19,0,5
Montipora_capitata_PredGene_adi2mcaRNA9470_R1,4,0,21,9,15,0
Montipora_capitata_PredGene_adi2mcaRNA27051_R0,95,75,8,141,157,115
Montipora_capitata_PredGene_g50706,6,0,3,10,7,6
Montipora_capitata_PredGene_g50704,299,252,210,7,12,11
Montipora_capitata_PredGene_g50705,5,0,1,8,5,5
Montipora_capitata_PredGene_g65368,5,2,3,13,12,18
Montipora_capitata_PredGene_g50703,28,37,46,2,6,8
Montipora_capitata_PredGene_g50701,0,0,5,0,0,15
Montipora_capitata_PredGene_g65364,1,3,2,4,10,8
Montipora_capitata_PredGene_g65365,0,0,0,4,6,7
Montipora_capitata_PredGene_g65366,0,0,0,8,12,6
Montipora_capitata_PredGene_adi2mcaRNA13250_R0,72,71,45,51,35,24
Montipora_capitata_PredGene_g65360,11,0,0,31,29,26
Montipora_capitata_PredGene_g65361,3,6,4,3,13,5
Montipora_capitata_PredGene_g50708,136,81,130,15,24,5
Montipora_capitata_PredGene_g50709,3,3,6,10,6,5
Montipora_capitata_PredGene_g58575,261,230,266,10,3,11
Montipora_capitata_PredGene_g58574,475,313,382,91,46,72
Montipora_capitata_PredGene_g58577,431,411,329,23,20,16
Montipora_capitata_PredGene_g34798,306,197,228,11,16,12
Montipora_capitata_PredGene_g58571,812,593,785,7,3,0
Montipora_capitata_PredGene_adi2mcaRNA9470_R5,0,0,25,23,12,10
Montipora_capitata_PredGene_g58572,0,0,0,11,14,7
Montipora_capitata_PredGene_adi2mcaRNA18654_R0,24,41,0,13,6,9
Montipora_capitata_PredGene_g58579,371,282,457,33,19,26
Montipora_capitata_PredGene_g58578,14,15,11,18,13,17
Montipora_capitata_PredGene_adi2mcaRNA6526_R9,0,0,0,13,17,0
Montipora_capitata_PredGene_g3481,8,3,9,1,3,4
Montipora_capitata_PredGene_g34793,1,0,1,5,7,6
Montipora_capitata_PredGene_adi2mcaRNA7895_R7,99,0,7,28,31,22
Montipora_capitata_PredGene_adi2mcaRNA6526_R5,4,10,0,35,13,21
Montipora_capitata_PredGene_g35097,36,90,84,17,10,12
Montipora_capitata_PredGene_g34791,13,0,14,17,8,14
Montipora_capitata_PredGene_g35096,241,298,282,30,25,28
Montipora_capitata_PredGene_g49979,0,0,0,7,3,0
Montipora_capitata_PredGene_g57289,0,0,0,5,13,0
Montipora_capitata_PredGene_g57282,0,0,0,0,8,0
Montipora_capitata_PredGene_g57283,28,177,9,33,43,10
Montipora_capitata_PredGene_g49977,741,658,895,28,21,30
Montipora_capitata_PredGene_g49976,182,278,275,11,16,12
Montipora_capitata_PredGene_g49975,713,663,692,30,32,20
Montipora_capitata_PredGene_g49974,0,0,0,4,6,1
Montipora_capitata_PredGene_g12458,0,0,0,3,3,5
Montipora_capitata_PredGene_g12459,7,5,38,12,6,43
Montipora_capitata_PredGene_adi2mcaRNA31376_R2,51,56,48,17,14,19
Montipora_capitata_PredGene_g67769,0,1,0,5,6,8
Montipora_capitata_PredGene_g48899,0,0,3,18,18,14
Montipora_capitata_PredGene_g12450,414,296,266,28,16,23
Montipora_capitata_PredGene_g12451,141,166,162,35,71,29
Montipora_capitata_PredGene_g12452,128,148,114,10,13,13
Montipora_capitata_PredGene_g34794,0,14,14,4,4,6
Montipora_capitata_PredGene_g58326,0,0,0,14,8,18
Montipora_capitata_PredGene_g52638,0,0,0,8,10,14
Montipora_capitata_PredGene_g52639,0,0,0,9,9,6
Montipora_capitata_PredGene_g58327,0,0,0,12,8,4
Montipora_capitata_PredGene_adi2mcaRNA7095_R0,745,778,758,13,12,19
Montipora_capitata_PredGene_g46946,0,7,16,15,9,21
Montipora_capitata_PredGene_g52630,0,0,0,5,6,5
Montipora_capitata_PredGene_g52631,4447,6295,6662,96,47,69
Montipora_capitata_PredGene_g52632,466,421,385,23,17,20
Montipora_capitata_PredGene_g52634,0,0,0,3,0,4
Montipora_capitata_PredGene_g43713,12,11,8,9,15,9
Montipora_capitata_PredGene_g64025,0,0,1,3,10,9
Montipora_capitata_PredGene_g46944,226,305,192,6,18,18
Montipora_capitata_PredGene_g58322,0,0,6,15,5,19
Montipora_capitata_PredGene_g26394,5,5,0,3,10,16
Montipora_capitata_PredGene_g46942,175,138,114,22,22,27
Montipora_capitata_PredGene_g58391,122,98,78,6,13,8
Montipora_capitata_PredGene_g58390,762,719,536,33,43,35
Montipora_capitata_PredGene_g58393,1806,1637,1267,30,18,27
Montipora_capitata_PredGene_g58392,275,234,189,21,9,24
Montipora_capitata_PredGene_g46473,4,3,1,10,17,17
Montipora_capitata_PredGene_g69986,0,0,0,3,1,1
Montipora_capitata_PredGene_g58399,0,0,0,5,0,3
Montipora_capitata_PredGene_g58398,2,0,3,17,8,11
Montipora_capitata_PredGene_g69987,11,5,8,26,24,26
Montipora_capitata_PredGene_g67216,0,0,0,12,11,6
Montipora_capitata_PredGene_g67217,0,0,0,7,5,8
Montipora_capitata_PredGene_g35006,305,250,186,27,12,16
Montipora_capitata_PredGene_g35007,116,59,151,0,11,11
Montipora_capitata_PredGene_g35000,980,822,538,77,89,78
Montipora_capitata_PredGene_g64098,316,224,248,11,9,14
Montipora_capitata_PredGene_g35002,273,356,302,28,29,24
Montipora_capitata_PredGene_g35003,180,120,128,50,64,37
Montipora_capitata_PredGene_g64094,443,264,293,63,24,61
Montipora_capitata_PredGene_g64097,331,433,461,5,3,14
Montipora_capitata_PredGene_g64096,436,566,575,22,21,31
Montipora_capitata_PredGene_g64091,296,446,111,23,19,28
Montipora_capitata_PredGene_g64090,309,287,220,13,5,7
Montipora_capitata_PredGene_g64093,278,216,204,11,6,9
Montipora_capitata_PredGene_g67219,447,930,370,33,16,54
Montipora_capitata_PredGene_g13328,0,0,0,16,13,3
Montipora_capitata_PredGene_adi2mcaRNA30541_R3,0,0,0,3,8,0
Montipora_capitata_PredGene_adi2mcaRNA30541_R2,0,0,0,0,0,0
Montipora_capitata_PredGene_g14118,0,0,0,4,8,4
Montipora_capitata_PredGene_g14117,1,0,0,4,7,7
Montipora_capitata_PredGene_g14116,65,23,10,3,5,3
Montipora_capitata_PredGene_g14115,14,6,11,7,5,3
