"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
"STRG.15595",46.0874432628231,-1.82334413990093,0.721254128508772,-2.52801899889402,0.0114708144469134,0.0447928921013114,"STRG.15595"
"STRG.15597",197.409835940094,-0.801847797356245,0.246301662532499,-3.25555170481418,0.00113172287931014,0.00682317317911968,"STRG.15597"
"STRG.15598",184.807936574603,0.751709429272513,0.260693711344602,2.88349659604506,0.0039328689750087,0.0189711955537776,"STRG.15598"
"STRG.12064",563.132587275674,-0.858796925557777,0.339921043811677,-2.52646001532511,0.0115218503189751,0.0449266100158542,"STRG.12064"
"STRG.12060",71.6940838197026,-1.24152255022119,0.394892457674815,-3.14395103297605,0.00166683328793579,0.00939811192352204,"STRG.12060"
"STRG.18750",108.80196706155,1.89373400749542,0.337414421678455,5.61248685837173,1.99439360874965e-08,4.11233202389873e-07,"STRG.18750"
"STRG.1013",92.3923053431978,0.7792107049295,0.295887683075219,2.63346786466746,0.00845178332395658,0.0352344212081501,"STRG.1013"
"STRG.18759",52.5042662055423,-2.58169159904667,0.457385169150341,-5.64445848526863,1.65701957613025e-08,3.50446541382567e-07,"STRG.18759"
"STRG.14881",30.4899568560628,-3.46207974641771,0.940896188421177,-3.67955550147044,0.000233640837832758,0.00178402242316608,"STRG.14881"
"STRG.18289",1465.27617026579,-0.83751732161358,0.243938281133031,-3.43331648367581,0.000596245681488939,0.00399544343171815,"STRG.18289"
"STRG.22385",183.091969203087,1.28102511963283,0.241064673074892,5.31403089176342,1.07226428716963e-07,1.92511341992759e-06,"STRG.22385"
"STRG.22383",163.515914652197,1.20244128740672,0.304809888891504,3.9448893596583,7.98368322514713e-05,0.000698874323385784,"STRG.22383"
"STRG.16764",151.050081424896,-0.91681611422835,0.296214601891111,-3.09510776435448,0.00196741400735998,0.010794299410286,"STRG.16764"
"STRG.16765",664.195381281334,-0.812279540454135,0.18399932282585,-4.4145789668092,1.01206768595804e-05,0.000113313233205927,"STRG.16765"
"Pocillopora_acuta_HIv1_PredGene_g10882.t1",17.7797883691222,-7.91483558475691,1.36894546404174,-5.78170262633308,7.39483409618242e-09,1.6642653434342e-07,"Pocillopora_acuta_HIv1_PredGene_g10882.t1"
"STRG.15046",149.358564212714,-1.36147289389359,0.54262336515829,-2.50905689159999,0.0121053986051099,0.0467759245974304,"STRG.15046"
"STRG.19483",85.8925033887697,-1.18423954203064,0.410271481572265,-2.88647784509013,0.00389580174236421,0.0188220868378829,"STRG.19483"
"STRG.19151",419.177464335756,1.47206604942767,0.226026818049924,6.51279375663522,7.37657630887389e-11,2.46688848029419e-09,"STRG.19151"
"STRG.19152",65.9226333000334,1.37227434546883,0.451861009430147,3.03693905167749,0.00238993774205246,0.0127087972163551,"STRG.19152"
"STRG.6841",2194.14800827903,-0.944972236137584,0.15256734100272,-6.19380419116525,5.8729179616149e-10,1.66047639540877e-08,"STRG.6841"
"STRG.6840",625.681771105792,1.02622544909715,0.206652465153643,4.96594825681933,6.83661827849609e-07,1.02900239813398e-05,"STRG.6840"
"STRG.6845",134.195527649442,-0.903571019923412,0.355486548307811,-2.54178681085007,0.0110287419846924,0.0434471129575503,"STRG.6845"
"STRG.15867",176.219315852349,2.60052844990895,0.358319424170376,7.25757040922358,3.94104855563704e-13,1.86615624416592e-11,"STRG.15867"
"STRG.15863",298.396674736082,-0.70688439262562,0.189095299997618,-3.7382441162447,0.000185309969615303,0.0014613814589817,"STRG.15863"
"STRG.4992",5353.48638687318,-0.836527724519306,0.197563177066547,-4.23422895369581,2.29337203937466e-05,0.000233404858576966,"STRG.4992"
"STRG.4994",50.1615065288949,1.39226267021579,0.3883608440979,3.58497178944441,0.000337114642699607,0.00244419535829935,"STRG.4994"
"STRG.256",150.988381004941,0.976402302211421,0.326736507643207,2.98834773394114,0.00280490224419962,0.0144241525066325,"STRG.256"
"STRG.252",38.3540708937373,1.28946762662226,0.498416669434354,2.58712781032316,0.00967796866446157,0.0392009014620498,"STRG.252"
"STRG.250",134.245072075431,2.44725338076921,0.344906209144524,7.09541700289818,1.28962031301547e-12,5.62153636649086e-11,"STRG.250"
"STRG.21124",60.2625282536717,-3.99613759380048,0.962839893673092,-4.15036562159447,3.31944605138189e-05,0.000320460549561239,"STRG.21124"
"STRG.21122",36.9491995269328,-3.17062287809426,0.888413047953068,-3.56886122440398,0.000358536267018089,0.00257249471102519,"STRG.21122"
"STRG.10332",1000.33227330134,0.653840105583666,0.17509545177885,3.73419240157925,0.000188318493387416,0.00148195384034137,"STRG.10332"
"STRG.10336",91.818997862269,-1.11505318805706,0.343118193178566,-3.24976410527074,0.00115500773530516,0.00692658092532924,"STRG.10336"
"STRG.20839",97.2551032088476,2.17514128326565,0.452164975461711,4.81050369070401,1.50550423456317e-06,2.07484270008729e-05,"STRG.20839"
"STRG.20834",80.615047579737,1.26666550352658,0.337927277951908,3.74833754529531,0.000178010580498028,0.0014121424960709,"STRG.20834"
"STRG.17573",186.591680999145,-1.13383110754367,0.210786629023082,-5.37904663497187,7.48813117358301e-08,1.38281683786192e-06,"STRG.17573"
"STRG.3508",144.499141477642,-0.894128932103745,0.311506864777154,-2.87033459998831,0.00410037651436876,0.0195981149033128,"STRG.3508"
"STRG.7082",93.5123003557465,1.31822554607451,0.407988240082226,3.23103809513928,0.00123341499769325,0.00731673536464211,"STRG.7082"
"STRG.1866",35.3046818447105,1.26726144295495,0.453360607041545,2.79526148340193,0.00518577522667856,0.0236761458751268,"STRG.1866"
"STRG.14059",206.582660005791,-1.04105778709821,0.260408913865729,-3.99778091941582,6.39390871942886e-05,0.000572110486295718,"STRG.14059"
"STRG.1862",56.7485146063317,1.77645391371744,0.39290805510372,4.52129675287132,6.14619548308419e-06,7.33260991775088e-05,"STRG.1862"
"STRG.1860",2117.44806880233,-1.26823629737246,0.159286388399891,-7.96198790186974,1.69297032809904e-15,1.06572482153834e-13,"STRG.1860"
"STRG.14051",1001.97514500994,-1.04393717816016,0.174088145142515,-5.99660118904451,2.01490076957255e-09,5.13592426996124e-08,"STRG.14051"
"STRG.1868",1288.35128436008,-0.49190129353841,0.148499385858412,-3.31248032235917,0.000924726310064686,0.00575494658824303,"STRG.1868"
"STRG.8509",227.496915618935,1.27078151114715,0.354035392783171,3.58941941131134,0.000331415264324606,0.00240806956889532,"STRG.8509"
"STRG.7336",2111.62249104475,1.55453153503361,0.197481286514159,7.87179161364312,3.49598134516282e-15,2.14396815846761e-13,"STRG.7336"
"STRG.7331",818.964930013324,-1.5985531584828,0.350216682601147,-4.56446890710614,5.00760407892822e-06,6.10351652057521e-05,"STRG.7331"
"STRG.16991",86.3302650599156,-1.71557815035654,0.404269832296248,-4.24364623155796,2.19916951970953e-05,0.000225101985797911,"STRG.16991"
"Pocillopora_acuta_HIv1_PredGene_g17706.t1",12.4364748804209,-4.41709153815969,1.29512824456327,-3.41054374862251,0.000648334820066685,0.00427357873541339,"Pocillopora_acuta_HIv1_PredGene_g17706.t1"
"STRG.23711",269.502392576487,2.4739775949945,0.226092012511762,10.9423485045311,7.23023273434067e-28,1.45989312465182e-25,"STRG.23711"
"STRG.23716",175.794513608992,-0.847516918795703,0.231992346617805,-3.65321068195384,0.000258981564980483,0.00194969484181403,"STRG.23716"
"STRG.12065",28.7142924718084,-1.29080975165348,0.472188100837505,-2.73367700152547,0.0062631450256405,0.0276905790092509,"STRG.12065"
"STRG.4064",142.39734647072,-1.37333848246624,0.263211514735606,-5.21762311138155,1.81233761809455e-07,3.07608739413779e-06,"STRG.4064"
"STRG.6064",721.18527754997,-0.948001556184306,0.222071819029348,-4.26889625314873,1.96442604812845e-05,0.000203212231551924,"STRG.6064"
"STRG.21822",2470.05743511998,-1.86299088049603,0.291019432331644,-6.40160303238094,1.53754001095605e-10,4.89701917477563e-09,"STRG.21822"
"STRG.21821",127.69798562064,1.28554833762364,0.338110590853879,3.80215341488435,0.000143443853598491,0.00116912749374276,"STRG.21821"
"STRG.15381",21.7567110491485,1.5254912169597,0.610130390149256,2.50027082995573,0.0124098394874518,0.0477025493085365,"STRG.15381"
"STRG.13526",134.301543966596,-1.01839250516695,0.313765439040954,-3.24571281107231,0.00117156962566687,0.00701205388650671,"STRG.13526"
"STRG.13525",107.511814512954,0.981517901089206,0.372670779616753,2.63373989798336,0.00844501537210922,0.035213065265781,"STRG.13525"
"STRG.23565",32.2300708399272,-1.66838301783481,0.545546443347714,-3.05818695764357,0.00222680601206016,0.0119970195532031,"STRG.23565"
"STRG.1016",84.9749260243062,-1.42499359971219,0.414636969984611,-3.4367258659185,0.000588791202670001,0.00395415692210418,"STRG.1016"
"Pocillopora_acuta_HIv1_PredGene_g22811.t1",20.739273778338,-8.1376626718116,1.36560475660437,-5.95901752132603,2.53758893556334e-09,6.32270267611901e-08,"Pocillopora_acuta_HIv1_PredGene_g22811.t1"
"STRG.5590",1987.93574260605,-1.19272063983847,0.224936753357674,-5.30247112592539,1.14245540898948e-07,2.03258296912734e-06,"STRG.5590"
"STRG.9076",122.556758170988,-0.933344999872519,0.311393904815246,-2.99731300272651,0.00272370901530973,0.0140776488902859,"STRG.9076"
"STRG.5598",429.890581187392,-1.27053923235454,0.250381566560446,-5.0744120256465,3.88696008150993e-07,6.18992608813668e-06,"STRG.5598"
"STRG.5599",185.490418244066,1.41750757452945,0.252502672468957,5.61383196727835,1.97894394289526e-08,4.08835301252772e-07,"STRG.5599"
"STRG.9079",1161.58560599115,1.71736668568021,0.355011766377515,4.83749229836509,1.3148747807748e-06,1.83696246298453e-05,"STRG.9079"
"STRG.15528",257.863690559365,-0.697055956258175,0.194338608638533,-3.58681149948278,0.000334746125448036,0.0024303159168807,"STRG.15528"
"STRG.4249",262.722948791919,-0.994104650914985,0.304578470878378,-3.2638703846929,0.00109901430657884,0.00665785542137189,"STRG.4249"
"STRG.14298",488.66842589095,-1.92286965826018,0.348854493975884,-5.51195323971692,3.54873212886496e-08,6.99387787790946e-07,"STRG.14298"
"STRG.14299",335.497790979535,-0.601448395149145,0.208124830727672,-2.8898444892245,0.00385432443894403,0.0186680484197146,"STRG.14299"
"STRG.14292",16.9598914042685,-1.79204264793923,0.697595024396911,-2.56888679716214,0.0102025780202042,0.0408465726461709,"STRG.14292"
"STRG.14294",151.228405864512,0.939042251779344,0.295371514941515,3.17919028842466,0.00147687102246867,0.00850631606401961,"STRG.14294"
"STRG.7532",57.7151492136952,1.2114639824973,0.48313293029926,2.50751688928945,0.0121582771037662,0.0469548186308025,"STRG.7532"
"STRG.3629",233.905763339232,0.880653184851387,0.245199487265907,3.59157841099545,0.000328681252602943,0.00239277715968054,"STRG.3629"
"STRG.3626",349.511610032577,-0.590274051780931,0.226938798083046,-2.60102748744146,0.00929450064243029,0.0380145609115107,"STRG.3626"
"STRG.3625",328.832201780099,0.811838749217567,0.284305322767328,2.85551723518721,0.00429667907449784,0.0203680669394191,"STRG.3625"
"STRG.3622",184.443746760797,1.01508466122303,0.239788497084634,4.23325002476974,2.30338182842466e-05,0.000233978553743583,"STRG.3622"
"STRG.3623",1097.26311158066,-0.491583616265541,0.14709219506974,-3.34201020001413,0.000831740042259906,0.00526990293797773,"STRG.3623"
