"","X1041.gtf","X1471.gtf","X1637.gtf","Sample1.gtf","Sample2.gtf","Sample3.gtf"
"Pocillopora_acuta_HIv1_PredGene_g7109.t1",211,226,188,202,222,271
"Pocillopora_acuta_HIv1_PredGene_g17342.t1",682,463,540,587,709,733
"Pocillopora_acuta_HIv1_PredGene_g27608.t1",35,37,28,65,103,89
"Pocillopora_acuta_HIv1_PredGene_g27615.t1",146,160,151,58,63,52
"Pocillopora_acuta_HIv1_PredGene_g27619.t1",310,412,304,409,597,565
"Pocillopora_acuta_HIv1_PredGene_g17344.t1",89,70,63,18,23,17
"Pocillopora_acuta_HIv1_PredGene_1100_t",89,70,63,18,23,17
"Pocillopora_acuta_HIv1_PredGene_g27627.t1",140,140,72,19,16,23
"Pocillopora_acuta_HIv1_PredGene_g1181.t1",1647,1367,1226,427,237,299
"Pocillopora_acuta_HIv1_PredGene_g17345.t1",169,121,196,44,38,58
"Pocillopora_acuta_HIv1_PredGene_g1207.t1",140,70,79,111,93,179
"Pocillopora_acuta_HIv1_PredGene_11575_t",140,70,79,111,93,179
"Pocillopora_acuta_HIv1_PredGene_g1217.t1",49,53,72,12,8,18
"Pocillopora_acuta_HIv1_PredGene_g1217.t2",49,53,72,12,8,18
"Pocillopora_acuta_HIv1_PredGene_g1218.t1",58,85,92,111,79,177
"Pocillopora_acuta_HIv1_PredGene_g1220.t1",250,438,242,95,118,124
"Pocillopora_acuta_HIv1_PredGene_g1221.t1",62,62,56,121,177,271
"Pocillopora_acuta_HIv1_PredGene_g17347.t1",3,4,11,22,18,50
"Pocillopora_acuta_HIv1_PredGene_g1237.t1",146,114,100,116,152,193
"Pocillopora_acuta_HIv1_PredGene_g1238.t1",867,735,615,670,995,880
"Pocillopora_acuta_HIv1_PredGene_g1241.t1",350,309,319,42,117,99
"Pocillopora_acuta_HIv1_PredGene_g17351.t1",17,15,9,34,28,25
"Pocillopora_acuta_HIv1_PredGene_g1243.t1",312,337,233,50,74,85
"Pocillopora_acuta_HIv1_PredGene_g1245.t1",1888,1359,2786,1533,4087,5218
"Pocillopora_acuta_HIv1_PredGene_11618_t",1889,1645,1422,1466,1550,1549
"Pocillopora_acuta_HIv1_PredGene_g1248.t1",1889,1645,1422,1466,1550,1549
"Pocillopora_acuta_HIv1_PredGene_g1261.t1",468,279,276,329,439,444
"Pocillopora_acuta_HIv1_PredGene_g1265.t1",126,244,143,164,276,248
"Pocillopora_acuta_HIv1_PredGene_g1269.t1",130,125,74,16,29,31
"Pocillopora_acuta_HIv1_PredGene_g1270.t1",220,261,175,183,299,262
"Pocillopora_acuta_HIv1_PredGene_g1287.t1",390,123,230,737,224,744
"Pocillopora_acuta_HIv1_PredGene_g1289.t1",1662,1799,1054,2019,2904,1844
"Pocillopora_acuta_HIv1_PredGene_g1293.t1",384,444,265,92,126,99
"Pocillopora_acuta_HIv1_PredGene_g17355.t1",169,129,141,57,54,55
"Pocillopora_acuta_HIv1_PredGene_g1303.t1",36,54,44,158,108,278
"Pocillopora_acuta_HIv1_PredGene_g1302.t1",81,47,152,160,133,255
"Pocillopora_acuta_HIv1_PredGene_g1304.t1",41,41,19,69,147,118
"Pocillopora_acuta_HIv1_PredGene_g1306.t1",44,42,35,69,116,100
"Pocillopora_acuta_HIv1_PredGene_g17356.t1",542,630,421,68,110,121
"Pocillopora_acuta_HIv1_PredGene_g1313.t1",22,25,35,198,138,255
"Pocillopora_acuta_HIv1_PredGene_11676_t",22,25,35,198,138,255
