"","X1041.gtf","X1471.gtf","X1637.gtf","Sample1.gtf","Sample2.gtf","Sample3.gtf"
"Pocillopora_acuta_HIv1_PredGene_g8332.t1",2726,2806,2617,3663,3525,4967
"Pocillopora_acuta_HIv1_PredGene_g8333.t1",499,374,411,864,845,935
"Pocillopora_acuta_HIv1_PredGene_g17358.t1",81,54,41,61,144,105
"Pocillopora_acuta_HIv1_PredGene_g8341.t1",490,318,329,168,126,133
"Pocillopora_acuta_HIv1_PredGene_g8348.t1",259,354,250,784,1360,1113
"Pocillopora_acuta_HIv1_PredGene_g8365.t1",126,178,116,40,34,26
"Pocillopora_acuta_HIv1_PredGene_g8366.t1",160,171,105,32,64,41
"Pocillopora_acuta_HIv1_PredGene_g8371.t1",331,224,277,91,97,123
"Pocillopora_acuta_HIv1_PredGene_g8386.t1",1224,1043,791,715,1602,1075
"Pocillopora_acuta_HIv1_PredGene_g8390.t3",277,167,259,236,239,267
"Pocillopora_acuta_HIv1_PredGene_g8390.t1",277,167,259,236,239,267
"Pocillopora_acuta_HIv1_PredGene_g8390.t2",277,167,259,236,239,267
"Pocillopora_acuta_HIv1_PredGene_g8401.t1",217,218,157,33,19,24
"Pocillopora_acuta_HIv1_PredGene_g17368.t1",361,368,345,353,330,396
"Pocillopora_acuta_HIv1_PredGene_g8418.t1",159,191,130,27,41,35
"Pocillopora_acuta_HIv1_PredGene_g32169.t1",229,243,212,79,109,83
"Pocillopora_acuta_HIv1_PredGene_g32177.t1",897,525,587,725,917,893
"Pocillopora_acuta_HIv1_PredGene_g32180.t1",1024,944,835,852,1387,962
"Pocillopora_acuta_HIv1_PredGene_1126_t",733,604,502,778,773,791
"Pocillopora_acuta_HIv1_PredGene_g17374.t1",733,604,502,778,773,791
"Pocillopora_acuta_HIv1_PredGene_11824_t",98,45,67,15,16,15
"Pocillopora_acuta_HIv1_PredGene_g32191.t1",98,45,67,15,16,15
"Pocillopora_acuta_HIv1_PredGene_g32198.t1",177,156,172,68,52,59
"Pocillopora_acuta_HIv1_PredGene_11832_t",177,156,172,68,52,59
"Pocillopora_acuta_HIv1_PredGene_g32201.t1",340,237,301,77,105,121
"Pocillopora_acuta_HIv1_PredGene_g32205.t1",61,71,28,74,133,149
"Pocillopora_acuta_HIv1_PredGene_g32206.t2",106,99,81,31,29,27
"Pocillopora_acuta_HIv1_PredGene_g32206.t1",106,99,81,31,29,27
"Pocillopora_acuta_HIv1_PredGene_g32216.t1",9,33,23,41,52,69
"Pocillopora_acuta_HIv1_PredGene_g32221.t1",5276,5023,4858,3809,6768,6141
"Pocillopora_acuta_HIv1_PredGene_g32227.t1",49,65,69,76,108,99
"Pocillopora_acuta_HIv1_PredGene_g32231.t1",388,455,476,130,182,173
"Pocillopora_acuta_HIv1_PredGene_g32234.t1",111,208,137,45,43,61
"Pocillopora_acuta_HIv1_PredGene_g32235.t1",5080,5987,5054,467,468,564
"Pocillopora_acuta_HIv1_PredGene_g32236.t1",1250,878,855,1106,1023,1263
"Pocillopora_acuta_HIv1_PredGene_g32239.t1",642,499,510,468,524,628
"Pocillopora_acuta_HIv1_PredGene_g32243.t1",449,283,372,103,55,78
"Pocillopora_acuta_HIv1_PredGene_g32244.t1",629,331,443,392,563,578
"Pocillopora_acuta_HIv1_PredGene_g32249.t1",891,539,644,818,1108,1160
"Pocillopora_acuta_HIv1_PredGene_g32251.t1",1422,1153,1130,1246,2463,1913
"Pocillopora_acuta_HIv1_PredGene_g32256.t1",1110,800,806,840,998,1088
"Pocillopora_acuta_HIv1_PredGene_g32257.t1",374,505,426,686,1118,1006
"Pocillopora_acuta_HIv1_PredGene_g32261.t1",638,506,412,758,667,725
"Pocillopora_acuta_HIv1_PredGene_g17384.t1",188,168,166,44,16,35
"Pocillopora_acuta_HIv1_PredGene_g32277.t1",1751,1389,1461,634,661,602
"Pocillopora_acuta_HIv1_PredGene_g32280.t1",72,70,75,65,122,127
"Pocillopora_acuta_HIv1_PredGene_g32289.t1",518,547,664,87,128,185
"Pocillopora_acuta_HIv1_PredGene_11919_t",668,829,775,219,336,389
"Pocillopora_acuta_HIv1_PredGene_g32290.t1",668,829,775,219,336,389
"Pocillopora_acuta_HIv1_PredGene_g32295.t1",1715,1411,1366,350,296,379
"Pocillopora_acuta_HIv1_PredGene_g18727.t1",823,718,556,933,1064,1021
"Pocillopora_acuta_HIv1_PredGene_g18728.t1",822,1114,840,943,2318,1806
"Pocillopora_acuta_HIv1_PredGene_g18731.t1",1408,1871,1317,1123,2067,1757
"Pocillopora_acuta_HIv1_PredGene_g18732.t1",1227,1004,875,422,332,378
"Pocillopora_acuta_HIv1_PredGene_11939_t",1227,1004,875,422,332,378
"Pocillopora_acuta_HIv1_PredGene_g18734.t1",708,675,583,605,868,739
"Pocillopora_acuta_HIv1_PredGene_11942_t",1057,801,838,621,1380,917
"Pocillopora_acuta_HIv1_PredGene_g18735.t1",1057,801,838,621,1380,917
"Pocillopora_acuta_HIv1_PredGene_g18736.t2",81,92,74,18,19,22
"Pocillopora_acuta_HIv1_PredGene_g18736.t1",81,92,74,18,19,22
"Pocillopora_acuta_HIv1_PredGene_g18737.t1",123,140,137,27,24,20
"Pocillopora_acuta_HIv1_PredGene_g18738.t1",686,420,470,550,562,698
"Pocillopora_acuta_HIv1_PredGene_11948_t",172,224,160,164,279,282
"Pocillopora_acuta_HIv1_PredGene_g18740.t1",172,224,160,164,279,282
"Pocillopora_acuta_HIv1_PredGene_g18743.t1",1159,118,1082,1845,3083,3492
"Pocillopora_acuta_HIv1_PredGene_g17393.t1",957,761,799,105,88,128
"Pocillopora_acuta_HIv1_PredGene_g18765.t1",406,285,441,110,65,116
"Pocillopora_acuta_HIv1_PredGene_g18781.t2",115,120,97,140,147,186
"Pocillopora_acuta_HIv1_PredGene_g18781.t1",115,120,97,140,147,186
"Pocillopora_acuta_HIv1_PredGene_g17396.t1",191,136,137,51,32,60
"Pocillopora_acuta_HIv1_PredGene_g18787.t1",270,256,264,254,307,351
"Pocillopora_acuta_HIv1_PredGene_g18792.t1",1238,984,932,1024,1390,1257
"Pocillopora_acuta_HIv1_PredGene_12001_t",99,112,72,83,154,160
"Pocillopora_acuta_HIv1_PredGene_12002_t",99,112,72,83,154,160
"Pocillopora_acuta_HIv1_PredGene_g18794.t1",99,112,72,83,154,160
"Pocillopora_acuta_HIv1_PredGene_12006_t",426,375,305,122,112,125
"Pocillopora_acuta_HIv1_PredGene_g18799.t1",426,375,305,122,112,125
"Pocillopora_acuta_HIv1_PredGene_12007_t",604,414,524,207,186,230
"Pocillopora_acuta_HIv1_PredGene_g18800.t1",604,414,524,207,186,230
"Pocillopora_acuta_HIv1_PredGene_g18804.t1",259,238,217,55,48,60
"Pocillopora_acuta_HIv1_PredGene_g18805.t3",534,477,432,396,579,453
"Pocillopora_acuta_HIv1_PredGene_g18805.t2",534,477,432,396,579,453
"Pocillopora_acuta_HIv1_PredGene_g18805.t1",534,477,432,396,579,453
"Pocillopora_acuta_HIv1_PredGene_g18806.t1",184,105,114,22,14,17
"Pocillopora_acuta_HIv1_PredGene_g18808.t1",278,266,308,54,39,68
"Pocillopora_acuta_HIv1_PredGene_g18810.t1",252,187,164,41,44,48
"Pocillopora_acuta_HIv1_PredGene_12017_t",252,187,164,41,44,48
"Pocillopora_acuta_HIv1_PredGene_g18817.t1",6,6,4,15,33,22
"Pocillopora_acuta_HIv1_PredGene_g18822.t1",1566,770,895,1481,1061,1321
"Pocillopora_acuta_HIv1_PredGene_g18825.t1",163,100,116,40,27,38
"Pocillopora_acuta_HIv1_PredGene_g18827.t1",359,540,379,77,132,120
"Pocillopora_acuta_HIv1_PredGene_g18830.t1",63,160,106,26,29,26
"Pocillopora_acuta_HIv1_PredGene_g18828.t1",1128,953,1065,1381,3015,2394
"Pocillopora_acuta_HIv1_PredGene_g18838.t1",617,563,730,683,668,902
"Pocillopora_acuta_HIv1_PredGene_g18844.t1",667,661,680,928,1435,1362
"Pocillopora_acuta_HIv1_PredGene_12051_t",667,661,680,928,1435,1362
"Pocillopora_acuta_HIv1_PredGene_g18849.t1",942,1065,996,1367,3197,2942
"Pocillopora_acuta_HIv1_PredGene_g18856.t1",969,985,815,129,141,130
"Pocillopora_acuta_HIv1_PredGene_12065_t",969,985,815,129,141,130
"Pocillopora_acuta_HIv1_PredGene_g17402.t1",384,388,418,134,173,148
"Pocillopora_acuta_HIv1_PredGene_g18858.t1",160,169,100,21,24,23
"Pocillopora_acuta_HIv1_PredGene_g18859.t1",1866,1101,1754,1604,1477,2366
"Pocillopora_acuta_HIv1_PredGene_g18862.t1",241783,270129,225889,36108,50565,47461
"Pocillopora_acuta_HIv1_PredGene_g18863.t1",257,349,395,315,492,548
"Pocillopora_acuta_HIv1_PredGene_12078_t",13805,15132,12573,2203,5282,3950
"Pocillopora_acuta_HIv1_PredGene_g18872.t1",13805,15132,12573,2203,5282,3950
"Pocillopora_acuta_HIv1_PredGene_g18876.t1",40,28,73,120,78,94
"Pocillopora_acuta_HIv1_PredGene_g17408.t1",266,445,343,88,153,153
"Pocillopora_acuta_HIv1_PredGene_1165_t",266,445,343,88,153,153
"Pocillopora_acuta_HIv1_PredGene_g18881.t1",153,184,73,506,564,477
"Pocillopora_acuta_HIv1_PredGene_g18887.t1",28,19,35,174,69,234
"Pocillopora_acuta_HIv1_PredGene_g18889.t1",116,137,111,422,250,487
"Pocillopora_acuta_HIv1_PredGene_12097_t",5821,1537,2754,7255,4942,5666
"Pocillopora_acuta_HIv1_PredGene_g18893.t1",5821,1537,2754,7255,4942,5666
"Pocillopora_acuta_HIv1_PredGene_g18894.t1",167,148,126,124,235,175
"Pocillopora_acuta_HIv1_PredGene_g30055.t1",407,375,372,403,471,513
"Pocillopora_acuta_HIv1_PredGene_g30055.t2",407,375,372,403,471,513
"Pocillopora_acuta_HIv1_PredGene_g30060.t1",1218,1173,1000,319,323,357
"Pocillopora_acuta_HIv1_PredGene_1170_t",122,273,98,22,59,25
"Pocillopora_acuta_HIv1_PredGene_g17413.t1",122,273,98,22,59,25
"Pocillopora_acuta_HIv1_PredGene_g30062.t1",59,68,55,7,11,11
"Pocillopora_acuta_HIv1_PredGene_g30066.t1",170,54,127,5,8,10
"Pocillopora_acuta_HIv1_PredGene_g30067.t1",216,155,178,68,69,73
"Pocillopora_acuta_HIv1_PredGene_12135_t",216,155,178,68,69,73
"Pocillopora_acuta_HIv1_PredGene_g30072.t1",2,1,3,1278,3843,2328
"Pocillopora_acuta_HIv1_PredGene_g30079.t1",963,923,717,299,373,390
"Pocillopora_acuta_HIv1_PredGene_g30081.t1",114,186,177,31,43,46
"Pocillopora_acuta_HIv1_PredGene_g30086.t1",181,128,143,131,176,186
"Pocillopora_acuta_HIv1_PredGene_g30089.t1",107,101,122,87,148,161
"Pocillopora_acuta_HIv1_PredGene_g30092.t1",292,265,245,93,101,117
"Pocillopora_acuta_HIv1_PredGene_12166_t",677,533,418,476,675,554
"Pocillopora_acuta_HIv1_PredGene_g30096.t1",677,533,418,476,675,554
"Pocillopora_acuta_HIv1_PredGene_g17419.t1",1979,1502,1429,692,807,768
"Pocillopora_acuta_HIv1_PredGene_g30102.t1",3027,3352,3212,737,964,830
"Pocillopora_acuta_HIv1_PredGene_g30105.t1",572,258,270,451,441,468
"Pocillopora_acuta_HIv1_PredGene_g17420.t1",2992,3197,2573,4258,9165,7207
"Pocillopora_acuta_HIv1_PredGene_g17420.t2",2992,3197,2573,4258,9165,7207
"Pocillopora_acuta_HIv1_PredGene_g30112.t1",244,141,166,48,64,80
"Pocillopora_acuta_HIv1_PredGene_g30113.t1",617,372,447,719,442,585
"Pocillopora_acuta_HIv1_PredGene_g30117.t1",323,171,169,923,542,890
"Pocillopora_acuta_HIv1_PredGene_g30121.t1",250,234,267,315,381,455
"Pocillopora_acuta_HIv1_PredGene_g30123.t1",49,34,34,59,97,59
"Pocillopora_acuta_HIv1_PredGene_g30124.t1",181,136,199,390,428,483
"Pocillopora_acuta_HIv1_PredGene_g30132.t1",465,338,307,35,37,50
"Pocillopora_acuta_HIv1_PredGene_g30133.t1",617,370,433,182,134,209
"Pocillopora_acuta_HIv1_PredGene_g30134.t1",5,22,15,104,141,152
"Pocillopora_acuta_HIv1_PredGene_g30137.t1",16,29,20,55,59,60
"Pocillopora_acuta_HIv1_PredGene_g30138.t1",286,409,191,399,564,436
"Pocillopora_acuta_HIv1_PredGene_g30142.t1",414,249,229,47,24,33
"Pocillopora_acuta_HIv1_PredGene_12215_t",414,249,229,47,24,33
"Pocillopora_acuta_HIv1_PredGene_g30146.t1",39,38,41,58,56,56
"Pocillopora_acuta_HIv1_PredGene_g30145.t1",263,164,151,229,197,272
"Pocillopora_acuta_HIv1_PredGene_g30150.t1",32,79,12,182,172,146
"Pocillopora_acuta_HIv1_PredGene_g30151.t1",158,264,93,563,364,430
"Pocillopora_acuta_HIv1_PredGene_12226_t",158,264,93,563,364,430
"Pocillopora_acuta_HIv1_PredGene_12229_t",99,149,49,476,303,340
"Pocillopora_acuta_HIv1_PredGene_g30153.t1",99,149,49,476,303,340
"Pocillopora_acuta_HIv1_PredGene_g17427.t1",1632,1448,1365,1321,1818,1498
"Pocillopora_acuta_HIv1_PredGene_1179_t",1632,1448,1365,1321,1818,1498
"Pocillopora_acuta_HIv1_PredGene_g30155.t1",41,67,39,435,415,385
"Pocillopora_acuta_HIv1_PredGene_g30156.t1",45,64,20,397,382,422
"Pocillopora_acuta_HIv1_PredGene_g30157.t1",52,79,19,1041,921,931
"Pocillopora_acuta_HIv1_PredGene_g30158.t1",26,25,0,482,790,625
"Pocillopora_acuta_HIv1_PredGene_g30159.t1",7,24,10,621,831,666
"Pocillopora_acuta_HIv1_PredGene_g30161.t1",3,14,3,227,332,264
"Pocillopora_acuta_HIv1_PredGene_g30163.t1",11,8,7,461,570,518
"Pocillopora_acuta_HIv1_PredGene_g30164.t1",13,16,6,748,517,523
"Pocillopora_acuta_HIv1_PredGene_g30166.t1",39,31,21,1279,1270,1378
"Pocillopora_acuta_HIv1_PredGene_g30168.t1",17,18,0,460,424,414
"Pocillopora_acuta_HIv1_PredGene_g30169.t1",24,0,11,736,461,573
"Pocillopora_acuta_HIv1_PredGene_g30171.t1",33,51,17,3558,3413,3255
"Pocillopora_acuta_HIv1_PredGene_g30172.t1",41,37,15,5178,4676,4720
"Pocillopora_acuta_HIv1_PredGene_g30173.t1",21,9,15,965,504,674
"Pocillopora_acuta_HIv1_PredGene_g30174.t1",4,0,0,248,180,218
"Pocillopora_acuta_HIv1_PredGene_g30175.t1",2,0,0,274,186,203
"Pocillopora_acuta_HIv1_PredGene_1181_t",76,39,52,6,21,10
"Pocillopora_acuta_HIv1_PredGene_g17429.t1",76,39,52,6,21,10
"Pocillopora_acuta_HIv1_PredGene_g30182.t1",57,29,32,115,167,132
"Pocillopora_acuta_HIv1_PredGene_g10004.t1",226,204,135,208,332,299
"Pocillopora_acuta_HIv1_PredGene_g10006.t1",217,369,191,273,318,363
"Pocillopora_acuta_HIv1_PredGene_g10012.t1",134,183,85,287,472,362
"Pocillopora_acuta_HIv1_PredGene_g10013.t1",517,428,319,462,558,447
"Pocillopora_acuta_HIv1_PredGene_g10015.t1",53,60,41,57,76,66
"Pocillopora_acuta_HIv1_PredGene_g10016.t1",822,844,528,1633,2633,1794
"Pocillopora_acuta_HIv1_PredGene_g10018.t1",873,722,599,816,1558,986
"Pocillopora_acuta_HIv1_PredGene_g10019.t1",64,78,22,97,158,79
"Pocillopora_acuta_HIv1_PredGene_12278_t",64,78,22,97,158,79
"Pocillopora_acuta_HIv1_PredGene_12280_t",64,78,22,97,158,79
"Pocillopora_acuta_HIv1_PredGene_g10021.t1",456,463,286,293,738,440
"Pocillopora_acuta_HIv1_PredGene_g10030.t1",183,128,101,30,55,45
"Pocillopora_acuta_HIv1_PredGene_g17434.t1",1112,791,897,1277,987,1369
"Pocillopora_acuta_HIv1_PredGene_g10043.t1",278,249,210,196,248,258
"Pocillopora_acuta_HIv1_PredGene_g10048.t1",322,405,290,61,79,75
"Pocillopora_acuta_HIv1_PredGene_12318_t",466,383,407,565,1193,862
"Pocillopora_acuta_HIv1_PredGene_g10052.t1",466,383,407,565,1193,862
"Pocillopora_acuta_HIv1_PredGene_g10054.t1",261,226,276,46,70,87
"Pocillopora_acuta_HIv1_PredGene_g10053.t1",211,211,187,30,44,29
"Pocillopora_acuta_HIv1_PredGene_g10056.t1",252,160,220,33,26,55
"Pocillopora_acuta_HIv1_PredGene_g10057.t1",238,123,205,49,46,75
"Pocillopora_acuta_HIv1_PredGene_114_t",686,749,794,672,660,846
"Pocillopora_acuta_HIv1_PredGene_g7122.t1",686,749,794,672,660,846
"Pocillopora_acuta_HIv1_PredGene_g17436.t1",526,494,505,477,607,642
"Pocillopora_acuta_HIv1_PredGene_g10065.t1",430,301,244,98,51,96
"Pocillopora_acuta_HIv1_PredGene_g10068.t1",731,628,499,127,101,151
"Pocillopora_acuta_HIv1_PredGene_g10076.t1",582,253,310,1117,310,632
"Pocillopora_acuta_HIv1_PredGene_12343_t",582,253,310,1117,310,632
"Pocillopora_acuta_HIv1_PredGene_12344_t",144,103,120,108,121,162
"Pocillopora_acuta_HIv1_PredGene_g10077.t1",144,103,120,108,121,162
"Pocillopora_acuta_HIv1_PredGene_g10090.t1",47,101,51,78,140,81
"Pocillopora_acuta_HIv1_PredGene_12358_t",47,101,51,78,140,81
"Pocillopora_acuta_HIv1_PredGene_g10088.t1",47,101,51,78,140,81
"Pocillopora_acuta_HIv1_PredGene_g10097.t1",607,416,448,435,619,624
"Pocillopora_acuta_HIv1_PredGene_12366_t",9,25,17,27,46,43
"Pocillopora_acuta_HIv1_PredGene_g10099.t1",9,25,17,27,46,43
"Pocillopora_acuta_HIv1_PredGene_g10101.t1",319,199,236,260,356,392
"Pocillopora_acuta_HIv1_PredGene_12368_t",319,199,236,260,356,392
"Pocillopora_acuta_HIv1_PredGene_g17441.t1",209,158,112,30,53,31
"Pocillopora_acuta_HIv1_PredGene_g10108.t1",841,761,531,544,873,810
"Pocillopora_acuta_HIv1_PredGene_g10103.t1",1419,1400,1177,1444,1743,1846
"Pocillopora_acuta_HIv1_PredGene_g17442.t1",524,401,415,335,470,449
"Pocillopora_acuta_HIv1_PredGene_g194.t1",117,153,145,191,282,189
"Pocillopora_acuta_HIv1_PredGene_g197.t1",342,344,342,105,114,164
"Pocillopora_acuta_HIv1_PredGene_g196.t1",152,107,129,41,54,52
"Pocillopora_acuta_HIv1_PredGene_12396_t",784,739,818,273,314,419
"Pocillopora_acuta_HIv1_PredGene_g205.t1",784,739,818,273,314,419
"Pocillopora_acuta_HIv1_PredGene_g204.t1",25,14,35,34,40,56
"Pocillopora_acuta_HIv1_PredGene_g208.t1",353,320,401,135,96,125
"Pocillopora_acuta_HIv1_PredGene_g242.t1",1144,1364,1050,1230,1343,1675
"Pocillopora_acuta_HIv1_PredGene_g242.t2",1144,1364,1050,1230,1343,1675
"Pocillopora_acuta_HIv1_PredGene_g249.t1",1335,1183,1280,549,606,673
"Pocillopora_acuta_HIv1_PredGene_g7120.t1",800,788,913,1354,2990,2610
"Pocillopora_acuta_HIv1_PredGene_g259.t1",658,1064,699,1661,2557,2405
"Pocillopora_acuta_HIv1_PredGene_g260.t1",230,250,191,77,65,96
"Pocillopora_acuta_HIv1_PredGene_g264.t1",9,19,9,20,25,32
"Pocillopora_acuta_HIv1_PredGene_g267.t1",14,8,0,28,23,34
"Pocillopora_acuta_HIv1_PredGene_g268.t1",459,537,412,612,739,836
"Pocillopora_acuta_HIv1_PredGene_g272.t1",275,195,128,51,27,35
"Pocillopora_acuta_HIv1_PredGene_g280.t1",158,137,128,37,35,49
"Pocillopora_acuta_HIv1_PredGene_g282.t1",114,102,119,20,13,21
"Pocillopora_acuta_HIv1_PredGene_1203_t",353,354,400,84,101,133
"Pocillopora_acuta_HIv1_PredGene_g17450.t1",353,354,400,84,101,133
"Pocillopora_acuta_HIv1_PredGene_g298.t1",117,205,118,161,231,158
"Pocillopora_acuta_HIv1_PredGene_g304.t1",563,458,414,212,217,184
"Pocillopora_acuta_HIv1_PredGene_g17453.t1",340,486,626,66,68,83
"Pocillopora_acuta_HIv1_PredGene_g322.t1",347,154,258,75,55,71
"Pocillopora_acuta_HIv1_PredGene_g17454.t2",851,1031,785,1433,1677,1792
"Pocillopora_acuta_HIv1_PredGene_g17454.t1",851,1031,785,1433,1677,1792
"Pocillopora_acuta_HIv1_PredGene_g30981.t1",199,192,214,54,82,87
"Pocillopora_acuta_HIv1_PredGene_g17461.t1",189,155,187,217,623,436
"Pocillopora_acuta_HIv1_PredGene_g31001.t1",128,163,162,34,55,52
"Pocillopora_acuta_HIv1_PredGene_g31002.t1",1083,744,713,784,873,859
"Pocillopora_acuta_HIv1_PredGene_g31009.t1",835,533,620,244,231,196
"Pocillopora_acuta_HIv1_PredGene_g31010.t1",408,240,303,336,313,503
"Pocillopora_acuta_HIv1_PredGene_g31018.t1",182,100,180,333,274,429
"Pocillopora_acuta_HIv1_PredGene_g31030.t1",396,199,224,103,53,57
"Pocillopora_acuta_HIv1_PredGene_g31039.t1",260,212,235,654,535,559
"Pocillopora_acuta_HIv1_PredGene_g31038.t1",484,390,400,847,616,633
"Pocillopora_acuta_HIv1_PredGene_g17468.t1",148,109,130,20,34,41
"Pocillopora_acuta_HIv1_PredGene_g31055.t1",1120,1151,998,750,2225,1551
"Pocillopora_acuta_HIv1_PredGene_g17469.t1",401,256,210,256,345,311
"Pocillopora_acuta_HIv1_PredGene_g31062.t1",1591,1603,1516,1649,1920,2073
"Pocillopora_acuta_HIv1_PredGene_12627_t",1591,1603,1516,1649,1920,2073
"Pocillopora_acuta_HIv1_PredGene_g31060.t1",2924,2159,1547,2919,3553,2740
"Pocillopora_acuta_HIv1_PredGene_g31061.t1",341,301,282,49,72,105
"Pocillopora_acuta_HIv1_PredGene_g31074.t1",690,551,567,191,233,234
"Pocillopora_acuta_HIv1_PredGene_g24913.t1",523,474,440,109,136,132
"Pocillopora_acuta_HIv1_PredGene_g17471.t1",620,405,449,1220,1152,1354
"Pocillopora_acuta_HIv1_PredGene_g24915.t1",5950,4152,4460,1853,2119,2092
"Pocillopora_acuta_HIv1_PredGene_g24919.t1",16,6,0,48,28,22
"Pocillopora_acuta_HIv1_PredGene_g24920.t1",5,0,3,41,13,19
"Pocillopora_acuta_HIv1_PredGene_g24933.t1",1364,1173,1144,930,1149,1160
"Pocillopora_acuta_HIv1_PredGene_g24932.t1",125,104,99,37,32,31
"Pocillopora_acuta_HIv1_PredGene_g24935.t1",56,46,68,8,11,15
"Pocillopora_acuta_HIv1_PredGene_g24950.t1",891,802,849,564,1015,947
"Pocillopora_acuta_HIv1_PredGene_g24959.t1",37,43,41,70,110,114
"Pocillopora_acuta_HIv1_PredGene_g24966.t1",348,353,271,131,144,140
"Pocillopora_acuta_HIv1_PredGene_g24967.t1",123,84,44,121,104,102
"Pocillopora_acuta_HIv1_PredGene_12706_t",15,19,18,26,55,23
"Pocillopora_acuta_HIv1_PredGene_g24970.t1",15,19,18,26,55,23
"Pocillopora_acuta_HIv1_PredGene_g17477.t1",329,207,211,83,103,93
"Pocillopora_acuta_HIv1_PredGene_g24980.t1",146,167,108,40,50,42
"Pocillopora_acuta_HIv1_PredGene_g24993.t1",200,174,171,45,62,82
"Pocillopora_acuta_HIv1_PredGene_g24994.t1",426,262,233,119,69,48
"Pocillopora_acuta_HIv1_PredGene_g24999.t1",237,137,217,54,41,91
"Pocillopora_acuta_HIv1_PredGene_g25002.t1",364,208,269,347,435,382
"Pocillopora_acuta_HIv1_PredGene_g25003.t1",397,331,237,113,138,136
"Pocillopora_acuta_HIv1_PredGene_12738_t",397,331,237,113,138,136
"Pocillopora_acuta_HIv1_PredGene_12740_t",397,331,237,113,138,136
"Pocillopora_acuta_HIv1_PredGene_g17480.t1",208,154,180,60,85,75
"Pocillopora_acuta_HIv1_PredGene_g25010.t1",315,321,289,300,696,569
"Pocillopora_acuta_HIv1_PredGene_g25011.t3",643,403,435,193,188,231
"Pocillopora_acuta_HIv1_PredGene_g25011.t2",643,403,435,193,188,231
"Pocillopora_acuta_HIv1_PredGene_g25011.t1",643,403,435,193,188,231
