gene_id,54,57,65
g2367,10,24,10
g70812,31,18,11
adi2mcaRNA12308_R7,68,20,41
adi2mcaRNA39113_R0,216,148,175
adi2mcaRNA24291_R8,140,36,96
g9275,84,42,78
g6348,10,12,12
g47881,79,0,52
g42551,19,10,19
g32281,125,46,83
g36796,43,22,35
g63165,19,18,19
g59731,57,30,33
g37454,14,0,4
g60119,14,68,77
adi2mcaRNA30108_R0,150,52,105
g41098,40,27,51
g23655,10,7,4
g2894,53,35,104
g2954,31,19,23
g9743,15,8,42
g65448,48,46,63
g68664,63,0,40
g11038,14,8,3
g54623,10,13,10
g12500,9,6,18
g60150,178,78,135
g3850,20,2,45
g1688,29,13,4
g14460,17,13,27
g17942,29,25,13
g57007,65,38,50
g67458,49,35,43
adi2mcaRNA5730_R1,15,6,0
g10576,13,16,7
g12146,0,1,1
g36307,66,20,51
g61922,125,46,31
g5101,16,6,13
g7830,16,33,24
adi2mcaRNA3471_R4,19,15,20
g22507,19,10,15
g28265,44,24,46
g32708,44,20,22
g3163,11,3,8
g58119,61,66,63
g17802,6,5,7
g60028,55,44,49
g57076,40,36,28
g13792,185,146,156
g42843,44,32,40
adi2mcaRNA11884_R1,66,46,61
g20505,110,74,75
g30600,28,20,29
g64450,17,6,13
g45641,26,14,17
g55435,62,36,58
g33421,6,4,5
g33835,129,134,167
g14863,84,40,41
g52816,7,9,10
adi2mcaRNA15360_R1,13,25,55
g27931,40,12,18
g44448,5,0,0
g54626,17,4,11
g50415,47,23,34
g47932,36,12,19
g60418,0,15,19
g16536,10,8,18
g16898,71,23,36
g1269,22,22,14
g15749,23,9,33
g51445,0,3,3
adi2mcaRNA17305_R5,60,43,33
g3577,4,0,5
g10617,12,7,6
g29670,67,47,77
adi2mcaRNA28523_R5,22,10,0
g30982,2,3,0
adi2mcaRNA29054_R0,81,60,86
g32205,28,22,49
g53664,8,27,21
g66739,15,11,14
g35101,43,29,41
g69852,15,0,25
adi2mcaRNA14457_R2,44,84,35
g10505,15,11,9
adi2mcaRNA18727_R0,156,74,136
g29058,39,25,34
g24283,289,177,156
adi2mcaRNA18830_R1,78,51,71
g52294,35,12,32
g12345,28,25,16
adi2mcaRNA22596_R3,178,96,166
g16037,3,0,6
adi2mcaRNA32317_R4,50,60,39
g63899,0,4,0
g42283,22,11,20
g47944,36,15,26
g19623,0,10,4
g67586,48,50,0
g39986,45,22,40
g14314,18,25,30
g32294,16,17,25
g17873,42,42,108
g7440,70,32,48
g25048,64,36,61
g28603,50,17,55
g38675,12,13,25
g53283,76,50,59
g45858,33,24,33
adi2mcaRNA17570_R2,35,10,22
g9560,67,31,65
g25984,13,0,0
g56890,37,18,25
g45154,72,87,77
g37484,36,34,42
g33755,281,248,301
adi2mcaRNA31180_R1,82,48,82
g70899,78,60,74
g25243,110,49,97
adi2mcaRNA23414_R4,54,26,94
g36460,37,20,35
g56010,1,2,1
g15569,7,8,9
g21888,25,19,24
adi2mcaRNA9101_R4,13,22,64
adi2mcaRNA1577_R9,213,0,55
g52920,42,26,36
g36923,27,35,33
g37486,45,38,39
g50601,41,35,25
g60636,12,3,7
g63888,7,16,10
g16562,0,2,12
g668,11,5,12
g14288,43,36,35
g19770,52,19,64
g29101,54,38,17
g25914,50,22,108
g10865,22,19,10
g45766,78,12,43
g23032,31,27,24
g726,35,23,14
g54144,52,18,0
adi2mcaRNA27930_R6,62,31,42
g56302,264,218,2
g23387,27,18,36
adi2mcaRNA18100_R9,34,21,21
g51651,82,18,88
g50222,20,15,6
adi2mcaRNA7057_R1,25,38,64
g34763,8,5,6
g42017,14,8,12
adi2mcaRNA22630_R2,56,18,34
g46055,6,12,10
g50774,115,61,86
g7608,8,5,11
g3289,40,19,36
g69748,43,9,18
g17060,13,0,0
g70699,15,12,24
g15572,65,36,54
g67612,30,25,13
g62831,8,0,0
g45999,6,6,5
g61618,232,110,32
adi2mcaRNA39206_R0,48,31,47
g46881,25,13,11
g57195,28,12,21
g41555,31,19,86
g8437,0,5,5
g7522,31,41,34
g3947,21,42,89
g56407,30,0,14
g48200,10,1,3
g4495,4,4,10
g30162,76,46,45
g56120,80,10,70
g56507,38,21,32
g64500,0,0,30
g58547,39,24,25
g30308,18,12,18
g27016,37,31,39
g45867,15,16,10
g48815,29,19,24
adi2mcaRNA19173_R2,51,36,27
g4119,11,6,8
g1536,10,1,15
g55250,10,6,17
g65144,7,5,14
g60500,29,20,33
g27550,34,23,36
adi2mcaRNA29845_R0,182,92,155
g15062,47,47,75
g27301,47,16,25
g41073,14,22,21
g69254,32,2,27
g62331,5,2,5
g67420,11,0,0
g61840,29,9,14
g10129,31,21,10
g61250,9,4,3
g34835,19,11,6
g62547,6,1,1
adi2mcaRNA36741_R2,37,2,3
g15868,34,18,19
g41392,118,67,74
g63384,96,26,47
g61882,68,11,2
g26499,38,22,34
g48242,117,53,53
adi2mcaRNA8449_R6,48,39,11
g24365,68,30,21
g1907,19,30,30
g40470,113,56,80
g19638,11,9,24
adi2mcaRNA41351_R1,121,67,88
g1746,1,12,1
g2390,1,2,1
g46853,38,45,45
g37570,46,23,28
g1721,44,28,54
adi2mcaRNA35598_R3,20,15,23
adi2mcaRNA8105_R6,22,9,0
adi2mcaRNA15523_R5,0,0,78
g67850,44,23,40
g59095,55,20,36
g1642,73,43,59
g62101,72,39,95
g57846,4,0,22
g51622,20,17,19
g15487,22,13,20
adi2mcaRNA23362_R0,106,58,74
adi2mcaRNA36098_R3,158,43,87
g4381,18,10,1
g46699,43,16,29
g47339,19,17,22
g44008,11,5,10
g51934,40,27,35
g17399,34,32,37
g63107,22,21,34
g19934,2,5,2
g14749,4,0,18
adi2mcaRNA20508_R0,19,19,34
g56213,17,10,5
g28099,23,14,32
g3020,21,0,6
g64775,14,2,2
g24819,54,24,47
g22061,30,26,24
g59170,26,0,7
g7172,10,24,29
g41428,23,9,18
g25919,15,7,46
g17052,36,28,14
g2343,12,5,7
g69623,29,25,32
g38133,292,119,284
g7237,8,21,20
adi2mcaRNA24336_R4,0,6,9
g11110,19,22,8
g68685,11,0,23
g49086,24,12,13
g48012,21,34,54
adi2mcaRNA29050_R6,29,10,36
adi2mcaRNA40359_R6,60,35,78
g48185,10,0,7
g36203,9,7,25
adi2mcaRNA35433_R2,17,7,15
g62691,129,84,94
g54487,284,169,260
g38239,75,76,97
g35203,12,15,16
g68061,17,12,20
g41505,31,16,32
g19503,37,20,9
g40075,43,30,8
g23022,13,11,9
g29324,63,46,39
g54388,6,2,5
g1587,105,41,69
g33427,250,135,179
g29658,61,20,19
g44124,12,9,17
g22279,28,6,16
g11012,7,2,3
adi2mcaRNA16131_R0,23,8,38
g14341,4,9,25
g12994,16,13,20
g21309,5,0,2
