Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
1041_1	48.9919984244	136.693215308	18573932.0	9.09090909091	43.0
1041_1P	44.3150120984	147.979988691	11415345.0	9.09090909091	43.0
1041_1U	35.5515747777	118.694913116	7158587.0	9.09090909091	43.0
1041_2	33.1806573775	141.821765793	11442983.0	0.0	43.0
1041_2P	33.1618643097	141.890319565	11415345.0	0.0	43.0
1041_2U	2.11303278095	113.506946957	27638.0	9.09090909091	42.0
1101_1	48.9919984244	136.693215308	18573932.0	9.09090909091	43.0
1101_1P	38.248920821	148.817477194	14279432.0	9.09090909091	43.0
1101_1U	29.230959676	108.746577097	7289061.0	9.09090909091	43.0
1101_2	33.1806573775	141.821765793	11442983.0	0.0	43.0
1101_2P	36.5697662283	146.570999043	14279432.0	9.09090909091	43.0
1101_2U	1.46476047153	124.483069977	19935.0	9.09090909091	44.0
1471_1	48.9919984244	136.693215308	18573932.0	9.09090909091	43.0
1471_1P	45.1531944904	146.712279077	8494238.0	9.09090909091	45.0
1471_1U	43.5204115602	121.551258062	8387783.0	9.09090909091	44.0
1471_2	33.1806573775	141.821765793	11442983.0	0.0	43.0
1471_2P	44.721434789	142.874337992	8494238.0	27.2727272727	46.0
1471_2U	9.14384300194	131.500341456	55644.0	36.3636363636	45.0
1548_1P	31.6381077712	149.00208652	11642352.0	9.09090909091	45.0
1548_1U	23.6464197981	107.456654328	5942208.0	9.09090909091	45.0
1548_2P	30.0794983134	146.394784576	11642352.0	9.09090909091	45.0
1548_2U	0.83626227124	121.66319234	16502.0	9.09090909091	45.0
1628_1P	40.8110680183	148.921453398	13860676.0	9.09090909091	42.0
1628_1U	32.6885269302	107.438693493	7711033.0	9.09090909091	43.0
1628_2P	38.9365744385	146.624334268	13860676.0	9.09090909091	43.0
1628_2U	1.77189917644	123.126079361	20035.0	9.09090909091	43.0
1637_1	48.9919984244	136.693215308	18573932.0	9.09090909091	43.0
1637_1P	41.4779978289	146.99729484	9124785.0	18.1818181818	45.0
1637_1U	38.2998706525	121.031493115	7633859.0	18.1818181818	45.0
1637_2	33.1806573775	141.821765793	11442983.0	0.0	43.0
1637_2P	39.1426501385	143.859593404	9124785.0	9.09090909091	46.0
1637_2U	5.95805162876	132.672556853	52064.0	27.2727272727	45.0
Sample1_1	48.9919984244	136.693215308	18573932.0	9.09090909091	43.0
Sample1_1P	43.2677913413	99.1549021647	15373749.0	9.09090909091	43.0
Sample1_1U	16.6676100038	87.3131341803	598903.0	9.09090909091	45.0
Sample1_2	33.1806573775	141.821765793	11442983.0	0.0	43.0
Sample1_2P	19.5203004944	98.3025622443	15373749.0	9.09090909091	44.0
Sample1_2U	3.1086661691	83.0491095374	219998.0	9.09090909091	44.0
Sample2_1	48.9919984244	136.693215308	18573932.0	9.09090909091	43.0
Sample2_1P	45.8617502001	99.0452726744	10040582.0	9.09090909091	41.0
Sample2_1U	16.6892562245	88.7577935795	413738.0	9.09090909091	43.0
Sample2_2	33.1806573775	141.821765793	11442983.0	0.0	43.0
Sample2_2P	19.5627709846	98.1321074814	10040582.0	9.09090909091	42.0
Sample2_2U	3.04108933584	82.5285318837	119936.0	9.09090909091	42.0
Sample3_1P	44.7894844237	99.1620504852	12530595.0	9.09090909091	42.0
Sample3_1U	15.9849106875	89.4210613762	589838.0	9.09090909091	44.0
Sample3_2P	18.3988186453	97.899457448	12530595.0	9.09090909091	43.0
Sample3_2U	4.265858069	81.9700104337	167725.0	9.09090909091	43.0
Sample4_1P	13.8385278406	99.1545956237	9444420.0	9.09090909091	41.0
Sample4_1U	3.2944917122	88.5160565367	487683.0	9.09090909091	42.0
Sample4_2P	8.76225384504	97.972852118	9444420.0	9.09090909091	42.0
Sample4_2U	0.640647589195	82.5587897148	109594.0	9.09090909091	42.0
Sample5_1P	9.56277515573	99.0395147631	15532372.0	9.09090909091	40.0
Sample5_1U	1.68713140821	88.8823971079	590011.0	9.09090909091	41.0
Sample5_2P	2.63673793198	98.4015677708	15532372.0	9.09090909091	42.0
Sample5_2U	0.173466582488	84.6338324434	241029.0	9.09090909091	42.0
Sample6_1P	9.05149412706	99.1118499628	12585896.0	9.09090909091	40.0
Sample6_1U	1.81482879932	89.1829270764	493530.0	9.09090909091	41.0
Sample6_2P	3.84608990848	98.3136606246	12585896.0	9.09090909091	42.0
Sample6_2U	0.327016770587	83.540688601	155707.0	9.09090909091	41.0
