gene_id,1101,1548,1628,Sample4,Sample5,Sample6
Montipora_capitata_PredGene_adi2mcaRNA22286_R5,0,0,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA22286_R1,0,0,0,19,16,10
Montipora_capitata_PredGene_adi2mcaRNA22286_R3,0,0,0,0,0,4
Montipora_capitata_PredGene_g48350,2,0,0,3,2,4
Montipora_capitata_PredGene_g48351,0,0,0,46,42,35
Montipora_capitata_PredGene_g48352,0,0,0,0,0,0
Montipora_capitata_PredGene_g45101,15,0,22,9,11,8
Montipora_capitata_PredGene_g48357,1235,1807,2054,4,0,6
Montipora_capitata_PredGene_g48358,104,68,55,24,32,31
Montipora_capitata_PredGene_g48359,5,0,2,0,5,0
Montipora_capitata_PredGene_g30041,39,45,33,22,10,11
Montipora_capitata_PredGene_g44665,0,3,9,11,13,16
Montipora_capitata_PredGene_g4511,20,11,14,13,27,29
Montipora_capitata_PredGene_g4510,0,0,0,5,6,14
Montipora_capitata_PredGene_g4512,3,4,0,8,12,22
Montipora_capitata_PredGene_adi2mcaRNA29187_R0,2120,1550,1323,19,16,27
Montipora_capitata_PredGene_g4517,0,0,0,8,7,2
Montipora_capitata_PredGene_g4516,0,0,0,17,23,17
Montipora_capitata_PredGene_g4518,1,1,1,2,1,4
Montipora_capitata_PredGene_g16209,8637,6024,10238,0,0,9
Montipora_capitata_PredGene_g56622,0,0,0,3,8,1
Montipora_capitata_PredGene_g56626,0,0,0,8,10,7
Montipora_capitata_PredGene_g56625,0,0,0,3,2,7
Montipora_capitata_PredGene_g56624,0,0,0,15,10,16
Montipora_capitata_PredGene_g16203,0,19,2,9,9,10
Montipora_capitata_PredGene_g16205,32,78,46,26,16,24
Montipora_capitata_PredGene_g16204,0,0,0,0,9,6
Montipora_capitata_PredGene_g16207,625,460,536,21,19,29
Montipora_capitata_PredGene_g16206,38,61,52,21,20,12
Montipora_capitata_PredGene_g44479,0,1,0,2,2,10
Montipora_capitata_PredGene_g44478,0,0,0,0,1,5
Montipora_capitata_PredGene_g36859,3,4,0,12,9,10
Montipora_capitata_PredGene_adi2mcaRNA4649_R0,0,2,0,3,4,4
Montipora_capitata_PredGene_g44473,0,0,0,15,22,24
Montipora_capitata_PredGene_g44472,0,0,0,2,1,3
Montipora_capitata_PredGene_g36852,0,0,0,29,8,26
Montipora_capitata_PredGene_adi2mcaRNA4649_R6,0,0,0,4,2,3
Montipora_capitata_PredGene_g3482,0,0,0,3,2,2
Montipora_capitata_PredGene_g42409,1572,1148,1139,80,43,67
Montipora_capitata_PredGene_g8396,0,0,0,6,1,0
Montipora_capitata_PredGene_g2607,0,0,0,3,2,4
Montipora_capitata_PredGene_g6985,0,237,0,4,13,10
Montipora_capitata_PredGene_adi2mcaRNA1449_R3,0,0,0,13,14,22
Montipora_capitata_PredGene_g8394,0,2,0,12,7,8
Montipora_capitata_PredGene_adi2mcaRNA1449_R4,1,1,0,19,23,10
Montipora_capitata_PredGene_g2604,0,0,0,10,6,13
Montipora_capitata_PredGene_g3483,0,0,0,0,15,31
Montipora_capitata_PredGene_g24164,81,49,63,19,0,4
Montipora_capitata_PredGene_adi2mcaRNA9470_R1,4,0,21,9,13,0
Montipora_capitata_PredGene_adi2mcaRNA27051_R0,88,68,8,125,141,105
Montipora_capitata_PredGene_g50706,5,0,3,9,5,6
Montipora_capitata_PredGene_g50704,272,216,197,7,12,11
Montipora_capitata_PredGene_g50705,5,0,1,8,5,5
Montipora_capitata_PredGene_g65368,5,2,3,12,11,16
Montipora_capitata_PredGene_g50703,25,27,40,2,6,8
Montipora_capitata_PredGene_g50701,0,0,5,0,0,9
Montipora_capitata_PredGene_g65364,1,2,2,4,10,7
Montipora_capitata_PredGene_g65365,0,0,0,3,5,5
Montipora_capitata_PredGene_g65366,0,0,0,7,12,6
Montipora_capitata_PredGene_adi2mcaRNA13250_R0,66,55,36,43,30,23
Montipora_capitata_PredGene_g65360,9,0,0,24,28,24
Montipora_capitata_PredGene_g65361,3,0,4,3,10,5
Montipora_capitata_PredGene_g50708,123,81,125,12,22,5
Montipora_capitata_PredGene_g50709,3,3,6,9,5,5
Montipora_capitata_PredGene_g58575,235,206,251,10,3,8
Montipora_capitata_PredGene_g58574,417,291,342,80,40,60
Montipora_capitata_PredGene_g58577,396,368,304,20,20,16
Montipora_capitata_PredGene_g34798,269,162,207,10,15,11
Montipora_capitata_PredGene_g58571,727,478,724,7,2,0
Montipora_capitata_PredGene_adi2mcaRNA9470_R5,0,0,25,18,9,9
Montipora_capitata_PredGene_g58572,0,0,0,11,11,6
Montipora_capitata_PredGene_adi2mcaRNA18654_R0,23,41,0,9,6,9
Montipora_capitata_PredGene_g58579,327,242,421,33,17,22
Montipora_capitata_PredGene_g58578,11,9,11,18,12,13
Montipora_capitata_PredGene_adi2mcaRNA6526_R9,0,0,0,11,17,0
Montipora_capitata_PredGene_g3481,7,3,8,1,3,4
Montipora_capitata_PredGene_g34793,1,0,1,5,6,5
Montipora_capitata_PredGene_adi2mcaRNA7895_R7,92,0,6,26,30,21
Montipora_capitata_PredGene_adi2mcaRNA6526_R5,3,9,0,30,11,19
Montipora_capitata_PredGene_g35097,32,73,82,16,9,12
Montipora_capitata_PredGene_g34791,0,0,14,15,6,14
Montipora_capitata_PredGene_g35096,200,267,255,28,25,23
Montipora_capitata_PredGene_g49979,0,0,0,7,0,0
Montipora_capitata_PredGene_g57289,0,0,0,5,9,0
Montipora_capitata_PredGene_g57282,0,0,0,0,8,0
Montipora_capitata_PredGene_g57283,26,145,9,30,37,10
Montipora_capitata_PredGene_g49977,651,563,805,27,20,29
Montipora_capitata_PredGene_g49976,169,262,253,11,16,10
Montipora_capitata_PredGene_g49975,622,584,622,27,31,18
Montipora_capitata_PredGene_g49974,0,0,0,4,6,1
Montipora_capitata_PredGene_g12458,0,0,0,3,1,4
Montipora_capitata_PredGene_g12459,7,5,37,10,5,38
Montipora_capitata_PredGene_adi2mcaRNA31376_R2,41,50,41,15,12,16
Montipora_capitata_PredGene_g67769,0,1,0,5,6,7
Montipora_capitata_PredGene_g48899,0,0,3,18,18,11
Montipora_capitata_PredGene_g12450,360,268,249,28,15,23
Montipora_capitata_PredGene_g12451,116,149,146,28,59,27
Montipora_capitata_PredGene_g12452,112,138,112,10,12,13
Montipora_capitata_PredGene_g34794,0,14,14,4,2,4
Montipora_capitata_PredGene_g58326,0,0,0,14,5,16
Montipora_capitata_PredGene_g52638,0,0,0,8,9,13
Montipora_capitata_PredGene_g52639,0,0,0,7,9,4
Montipora_capitata_PredGene_g58327,0,0,0,11,8,4
Montipora_capitata_PredGene_adi2mcaRNA7095_R0,677,688,695,11,12,19
Montipora_capitata_PredGene_g46946,0,4,13,15,9,21
Montipora_capitata_PredGene_g52630,0,0,0,5,6,5
Montipora_capitata_PredGene_g52631,3940,5592,6021,86,39,69
Montipora_capitata_PredGene_g52632,419,373,349,19,16,19
Montipora_capitata_PredGene_g52634,0,0,0,3,0,4
Montipora_capitata_PredGene_g43713,12,9,8,9,12,7
Montipora_capitata_PredGene_g64025,0,0,1,3,8,8
Montipora_capitata_PredGene_g46944,208,272,170,6,18,14
Montipora_capitata_PredGene_g58322,0,0,6,8,5,17
Montipora_capitata_PredGene_g26394,3,5,0,3,10,12
Montipora_capitata_PredGene_g46942,162,125,110,18,22,24
Montipora_capitata_PredGene_g58391,105,88,70,6,12,8
Montipora_capitata_PredGene_g58390,646,633,490,29,39,30
Montipora_capitata_PredGene_g58393,1588,1469,1148,24,18,25
Montipora_capitata_PredGene_g58392,242,212,181,16,9,19
Montipora_capitata_PredGene_g46473,4,3,1,9,15,16
Montipora_capitata_PredGene_g69986,0,0,0,3,1,1
Montipora_capitata_PredGene_g58399,0,0,0,5,0,2
Montipora_capitata_PredGene_g58398,2,0,3,16,7,10
Montipora_capitata_PredGene_g69987,10,3,7,23,21,21
Montipora_capitata_PredGene_g67216,0,0,0,11,11,6
Montipora_capitata_PredGene_g67217,0,0,0,7,5,7
Montipora_capitata_PredGene_g35006,274,229,159,25,12,16
Montipora_capitata_PredGene_g35007,105,55,140,0,11,10
Montipora_capitata_PredGene_g35000,869,712,493,76,79,73
Montipora_capitata_PredGene_g64098,278,188,224,11,9,14
Montipora_capitata_PredGene_g35002,241,300,278,26,25,24
Montipora_capitata_PredGene_g35003,167,101,120,46,59,29
Montipora_capitata_PredGene_g64094,387,222,261,54,24,56
Montipora_capitata_PredGene_g64097,273,392,428,5,3,13
Montipora_capitata_PredGene_g64096,395,508,524,21,20,25
Montipora_capitata_PredGene_g64091,266,381,104,21,18,27
Montipora_capitata_PredGene_g64090,280,265,212,10,4,6
Montipora_capitata_PredGene_g64093,243,198,194,9,6,9
Montipora_capitata_PredGene_g67219,405,843,344,29,13,43
Montipora_capitata_PredGene_g13328,0,0,0,15,13,3
Montipora_capitata_PredGene_adi2mcaRNA30541_R3,0,0,0,3,8,0
Montipora_capitata_PredGene_adi2mcaRNA30541_R2,0,0,0,0,0,0
Montipora_capitata_PredGene_g14118,0,0,0,4,7,3
