transcript_id,1041.2,1471.2,1637.2,Sample1.2,Sample2.2,Sample3.2
Pocillopora_acuta_HIv2___RNAseq.g23616.t1,10,6,5,4,2,3
Pocillopora_acuta_HIv2___RNAseq.g4197.t1,0,0,1,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g12137.t1,43,17,33,24,25,16
Pocillopora_acuta_HIv2___RNAseq.g4145.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g4784.t1,17,27,25,97,140,120
Pocillopora_acuta_HIv2___TS.g3788.t1,10,23,7,10,12,18
Pocillopora_acuta_HIv2___TS.g30079.t1a,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g8199.t1,0,3,5,0,2,0
Pocillopora_acuta_HIv2___RNAseq.g11981.t1,0,0,0,0,4,2
Pocillopora_acuta_HIv2___RNAseq.g23764.t1,23,16,19,15,13,20
Pocillopora_acuta_HIv2___RNAseq.g27841.t1,636,419,400,426,538,518
Pocillopora_acuta_HIv2___RNAseq.g14011.t1,274,213,278,129,102,118
Pocillopora_acuta_HIv2___RNAseq.g7479.t3a,278,203,240,222,222,276
Pocillopora_acuta_HIv2___RNAseq.g7479.t3b,158,522,222,274,776,280
Pocillopora_acuta_HIv2___RNAseq.g3340.t1,87,112,105,62,122,82
Pocillopora_acuta_HIv2___RNAseq.g682.t1,270,398,252,250,292,207
Pocillopora_acuta_HIv2___RNAseq.g18203.t1,29,38,30,40,34,55
Pocillopora_acuta_HIv2___RNAseq.g25357.t1,28,6,10,18,25,8
Pocillopora_acuta_HIv2___RNAseq.g20966.t1,0,0,0,7,4,0
Pocillopora_acuta_HIv2___TS.g11024.t1,24,28,15,0,18,14
Pocillopora_acuta_HIv2___TS.g13281.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g4805.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g4147.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g1948.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g11539.t1,61,57,25,19,34,34
Pocillopora_acuta_HIv2___TS.g30900.t1,84,98,76,31,41,19
