transcript_id,1041.2,1471.2,1637.2,Sample1.2,Sample2.2,Sample3.2
Pocillopora_acuta_HIv2___RNAseq.g793.t1,2045,1965,2068,1480,1294,1309
Pocillopora_acuta_HIv2___TS.g27812.t1,2,13,0,3,11,2
Pocillopora_acuta_HIv2___RNAseq.g9819.t1,51,24,26,54,16,28
Pocillopora_acuta_HIv2___RNAseq.g11061.t1,418,318,199,150,98,117
Pocillopora_acuta_HIv2___RNAseq.g6119.t1,408,305,526,190,118,213
Pocillopora_acuta_HIv2___RNAseq.g16900.t1,763,1633,359,548,1580,418
Pocillopora_acuta_HIv2___RNAseq.g30807.t1,31,101,45,39,79,48
Pocillopora_acuta_HIv2___RNAseq.g23470.t1,0,0,0,0,2,2
Pocillopora_acuta_HIv2___RNAseq.g26238.t1,126,62,58,47,38,44
Pocillopora_acuta_HIv2___RNAseq.g17372.t1,410,0,93,218,0,105
Pocillopora_acuta_HIv2___RNAseq.g791.t1,0,6,11,0,6,5
Pocillopora_acuta_HIv2___TS.g25731.t1,25,12,24,11,4,5
Pocillopora_acuta_HIv2___RNAseq.g6640.t1,0,0,0,6,2,4
Pocillopora_acuta_HIv2___RNAseq.g18698.t1,0,0,0,1,0,2
Pocillopora_acuta_HIv2___RNAseq.g18201.t1,0,0,0,0,12,0
Pocillopora_acuta_HIv2___RNAseq.g22166.t1,0,0,0,2,6,1
Pocillopora_acuta_HIv2___RNAseq.g19818.t1,12,27,0,7,14,6
Pocillopora_acuta_HIv2___TS.g12561.t1,47,31,16,17,10,9
Pocillopora_acuta_HIv2___RNAseq.g12471.t1,0,0,0,1,3,2
Pocillopora_acuta_HIv2___TS.g12271.t1,0,0,0,0,3,0
Pocillopora_acuta_HIv2___RNAseq.g19252.t1,0,0,0,0,3,4
Pocillopora_acuta_HIv2___RNAseq.g22946.t1,1284,1062,915,2212,1399,1584
Pocillopora_acuta_HIv2___RNAseq.g2361.t1,0,0,0,0,0,1
Pocillopora_acuta_HIv2___RNAseq.g22672.t1,5,0,0,11,9,0
Pocillopora_acuta_HIv2___RNAseq.g19435.t1,0,4,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g6933.t1,25,5,28,59,41,79
Pocillopora_acuta_HIv2___RNAseq.g25007.t1,13,32,16,0,33,13
Pocillopora_acuta_HIv2___RNAseq.g14825.t1,0,0,0,0,1,0
Pocillopora_acuta_HIv2___RNAseq.g10920.t1,39,49,29,42,63,32
Pocillopora_acuta_HIv2___RNAseq.g13724.t1,65,21,24,55,48,59
Pocillopora_acuta_HIv2___RNAseq.g16902.t1,0,17,37,0,4,0
Pocillopora_acuta_HIv2___RNAseq.213_t,0,0,5,0,10,0
Pocillopora_acuta_HIv2___RNAseq.g5622.t1,9,12,0,0,9,5
Pocillopora_acuta_HIv2___TS.g21128.t1,124,144,137,119,86,125
Pocillopora_acuta_HIv2___RNAseq.g15683.t1,0,0,0,2,2,3
Pocillopora_acuta_HIv2___RNAseq.g6825.t1,18,18,15,29,26,27
Pocillopora_acuta_HIv2___RNAseq.g11044.t1,1152,1658,1117,849,4855,1949
Pocillopora_acuta_HIv2___TS.g12273.t1,29,65,43,0,15,14
Pocillopora_acuta_HIv2___RNAseq.g31370.t1,0,0,0,1,4,0
Pocillopora_acuta_HIv2___RNAseq.g28288.t1,37,73,29,32,42,38
Pocillopora_acuta_HIv2___RNAseq.g5065.t1,114,60,55,25,24,22
Pocillopora_acuta_HIv2___RNAseq.g20607.t1,591,569,446,1191,1266,1026
Pocillopora_acuta_HIv2___RNAseq.g12599.t1,6,0,0,0,4,0
Pocillopora_acuta_HIv2___TS.g29991.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g29077.t1,10,20,9,23,24,21
Pocillopora_acuta_HIv2___RNAseq.g7364.t1,0,0,0,1,2,0
Pocillopora_acuta_HIv2___RNAseq.g28116.t1,206,100,122,18,29,21
Pocillopora_acuta_HIv2___RNAseq.g6391.t1,46,27,37,37,16,29
Pocillopora_acuta_HIv2___RNAseq.g1819.t1,3,9,0,0,7,0
Pocillopora_acuta_HIv2___RNAseq.g14827.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g22735.t1,17,9,10,18,18,13
Pocillopora_acuta_HIv2___RNAseq.g29278.t1,63,36,37,27,34,30
Pocillopora_acuta_HIv2___RNAseq.10518_t,153,211,118,98,164,101
Pocillopora_acuta_HIv2___RNAseq.g19519.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g1409.t1a,79,11,57,59,11,50
Pocillopora_acuta_HIv2___TS.g6615.t1,127,119,99,83,47,79
Pocillopora_acuta_HIv2___RNAseq.g16353.t1,0,0,0,0,3,0
Pocillopora_acuta_HIv2___RNAseq.g23899.t1,9,11,13,0,0,9
Pocillopora_acuta_HIv2___RNAseq.g4772.t1,12,16,6,11,20,27
Pocillopora_acuta_HIv2___RNAseq.g30834.t1,0,0,0,1,1,3
Pocillopora_acuta_HIv2___RNAseq.g13698.t1,31,13,31,12,5,16
Pocillopora_acuta_HIv2___RNAseq.g438.t1,1180,696,703,706,716,683
Pocillopora_acuta_HIv2___RNAseq.g12788.t1,0,10,0,6,0,0
Pocillopora_acuta_HIv2___RNAseq.g5325.t1,163,281,133,110,132,114
Pocillopora_acuta_HIv2___RNAseq.g19863.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.12371_t,1279,1150,903,686,642,643
Pocillopora_acuta_HIv2___RNAseq.g8913.t1,272,229,205,120,73,81
Pocillopora_acuta_HIv2___RNAseq.g9165.t1,27,38,44,10,0,14
Pocillopora_acuta_HIv2___RNAseq.g7366.t1,7,10,10,3,2,3
Pocillopora_acuta_HIv2___RNAseq.g29557.t1,14,13,16,10,0,9
Pocillopora_acuta_HIv2___RNAseq.g15631.t1,0,0,0,3,0,0
Pocillopora_acuta_HIv2___RNAseq.g25815.t3,965,966,914,1019,861,910
Pocillopora_acuta_HIv2___RNAseq.g4711.t1,107,24,76,44,20,42
Pocillopora_acuta_HIv2___RNAseq.g19846.t1,0,10,0,12,8,11
Pocillopora_acuta_HIv2___RNAseq.g7070.t1,320,56,198,820,219,483
Pocillopora_acuta_HIv2___RNAseq.g15255.t1,81,100,114,52,79,84
Pocillopora_acuta_HIv2___RNAseq.g23927.t1,45,35,19,15,18,18
Pocillopora_acuta_HIv2___RNAseq.g7217.t1,363,68,42,89,36,15
Pocillopora_acuta_HIv2___TS.g10887.t1,14,38,18,8,13,9
Pocillopora_acuta_HIv2___RNAseq.g557.t1,583,632,562,321,339,361
Pocillopora_acuta_HIv2___RNAseq.g22737.t1,1,0,0,3,3,3
Pocillopora_acuta_HIv2___RNAseq.g13016.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g19437.t1,0,0,0,4,6,10
Pocillopora_acuta_HIv2___RNAseq.g4770.t1,1893,1444,1437,3914,2801,3696
Pocillopora_acuta_HIv2___RNAseq.g30836.t1,38,34,60,248,290,350
Pocillopora_acuta_HIv2___TS.g16150.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g28850.t1,65,123,65,44,91,39
Pocillopora_acuta_HIv2___TS.g1166.t1,46,21,58,40,54,92
Pocillopora_acuta_HIv2___RNAseq.g23925.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g26501.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g19861.t1,446,377,293,687,1007,853
Pocillopora_acuta_HIv2___RNAseq.g18020.t1,0,0,0,7,5,0
Pocillopora_acuta_HIv2___RNAseq.g7023.t1,287,141,161,181,121,119
Pocillopora_acuta_HIv2___TS.g28074.t1,0,0,4,2,0,0
Pocillopora_acuta_HIv2___RNAseq.g8911.t1,148,99,80,24,41,27
Pocillopora_acuta_HIv2___RNAseq.g10537.t1,91,42,56,66,109,115
Pocillopora_acuta_HIv2___TS.g31509.t1,76,33,89,35,21,40
Pocillopora_acuta_HIv2___RNAseq.g17108.t1,129,101,74,40,27,25
Pocillopora_acuta_HIv2___RNAseq.g20885.t1,21,0,0,0,3,0
Pocillopora_acuta_HIv2___RNAseq.g27646.t1,0,0,0,5,0,4
Pocillopora_acuta_HIv2___RNAseq.g6388.t1,0,0,0,0,1,0
Pocillopora_acuta_HIv2___RNAseq.g27786.t1,76,53,99,72,77,106
Pocillopora_acuta_HIv2___RNAseq.g20235.t1,34,60,74,61,88,72
Pocillopora_acuta_HIv2___RNAseq.g15804.t1,44,193,70,48,146,57
Pocillopora_acuta_HIv2___RNAseq.g1078.t1,920,1059,941,891,1234,1225
Pocillopora_acuta_HIv2___RNAseq.g22972.t1,13,15,4,8,24,4
Pocillopora_acuta_HIv2___RNAseq.g7072.t1,12,116,54,13,30,22
Pocillopora_acuta_HIv2___RNAseq.g15257.t1,135,192,270,20,14,26
Pocillopora_acuta_HIv2___RNAseq.g25817.t1,31,25,22,15,38,20
Pocillopora_acuta_HIv2___RNAseq.g13155.t1,931,892,690,1587,1785,1425
Pocillopora_acuta_HIv2___RNAseq.g28780.t1,0,0,0,2,0,0
Pocillopora_acuta_HIv2___RNAseq.g11424.t1,567,76,255,269,45,186
Pocillopora_acuta_HIv2___RNAseq.g25362.t1,20,10,24,22,9,19
Pocillopora_acuta_HIv2___TS.g19030.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g11092.t1,35,33,54,41,10,13
Pocillopora_acuta_HIv2___RNAseq.g4455.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27623.t1,11,35,0,12,21,30
Pocillopora_acuta_HIv2___RNAseq.g23092.t1,6,42,25,151,492,242
Pocillopora_acuta_HIv2___RNAseq.g22283.t1,622,531,432,310,553,429
Pocillopora_acuta_HIv2___TS.g26503.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g1339.t1,27,16,16,27,20,12
Pocillopora_acuta_HIv2___RNAseq.g18281.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g31390.t1,0,0,0,0,3,0
Pocillopora_acuta_HIv2___RNAseq.g23372.t1,2,0,0,0,0,2
Pocillopora_acuta_HIv2___RNAseq.g18022.t1,12,11,0,3,3,5
Pocillopora_acuta_HIv2___RNAseq.g18887.t1,0,0,0,3,0,4
Pocillopora_acuta_HIv2___RNAseq.g20108.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g3958.t1,0,0,2,0,2,2
Pocillopora_acuta_HIv2___RNAseq.g8517.t1,0,0,2,3,0,0
Pocillopora_acuta_HIv2___RNAseq.g4791.t1,43,19,52,21,47,48
Pocillopora_acuta_HIv2___RNAseq.g10956.t1,90,59,36,22,27,22
Pocillopora_acuta_HIv2___RNAseq.g10491.t1,10,48,12,19,23,12
Pocillopora_acuta_HIv2___RNAseq.g6347.t1,9,0,21,0,0,8
Pocillopora_acuta_HIv2___RNAseq.g11049.t1,0,0,0,0,6,0
Pocillopora_acuta_HIv2___RNAseq.g27644.t1,1,0,2,9,6,10
Pocillopora_acuta_HIv2___RNAseq.g24699.t1,239,135,88,175,193,189
Pocillopora_acuta_HIv2___RNAseq.g15806.t1,24,15,12,12,15,10
Pocillopora_acuta_HIv2___RNAseq.g11907.t1,0,0,12,12,7,23
Pocillopora_acuta_HIv2___RNAseq.g16435.t1,161,131,148,67,81,87
Pocillopora_acuta_HIv2___RNAseq.g21252.t1,73,120,108,41,64,66
Pocillopora_acuta_HIv2___RNAseq.g8515.t1,14,0,10,0,0,3
Pocillopora_acuta_HIv2___RNAseq.g30234.t1,3,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g30279.t1,0,0,0,0,4,0
Pocillopora_acuta_HIv2___RNAseq.g11973.t1,1,7,1,4,8,4
Pocillopora_acuta_HIv2___RNAseq.g23090.t1,0,0,0,20,0,36
Pocillopora_acuta_HIv2___RNAseq.g6899.t1,0,0,0,0,4,0
Pocillopora_acuta_HIv2___TS.g12010.t1,0,0,0,7,2,12
Pocillopora_acuta_HIv2___RNAseq.g28471.t1,0,26,0,23,41,43
Pocillopora_acuta_HIv2___RNAseq.g6215.t1,35,31,18,29,42,41
Pocillopora_acuta_HIv2___RNAseq.g29686.t2,207,203,187,162,217,185
Pocillopora_acuta_HIv2___RNAseq.g12504.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g3390.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g17100.t1,78,26,39,100,43,65
Pocillopora_acuta_HIv2___RNAseq.g8452.t1,3,10,10,11,15,22
Pocillopora_acuta_HIv2___RNAseq.g10493.t1,6,15,3,9,8,6
Pocillopora_acuta_HIv2___RNAseq.g27542.t1,15,29,6,16,14,7
Pocillopora_acuta_HIv2___RNAseq.g16192.t1a,0,0,0,4,18,10
Pocillopora_acuta_HIv2___RNAseq.g2968.t1,5,0,0,11,19,11
Pocillopora_acuta_HIv2___RNAseq.g16192.t1b,158,252,265,104,151,199
Pocillopora_acuta_HIv2___RNAseq.g11012.t1,105,51,64,146,84,115
Pocillopora_acuta_HIv2___TS.g3931.t1b,14,43,53,31,43,47
Pocillopora_acuta_HIv2___RNAseq.g17851.t1,182,128,147,127,106,119
Pocillopora_acuta_HIv2___RNAseq.g16054.t1,166,215,197,38,77,74
Pocillopora_acuta_HIv2___TS.g30828.t1,15,0,2,6,6,0
Pocillopora_acuta_HIv2___RNAseq.g17641.t1,0,25,14,93,33,77
Pocillopora_acuta_HIv2___RNAseq.g20011.t1,0,19,11,8,10,10
Pocillopora_acuta_HIv2___RNAseq.g6092.t1,38,137,42,98,324,82
Pocillopora_acuta_HIv2___RNAseq.g8945.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g22678.t1,53,126,23,13,29,5
Pocillopora_acuta_HIv2___RNAseq.g11543.t1,831,394,598,639,682,739
Pocillopora_acuta_HIv2___TS.g20278.t1,0,0,0,3,7,2
Pocillopora_acuta_HIv2___RNAseq.g17580.t1,307,288,275,179,180,225
Pocillopora_acuta_HIv2___RNAseq.g16844.t1,181,172,183,136,143,142
Pocillopora_acuta_HIv2___RNAseq.g28639.t1,344,125,340,201,160,260
Pocillopora_acuta_HIv2___TS.g6838.t1,0,0,0,0,1,0
Pocillopora_acuta_HIv2___RNAseq.g21586.t1,0,0,0,5,14,13
Pocillopora_acuta_HIv2___RNAseq.g15068.t1,0,0,0,5,6,0
Pocillopora_acuta_HIv2___RNAseq.g9838.t1,176,185,132,131,199,237
Pocillopora_acuta_HIv2___RNAseq.g17400.t1,600,520,427,225,233,269
Pocillopora_acuta_HIv2___RNAseq.g14384.t1a,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g14384.t1b,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g9577.t1,4,5,9,6,9,0
Pocillopora_acuta_HIv2___RNAseq.g14228.t1,24,34,33,19,21,28
Pocillopora_acuta_HIv2___RNAseq.g4465.t1,446,336,408,161,281,194
Pocillopora_acuta_HIv2___RNAseq.g20032.t1,180,156,164,129,122,156
Pocillopora_acuta_HIv2___TS.g10518.t1,0,0,0,4,5,3
Pocillopora_acuta_HIv2___RNAseq.g30595.t1,333,332,247,410,333,332
Pocillopora_acuta_HIv2___RNAseq.g3392.t1,0,3,0,4,5,0
Pocillopora_acuta_HIv2___TS.g27171.t2,70,91,47,30,57,24
Pocillopora_acuta_HIv2___RNAseq.g17659.t1,7,0,0,6,0,4
Pocillopora_acuta_HIv2___RNAseq.g2703.t1,159,131,151,92,62,79
Pocillopora_acuta_HIv2___RNAseq.g6714.t1,450,233,467,305,158,266
Pocillopora_acuta_HIv2___TS.g12743.t1b,9,15,7,5,9,4
Pocillopora_acuta_HIv2___RNAseq.g12089.t1,0,5,11,0,4,0
Pocillopora_acuta_HIv2___RNAseq.g11010.t1,31,20,26,33,44,37
Pocillopora_acuta_HIv2___RNAseq.g28504.t1,21,107,88,42,57,49
Pocillopora_acuta_HIv2___RNAseq.g3063.t2,439,329,334,157,86,157
Pocillopora_acuta_HIv2___RNAseq.g31106.t1,0,0,0,0,2,0
Pocillopora_acuta_HIv2___RNAseq.g13604.t1,367,1339,283,54,183,71
Pocillopora_acuta_HIv2___RNAseq.g27463.t1,0,0,0,2,7,7
Pocillopora_acuta_HIv2___RNAseq.g9688.t1,0,0,0,3,5,4
Pocillopora_acuta_HIv2___RNAseq.g13157.t1,556,472,462,180,139,146
Pocillopora_acuta_HIv2___RNAseq.g14396.t1,0,0,0,2,3,0
Pocillopora_acuta_HIv2___RNAseq.g21584.t1,115,112,82,45,47,42
Pocillopora_acuta_HIv2___RNAseq.g27079.t1,405,388,306,655,824,749
Pocillopora_acuta_HIv2___RNAseq.g1454.t1,0,0,0,0,1,2
Pocillopora_acuta_HIv2___RNAseq.g24234.t1,66,86,44,70,60,40
Pocillopora_acuta_HIv2___RNAseq.g3470.t1,0,0,0,0,11,5
Pocillopora_acuta_HIv2___RNAseq.g26609.t2,1714,1878,1618,4138,7532,6464
Pocillopora_acuta_HIv2___RNAseq.g5811.t1,566,687,549,986,758,980
Pocillopora_acuta_HIv2___TS.g26822.t1,367,421,353,124,48,86
Pocillopora_acuta_HIv2___RNAseq.g21266.t1,0,0,0,8,12,13
Pocillopora_acuta_HIv2___RNAseq.g22504.t1,0,0,0,0,5,0
Pocillopora_acuta_HIv2___RNAseq.g7709.t1,863,925,731,1049,999,887
Pocillopora_acuta_HIv2___RNAseq.g18059.t1,28,33,54,14,11,14
Pocillopora_acuta_HIv2___TS.g8550.t1a,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g8550.t1b,20,14,8,25,20,21
Pocillopora_acuta_HIv2___RNAseq.g8175.t3,687,743,552,350,341,391
Pocillopora_acuta_HIv2___RNAseq.g10514.t1,255,267,230,371,449,398
Pocillopora_acuta_HIv2___RNAseq.30394_t,35,74,76,25,54,28
Pocillopora_acuta_HIv2___RNAseq.g25018.t1,0,0,0,10,0,0
Pocillopora_acuta_HIv2___RNAseq.g14394.t1,0,0,0,1,2,1
Pocillopora_acuta_HIv2___TS.g22672.t1,25,46,18,20,21,24
Pocillopora_acuta_HIv2___RNAseq.g27440.t1,0,0,0,0,3,0
Pocillopora_acuta_HIv2___RNAseq.g6687.t1,32,31,9,13,23,12
Pocillopora_acuta_HIv2___RNAseq.g15231.t1,0,0,0,0,4,0
Pocillopora_acuta_HIv2___RNAseq.g1524.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g10516.t1,165,166,146,116,104,135
Pocillopora_acuta_HIv2___RNAseq.g12500.t1,675,747,650,1989,2758,2899
Pocillopora_acuta_HIv2___RNAseq.g27461.t1,40,54,69,29,56,48
Pocillopora_acuta_HIv2___RNAseq.g18191.t1,0,0,4,5,9,4
Pocillopora_acuta_HIv2___RNAseq.1912_t,238,192,172,182,163,118
Pocillopora_acuta_HIv2___RNAseq.g31104.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g19134.t1,1866,1958,1683,1790,2876,2509
Pocillopora_acuta_HIv2___RNAseq.g12586.t1,25,25,11,8,6,10
Pocillopora_acuta_HIv2___RNAseq.g7587.t1,137,194,156,28,53,41
Pocillopora_acuta_HIv2___TS.g5425.t1,0,1,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g1526.t1,128,130,106,114,178,165
Pocillopora_acuta_HIv2___RNAseq.g5813.t1,449,487,430,221,222,240
Pocillopora_acuta_HIv2___RNAseq.g25183.t1,0,0,0,1,3,3
Pocillopora_acuta_HIv2___RNAseq.g21264.t1,397,408,322,204,474,293
Pocillopora_acuta_HIv2___RNAseq.g24900.t1,9,10,41,6,8,37
Pocillopora_acuta_HIv2___RNAseq.g18016.t1,26,20,14,14,3,10
Pocillopora_acuta_HIv2___TS.g12622.t1,0,0,0,0,2,0
Pocillopora_acuta_HIv2___RNAseq.g8237.t1,2,4,0,2,4,3
Pocillopora_acuta_HIv2___RNAseq.g1300.t1a,0,1,6,0,2,3
Pocillopora_acuta_HIv2___RNAseq.g10794.t1,103,35,100,54,62,88
Pocillopora_acuta_HIv2___TS.g10710.t2,570,588,463,249,299,333
Pocillopora_acuta_HIv2___TS.g15946.t1,132,80,39,77,21,7
Pocillopora_acuta_HIv2___RNAseq.g26169.t1,178,112,148,24,40,32
Pocillopora_acuta_HIv2___RNAseq.g24775.t1,68,7,42,57,39,43
Pocillopora_acuta_HIv2___TS.g25759.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g11040.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g6476.t1,0,121,0,1,46,3
Pocillopora_acuta_HIv2___TS.g8474.t1,0,0,11,0,0,6
Pocillopora_acuta_HIv2___TS.g12050.t1,27,63,48,42,73,96
Pocillopora_acuta_HIv2___RNAseq.g1499.t1,16,52,37,13,31,22
Pocillopora_acuta_HIv2___RNAseq.g21033.t1,46,56,39,40,41,17
Pocillopora_acuta_HIv2___TS.g30819.t1,6,11,7,76,162,102
Pocillopora_acuta_HIv2___RNAseq.g12290.t1,47,40,24,38,21,28
Pocillopora_acuta_HIv2___RNAseq.g2708.t1,0,0,0,2,0,0
Pocillopora_acuta_HIv2___RNAseq.g11735.t1,1399,1041,965,892,1259,1100
Pocillopora_acuta_HIv2___RNAseq.g20835.t1,265,284,302,152,174,201
Pocillopora_acuta_HIv2___RNAseq.g22638.t1,1769,2744,1780,8716,18799,11787
Pocillopora_acuta_HIv2___RNAseq.g19238.t1,188,246,161,259,220,289
Pocillopora_acuta_HIv2___RNAseq.g15175.t1a,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g25181.t1,51,27,46,16,18,14
Pocillopora_acuta_HIv2___RNAseq.g15175.t1b,0,0,0,0,2,0
Pocillopora_acuta_HIv2___RNAseq.g24902.t1,0,0,14,13,7,7
Pocillopora_acuta_HIv2___RNAseq.g26011.t1,33,0,16,0,6,7
Pocillopora_acuta_HIv2___RNAseq.g28788.t1,0,7,2,4,11,7
Pocillopora_acuta_HIv2___RNAseq.g25487.t1,0,16,17,15,10,0
Pocillopora_acuta_HIv2___TS.g18657.t1a,719,799,560,432,463,447
Pocillopora_acuta_HIv2___RNAseq.g3629.t1,144,191,135,137,210,149
Pocillopora_acuta_HIv2___RNAseq.g16321.t1,0,24,2,4,21,6
Pocillopora_acuta_HIv2___TS.g30342.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g26013.t1,19,12,8,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g20628.t1,0,46,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g23835.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g17158.t1,4,7,0,0,1,0
Pocillopora_acuta_HIv2___TS.g11330.t1,9,16,4,9,10,4
Pocillopora_acuta_HIv2___TS.g22788.t1,89,80,40,51,54,40
Pocillopora_acuta_HIv2___TS.g20544.t1,38,41,33,55,51,64
Pocillopora_acuta_HIv2___RNAseq.g8567.t1,317,282,188,446,288,377
Pocillopora_acuta_HIv2___RNAseq.g9538.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g13823.t1,555,501,669,815,688,957
Pocillopora_acuta_HIv2___RNAseq.g11474.t1,22,26,26,20,29,61
Pocillopora_acuta_HIv2___RNAseq.g3251.t1,0,12,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g19810.t1,0,20,18,13,0,0
Pocillopora_acuta_HIv2___TS.g11011.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g3751.t1,617,597,516,307,455,356
Pocillopora_acuta_HIv2___RNAseq.g27651.t1,0,0,0,0,5,0
Pocillopora_acuta_HIv2___TS.g1654.t1,14,4,6,9,7,7
Pocillopora_acuta_HIv2___RNAseq.g15217.t1,231,242,319,187,432,406
Pocillopora_acuta_HIv2___RNAseq.g12288.t1,28,35,40,29,15,38
Pocillopora_acuta_HIv2___RNAseq.g22446.t1,0,0,0,3,2,0
Pocillopora_acuta_HIv2___TS.g11901.t1,0,8,13,8,0,4
Pocillopora_acuta_HIv2___RNAseq.g17910.t1,236,221,260,84,65,73
Pocillopora_acuta_HIv2___RNAseq.g6588.t1,246,298,195,307,300,325
Pocillopora_acuta_HIv2___RNAseq.g15715.t1,112,114,87,67,176,141
Pocillopora_acuta_HIv2___RNAseq.g3230.t2,17,18,0,21,20,8
Pocillopora_acuta_HIv2___RNAseq.g23271.t1,0,0,0,15,9,16
Pocillopora_acuta_HIv2___RNAseq.g3753.t1,19,22,11,12,15,9
Pocillopora_acuta_HIv2___RNAseq.g11476.t1,0,0,0,0,0,5
Pocillopora_acuta_HIv2___RNAseq.g3253.t1,0,0,0,0,6,3
Pocillopora_acuta_HIv2___RNAseq.g28971.t1a,43,67,44,35,43,27
Pocillopora_acuta_HIv2___RNAseq.g28971.t1b,0,0,0,1,5,2
Pocillopora_acuta_HIv2___RNAseq.g23837.t1,0,0,0,0,2,0
Pocillopora_acuta_HIv2___TS.g1453.t1,0,0,0,0,3,0
Pocillopora_acuta_HIv2___TS.g9584.t1,40,35,45,37,39,23
Pocillopora_acuta_HIv2___RNAseq.g23989.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g2464.t1,0,0,0,5,9,1
Pocillopora_acuta_HIv2___RNAseq.g23446.t1,0,0,0,2,1,1
Pocillopora_acuta_HIv2___RNAseq.g29157.t1,7,14,20,10,9,32
Pocillopora_acuta_HIv2___RNAseq.12227_t,46,37,60,21,23,38
