transcript_id,1041.gtf,1471.gtf,1637.gtf,Sample1.gtf,Sample2.gtf,Sample3.gtf
Pocillopora_acuta_HIv1_PredGene_g24904.t1,3,16,0,0,0,8
Pocillopora_acuta_HIv1_PredGene_27329_t,291,51,54,28,0,269
Pocillopora_acuta_HIv1_PredGene_g15312.t1,0,113,0,7,57,15
Pocillopora_acuta_HIv1_PredGene_g14096.t1,0,0,0,3,0,1
Pocillopora_acuta_HIv1_PredGene_829_t,0,115,67,11,0,8
Pocillopora_acuta_HIv1_PredGene_g1640.t1,0,0,0,2,0,0
Pocillopora_acuta_HIv1_PredGene_g32542.t2,0,0,10,10,7,7
Pocillopora_acuta_HIv1_PredGene_g27995.t1,64,116,51,32,57,40
Pocillopora_acuta_HIv1_PredGene_g32542.t1,10,14,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g2583.t1,234,71,62,134,110,92
Pocillopora_acuta_HIv1_PredGene_g10105.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g7984.t1,6,0,0,0,0,2
Pocillopora_acuta_HIv1_PredGene_g24906.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g24740.t1,0,0,0,3,8,0
Pocillopora_acuta_HIv1_PredGene_g4074.t1,0,0,0,0,0,2
Pocillopora_acuta_HIv1_PredGene_g18340.t1,4725,3659,3142,4896,3166,4412
Pocillopora_acuta_HIv1_PredGene_g19966.t1,4,4,3,0,5,3
Pocillopora_acuta_HIv1_PredGene_g8301.t1,775,459,670,880,871,1258
Pocillopora_acuta_HIv1_PredGene_g2447.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g30808.t1,795,546,615,277,462,333
Pocillopora_acuta_HIv1_PredGene_g14545.t1,36,54,29,8,7,0
Pocillopora_acuta_HIv1_PredGene_g13784.t1,77,128,102,124,242,170
Pocillopora_acuta_HIv1_PredGene_g29470.t1,25,66,19,15,50,28
Pocillopora_acuta_HIv1_PredGene_g20359.t1,0,0,0,3,0,0
Pocillopora_acuta_HIv1_PredGene_g26716.t1,384,447,295,303,464,441
Pocillopora_acuta_HIv1_PredGene_g4948.t1,0,0,0,0,1,2
Pocillopora_acuta_HIv1_PredGene_g19903.t1,52,35,54,18,13,14
Pocillopora_acuta_HIv1_PredGene_g20217.t1,180,203,221,89,71,82
Pocillopora_acuta_HIv1_PredGene_g32540.t1,61,17,51,13,7,16
Pocillopora_acuta_HIv1_PredGene_2824_t,6368,8310,7080,834,778,852
Pocillopora_acuta_HIv1_PredGene_g2195.t1,0,17,0,13,9,11
Pocillopora_acuta_HIv1_PredGene_g32601.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10882.t1,0,0,0,28,28,31
Pocillopora_acuta_HIv1_PredGene_g13131.t1,131,235,81,102,149,99
Pocillopora_acuta_HIv1_PredGene_g17738.t1,68,17,41,45,109,79
Pocillopora_acuta_HIv1_PredGene_g15892.t1,313,27,33,256,69,91
Pocillopora_acuta_HIv1_PredGene_g15722.t1,28,21,30,41,38,33
Pocillopora_acuta_HIv1_PredGene_g4969.t1,192,60,105,86,33,84
Pocillopora_acuta_HIv1_PredGene_g24891.t1,563,364,514,389,279,354
Pocillopora_acuta_HIv1_PredGene_g21238.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g7150.t1,108,0,47,49,15,29
Pocillopora_acuta_HIv1_PredGene_g19964.t1,92,78,189,32,69,137
Pocillopora_acuta_HIv1_PredGene_g11192.t1,2189,2192,1838,334,341,393
Pocillopora_acuta_HIv1_PredGene_g18767.t1,134,131,137,52,46,50
Pocillopora_acuta_HIv1_PredGene_g2445.t1,32,13,35,14,17,9
Pocillopora_acuta_HIv1_PredGene_g10414.t1,0,0,0,1,1,1
Pocillopora_acuta_HIv1_PredGene_g23517.t1,298,264,235,78,68,84
Pocillopora_acuta_HIv1_PredGene_g20316.t1,142,282,170,74,196,107
Pocillopora_acuta_HIv1_PredGene_g6135.t1,161,280,96,17,40,44
Pocillopora_acuta_HIv1_PredGene_g22890.t1,454,277,357,202,98,262
Pocillopora_acuta_HIv1_PredGene_g15370.t1,420,384,327,224,274,280
Pocillopora_acuta_HIv1_PredGene_g22111.t1,54,75,87,24,26,39
Pocillopora_acuta_HIv1_PredGene_g32580.t1,0,0,0,3,0,0
Pocillopora_acuta_HIv1_PredGene_g2197.t1,3,14,0,8,12,5
Pocillopora_acuta_HIv1_PredGene_g22096.t1,140,227,86,79,102,106
Pocillopora_acuta_HIv1_PredGene_g824.t1,14,26,17,0,18,7
Pocillopora_acuta_HIv1_PredGene_g20709.t1,0,0,0,0,3,0
Pocillopora_acuta_HIv1_PredGene_g9756.t1,0,41,0,0,21,0
Pocillopora_acuta_HIv1_PredGene_g15890.t1,21,4,8,6,3,5
Pocillopora_acuta_HIv1_PredGene_g1502.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g31739.t1,1137,758,576,1066,1007,1017
Pocillopora_acuta_HIv1_PredGene_g5569.t1,96,0,2,0,0,0
Pocillopora_acuta_HIv1_PredGene_g5569.t2,168,0,166,128,0,114
Pocillopora_acuta_HIv1_PredGene_g7275.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g28387.t1,98,126,86,61,109,71
Pocillopora_acuta_HIv1_PredGene_g3968.t1,8,3,6,3,9,3
Pocillopora_acuta_HIv1_PredGene_g22039.t1,0,0,0,0,3,6
Pocillopora_acuta_HIv1_PredGene_g10356.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g19662.t1,1429,1835,1460,812,1826,730
Pocillopora_acuta_HIv1_PredGene_g19662.t2,520,0,0,793,0,1236
Pocillopora_acuta_HIv1_PredGene_g23251.t1,0,0,0,4,0,4
Pocillopora_acuta_HIv1_PredGene_g11190.t1,80,48,117,19,10,12
Pocillopora_acuta_HIv1_PredGene_g18765.t1,1490,1475,1561,1830,2461,2480
Pocillopora_acuta_HIv1_PredGene_g18907.t1,1048,431,0,11,60,9
Pocillopora_acuta_HIv1_PredGene_g657.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g18907.t2,0,408,864,505,603,724
Pocillopora_acuta_HIv1_PredGene_g11265.t1,6,8,0,3,20,0
Pocillopora_acuta_HIv1_PredGene_g6818.t1,2,0,1,5,9,3
Pocillopora_acuta_HIv1_PredGene_11824_t,576,365,489,58,0,86
Pocillopora_acuta_HIv1_PredGene_g33264.t1,950,894,791,884,1139,1079
Pocillopora_acuta_HIv1_PredGene_g26958.t1,0,0,0,0,2,0
Pocillopora_acuta_HIv1_PredGene_g8485.t1,20,25,18,11,30,7
Pocillopora_acuta_HIv1_PredGene_3827_t,10,24,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g17490.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_28334_t,16,46,0,9,15,12
Pocillopora_acuta_HIv1_PredGene_g20740.t1,0,0,0,1,3,0
Pocillopora_acuta_HIv1_PredGene_g29208.t1,0,0,0,2,9,0
Pocillopora_acuta_HIv1_PredGene_g4244.t1,0,0,0,0,1,0
Pocillopora_acuta_HIv1_PredGene_g32053.t2,0,0,0,853,0,2597
Pocillopora_acuta_HIv1_PredGene_g32053.t1,1462,1830,1138,1022,3287,11
Pocillopora_acuta_HIv1_PredGene_g9596.t1,54,77,79,20,38,40
Pocillopora_acuta_HIv1_PredGene_g16758.t1,375,223,380,61,71,101
Pocillopora_acuta_HIv1_PredGene_g26404.t1,1244,1028,1006,1371,2104,1661
Pocillopora_acuta_HIv1_PredGene_g13128.t1,584,481,485,215,231,238
Pocillopora_acuta_HIv1_PredGene_g23253.t1,0,0,0,0,6,0
Pocillopora_acuta_HIv1_PredGene_g9728.t1,138,48,105,46,111,66
Pocillopora_acuta_HIv1_PredGene_g16186.t1,153,117,75,34,76,44
Pocillopora_acuta_HIv1_PredGene_11560_t,19,14,27,264,42,100
Pocillopora_acuta_HIv1_PredGene_g18927.t1,0,0,0,0,3,0
Pocillopora_acuta_HIv1_PredGene_g28088.t1,162,137,125,70,71,89
Pocillopora_acuta_HIv1_PredGene_g9754.t1,0,0,12,9,8,0
Pocillopora_acuta_HIv1_PredGene_g2766.t1,25151,27532,27335,8171,12870,13827
Pocillopora_acuta_HIv1_PredGene_g25692.t1,37,0,32,12,0,18
Pocillopora_acuta_HIv1_PredGene_g22302.t2,270,559,472,713,136,274
Pocillopora_acuta_HIv1_PredGene_g22302.t1,1563,1663,1764,0,760,729
Pocillopora_acuta_HIv1_PredGene_g26796.t1,4,6,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g13508.t1,56,60,86,32,45,48
Pocillopora_acuta_HIv1_PredGene_g28596.t1,28,40,0,12,18,12
Pocillopora_acuta_HIv1_PredGene_21852_t,18,12,23,0,0,8
Pocillopora_acuta_HIv1_PredGene_g28724.t1,3,7,0,9,0,3
Pocillopora_acuta_HIv1_PredGene_g4394.t1,37,24,50,22,31,26
Pocillopora_acuta_HIv1_PredGene_g28724.t2,166,169,211,59,110,89
Pocillopora_acuta_HIv1_PredGene_g11664.t1,121,150,95,46,89,90
Pocillopora_acuta_HIv1_PredGene_g22706.t1,0,0,0,2,3,0
Pocillopora_acuta_HIv1_PredGene_g12449.t2,244,169,160,131,243,106
Pocillopora_acuta_HIv1_PredGene_g18905.t1,248,176,227,85,76,107
Pocillopora_acuta_HIv1_PredGene_g12449.t1,152,136,128,137,163,180
Pocillopora_acuta_HIv1_PredGene_g25690.t1,19,11,11,6,13,0
Pocillopora_acuta_HIv1_PredGene_g20157.t1,0,0,1,0,1,0
Pocillopora_acuta_HIv1_PredGene_g16998.t1,315,348,302,265,370,450
Pocillopora_acuta_HIv1_PredGene_g20157.t2,36,7,22,22,16,26
Pocillopora_acuta_HIv1_PredGene_g13175.t1,0,0,0,0,3,0
Pocillopora_acuta_HIv1_PredGene_g3662.t1,4,0,0,0,0,2
Pocillopora_acuta_HIv1_PredGene_g5179.t1,260,130,248,188,224,288
Pocillopora_acuta_HIv1_PredGene_g26986.t1,6068,5475,6410,1750,1244,2209
Pocillopora_acuta_HIv1_PredGene_g17492.t1,5,38,11,6,0,0
Pocillopora_acuta_HIv1_PredGene_g9239.t1,453,40,157,91,13,43
Pocillopora_acuta_HIv1_PredGene_g11267.t1,7,3,4,7,3,10
Pocillopora_acuta_HIv1_PredGene_g13289.t1,62,230,196,98,55,70
Pocillopora_acuta_HIv1_PredGene_g13289.t2,199,39,23,26,25,21
Pocillopora_acuta_HIv1_PredGene_g30309.t1,0,0,0,9,5,0
Pocillopora_acuta_HIv1_PredGene_g11171.t1,107,117,69,85,84,116
Pocillopora_acuta_HIv1_PredGene_g17976.t1,148,156,144,107,132,148
Pocillopora_acuta_HIv1_PredGene_g19783.t1,14,14,15,9,9,5
Pocillopora_acuta_HIv1_PredGene_g17704.t1,13,19,19,21,20,19
Pocillopora_acuta_HIv1_PredGene_g20172.t1,572,544,446,420,644,698
Pocillopora_acuta_HIv1_PredGene_g13786.t1,6,9,2,2,9,3
Pocillopora_acuta_HIv1_PredGene_g17704.t2,83,157,102,65,82,61
Pocillopora_acuta_HIv1_PredGene_g14169.t1,16,3,11,4,0,4
Pocillopora_acuta_HIv1_PredGene_14032_t,384,288,251,237,144,142
Pocillopora_acuta_HIv1_PredGene_g22125.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g19319.t1,0,0,0,1,0,0
Pocillopora_acuta_HIv1_PredGene_g1726.t1,43,485,52,33,855,37
Pocillopora_acuta_HIv1_PredGene_g12571.t1,242,108,233,227,292,269
Pocillopora_acuta_HIv1_PredGene_g5549.t1,0,0,29,0,0,0
Pocillopora_acuta_HIv1_PredGene_g30453.t1,1270,927,1263,550,460,786
Pocillopora_acuta_HIv1_PredGene_g25728.t1,0,38,16,0,32,10
Pocillopora_acuta_HIv1_PredGene_g26984.t1,261,167,190,130,107,173
Pocillopora_acuta_HIv1_PredGene_16298_t,460,354,374,109,104,130
Pocillopora_acuta_HIv1_PredGene_g27131.t1,32,38,32,122,351,114
Pocillopora_acuta_HIv1_PredGene_g16824.t1,25,29,21,15,32,16
Pocillopora_acuta_HIv1_PredGene_g28726.t1,397,388,397,110,187,183
Pocillopora_acuta_HIv1_PredGene_g30953.t1,0,10,10,0,0,0
Pocillopora_acuta_HIv1_PredGene_g4396.t1,277,236,176,108,173,111
Pocillopora_acuta_HIv1_PredGene_g14108.t1,54,49,53,15,58,57
Pocillopora_acuta_HIv1_PredGene_g32515.t1,0,0,0,10,4,0
Pocillopora_acuta_HIv1_PredGene_g31352.t1,14,0,14,20,22,13
Pocillopora_acuta_HIv1_PredGene_g29874.t1,29,100,33,20,81,14
Pocillopora_acuta_HIv1_PredGene_g20155.t1,0,0,0,0,2,0
Pocillopora_acuta_HIv1_PredGene_g12817.t1,16,29,17,0,16,8
Pocillopora_acuta_HIv1_PredGene_g22394.t1,17,5,22,5,3,8
Pocillopora_acuta_HIv1_PredGene_g3779.t1,7,9,3,4,10,11
Pocillopora_acuta_HIv1_PredGene_g23232.t1,0,0,0,1,2,2
Pocillopora_acuta_HIv1_PredGene_g2887.t1,69,64,40,73,84,117
Pocillopora_acuta_HIv1_PredGene_g8044.t1,0,0,13,9,7,6
Pocillopora_acuta_HIv1_PredGene_g9276.t1,490,240,285,238,350,314
Pocillopora_acuta_HIv1_PredGene_g3737.t1,3,12,2,15,52,33
Pocillopora_acuta_HIv1_PredGene_g32603.t1,190,155,150,227,166,185
Pocillopora_acuta_HIv1_PredGene_g32029.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32517.t1,0,0,0,3,3,0
Pocillopora_acuta_HIv1_PredGene_g20988.t1,41,2,28,12,8,20
Pocillopora_acuta_HIv1_PredGene_g19781.t1,48,6,22,21,19,18
Pocillopora_acuta_HIv1_PredGene_g17706.t1,0,0,4,18,27,13
Pocillopora_acuta_HIv1_PredGene_g11173.t1,1,0,0,2,1,0
Pocillopora_acuta_HIv1_PredGene_g1580.t1,64,58,13,21,11,14
Pocillopora_acuta_HIv1_PredGene_g28564.t1,23,36,68,24,27,30
Pocillopora_acuta_HIv1_PredGene_10303_t,2,37,12,1,1,1
Pocillopora_acuta_HIv1_PredGene_g3735.t1,1258,716,603,1022,1115,1064
Pocillopora_acuta_HIv1_PredGene_g7223.t1,13470,14300,12933,1553,1339,1467
Pocillopora_acuta_HIv1_PredGene_g30451.t1,484,404,402,175,214,178
Pocillopora_acuta_HIv1_PredGene_g27720.t1,230,173,155,164,218,206
Pocillopora_acuta_HIv1_PredGene_g33430.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g22113.t1,142,103,82,0,0,6
Pocillopora_acuta_HIv1_PredGene_g758.t1,0,0,0,0,3,0
Pocillopora_acuta_HIv1_PredGene_g27133.t1,182,53,124,90,80,151
Pocillopora_acuta_HIv1_PredGene_g2796.t1,11,33,10,6,12,7
Pocillopora_acuta_HIv1_PredGene_g15452.t1,3,23,11,0,2,0
Pocillopora_acuta_HIv1_PredGene_g2721.t1,0,0,0,0,2,0
Pocillopora_acuta_HIv1_PredGene_g2524.t1,0,0,0,10,21,6
Pocillopora_acuta_HIv1_PredGene_g24317.t1,494,386,377,227,293,272
Pocillopora_acuta_HIv1_PredGene_g26744.t1,0,0,0,2,3,0
Pocillopora_acuta_HIv1_PredGene_g25421.t1,695,178,204,885,435,378
Pocillopora_acuta_HIv1_PredGene_g8983.t1,482,220,305,228,313,246
Pocillopora_acuta_HIv1_PredGene_g12815.t1,151,134,90,74,92,92
Pocillopora_acuta_HIv1_PredGene_g5974.t1,44,120,92,69,61,71
Pocillopora_acuta_HIv1_PredGene_g23079.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g2885.t1,114,0,64,100,0,120
Pocillopora_acuta_HIv1_PredGene_g18655.t1,724,699,519,140,200,200
Pocillopora_acuta_HIv1_PredGene_g2526.t1,220,191,296,178,219,285
Pocillopora_acuta_HIv1_PredGene_g8184.t1,164,41,71,140,101,113
Pocillopora_acuta_HIv1_PredGene_g5379.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g15617.t1,0,0,0,3,4,0
Pocillopora_acuta_HIv1_PredGene_g26969.t1,4,0,0,0,8,3
Pocillopora_acuta_HIv1_PredGene_g10439.t1,60,92,90,33,41,31
Pocillopora_acuta_HIv1_PredGene_g16718.t1,143,92,129,61,186,72
Pocillopora_acuta_HIv1_PredGene_g28385.t1,60,126,138,0,127,0
Pocillopora_acuta_HIv1_PredGene_g28385.t2,156,168,108,176,147,238
Pocillopora_acuta_HIv1_PredGene_g12112.t1,0,0,0,1,0,0
Pocillopora_acuta_HIv1_PredGene_g33221.t1,1110,673,674,240,139,143
Pocillopora_acuta_HIv1_PredGene_g30331.t1,15,11,33,22,15,22
Pocillopora_acuta_HIv1_PredGene_g1555.t1,0,0,8,2,0,0
Pocillopora_acuta_HIv1_PredGene_g27722.t1,0,0,150,104,0,160
Pocillopora_acuta_HIv1_PredGene_g33432.t1,184,84,67,70,41,51
Pocillopora_acuta_HIv1_PredGene_g15080.t1,389,319,287,177,84,159
Pocillopora_acuta_HIv1_PredGene_g489.t1,566,343,293,118,118,163
Pocillopora_acuta_HIv1_PredGene_g12952.t1,291,429,327,72,172,137
Pocillopora_acuta_HIv1_PredGene_g15450.t1,48,35,152,18,19,24
Pocillopora_acuta_HIv1_PredGene_g31178.t1,0,0,0,2,0,1
Pocillopora_acuta_HIv1_PredGene_g2764.t1,0,67,0,8,98,34
Pocillopora_acuta_HIv1_PredGene_15657_t,0,0,36,0,0,0
Pocillopora_acuta_HIv1_PredGene_g8670.t1,0,0,0,0,6,0
Pocillopora_acuta_HIv1_PredGene_g27225.t1,111,93,84,25,36,56
Pocillopora_acuta_HIv1_PredGene_g23036.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g3513.t1,194,263,185,158,139,186
Pocillopora_acuta_HIv1_PredGene_g5892.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g33585.t2,5,7,5,3,4,3
Pocillopora_acuta_HIv1_PredGene_g8186.t1,0,0,0,9,6,6
Pocillopora_acuta_HIv1_PredGene_g23690.t2,481,535,439,727,654,758
Pocillopora_acuta_HIv1_PredGene_g1712.t1,53,62,47,15,22,28
Pocillopora_acuta_HIv1_PredGene_g10677.t1,39,36,45,12,7,8
Pocillopora_acuta_HIv1_PredGene_g23690.t1,802,906,817,850,1232,1177
Pocillopora_acuta_HIv1_PredGene_4233_t,65,19,19,2,12,9
Pocillopora_acuta_HIv1_PredGene_g24050.t1,353,208,227,123,214,155
Pocillopora_acuta_HIv1_PredGene_g910.t1,130,174,143,126,136,170
Pocillopora_acuta_HIv1_PredGene_g910.t2,0,0,0,0,0,18
Pocillopora_acuta_HIv1_PredGene_g31619.t1,59,44,63,28,82,22
Pocillopora_acuta_HIv1_PredGene_g5149.t1,0,0,0,2,7,2
Pocillopora_acuta_HIv1_PredGene_g28594.t1,30,47,14,0,0,0
Pocillopora_acuta_HIv1_PredGene_g22705.t1,13,0,11,14,10,0
Pocillopora_acuta_HIv1_PredGene_g9954.t1,4598,234,304,471,635,460
Pocillopora_acuta_HIv1_PredGene_g9954.t2,219,3858,3050,1694,2244,2009
Pocillopora_acuta_HIv1_PredGene_g26338.t1,92,121,110,23,62,53
Pocillopora_acuta_HIv1_PredGene_g33223.t1,45,78,76,17,27,12
Pocillopora_acuta_HIv1_PredGene_g1557.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g11480.t1,3,9,7,0,15,7
Pocillopora_acuta_HIv1_PredGene_g21365.t2,933,1321,1336,464,703,674
Pocillopora_acuta_HIv1_PredGene_g21365.t1,960,738,699,472,655,603
Pocillopora_acuta_HIv1_PredGene_g29102.t1,27,34,25,10,25,13
Pocillopora_acuta_HIv1_PredGene_g19971.t1,0,0,0,2,0,0
Pocillopora_acuta_HIv1_PredGene_g4354.t1,10,5,1,5,6,2
Pocillopora_acuta_HIv1_PredGene_g20952.t1,44,87,68,28,80,55
Pocillopora_acuta_HIv1_PredGene_g16926.t1,21,6,11,7,10,12
Pocillopora_acuta_HIv1_PredGene_g17933.t1,134,94,45,100,20,43
Pocillopora_acuta_HIv1_PredGene_g26098.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g3328.t1,298,312,278,65,93,122
Pocillopora_acuta_HIv1_PredGene_g18385.t1,0,0,0,3,4,0
Pocillopora_acuta_HIv1_PredGene_25146_t,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g29481.t1,24,17,18,9,14,17
Pocillopora_acuta_HIv1_PredGene_g20368.t1,3,5,19,6,0,10
Pocillopora_acuta_HIv1_PredGene_g11482.t1,13,14,16,4,8,0
Pocillopora_acuta_HIv1_PredGene_g29100.t1,0,8,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g11548.t2,789,0,411,248,0,0
Pocillopora_acuta_HIv1_PredGene_g30486.t1,4,1,7,6,2,6
Pocillopora_acuta_HIv1_PredGene_g23692.t1,7,13,9,18,23,18
Pocillopora_acuta_HIv1_PredGene_g18717.t1,835,559,670,233,269,318
Pocillopora_acuta_HIv1_PredGene_g32883.t2,81,61,68,50,83,71
Pocillopora_acuta_HIv1_PredGene_g32883.t1,4,14,1,2,1,3
Pocillopora_acuta_HIv1_PredGene_g6400.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g20855.t1,1019,1199,874,808,1041,1027
Pocillopora_acuta_HIv1_PredGene_g7018.t1,24,34,27,33,20,48
Pocillopora_acuta_HIv1_PredGene_g9956.t1,10,0,0,0,0,8
Pocillopora_acuta_HIv1_PredGene_g912.t1,8,6,7,14,11,4
Pocillopora_acuta_HIv1_PredGene_g22898.t1,596,404,516,181,222,224
Pocillopora_acuta_HIv1_PredGene_g32881.t1,555,1038,150,584,238,435
Pocillopora_acuta_HIv1_PredGene_g32881.t2,1171,150,763,893,723,661
Pocillopora_acuta_HIv1_PredGene_g1213.t1,3,0,3,0,3,0
Pocillopora_acuta_HIv1_PredGene_g26284.t1,29,23,8,10,17,19
Pocillopora_acuta_HIv1_PredGene_g11593.t1,55,79,56,20,6,21
Pocillopora_acuta_HIv1_PredGene_g16924.t1,446,519,423,311,451,512
Pocillopora_acuta_HIv1_PredGene_g17931.t1,127,112,115,87,124,128
Pocillopora_acuta_HIv1_PredGene_g19973.t1,21,1,5,17,4,2
Pocillopora_acuta_HIv1_PredGene_g30539.t1,261,259,234,208,206,116
Pocillopora_acuta_HIv1_PredGene_g3164.t1,57,75,38,22,32,41
Pocillopora_acuta_HIv1_PredGene_g384.t1,104,68,72,53,58,31
Pocillopora_acuta_HIv1_PredGene_g3129.t1,52,36,28,24,30,24
Pocillopora_acuta_HIv1_PredGene_g8046.t1,9,10,47,3,8,39
Pocillopora_acuta_HIv1_PredGene_17472_t,0,0,0,0,0,0
