transcript_id,1041.gtf,1471.gtf,1637.gtf,Sample1.gtf,Sample2.gtf,Sample3.gtf
Pocillopora_acuta_HIv1_PredGene_g4114.t1,208,154,180,60,85,75
Pocillopora_acuta_HIv1_PredGene_g3322.t1,24,56,35,8,48,31
Pocillopora_acuta_HIv1_PredGene_g11295.t1,494,315,312,381,541,512
Pocillopora_acuta_HIv1_PredGene_g11164.t1,9,25,14,13,13,17
Pocillopora_acuta_HIv1_PredGene_g13465.t1,5,0,0,4,1,0
Pocillopora_acuta_HIv1_PredGene_g24467.t1,70,216,61,19,85,59
Pocillopora_acuta_HIv1_PredGene_g27354.t1,89,111,70,17,14,15
Pocillopora_acuta_HIv1_PredGene_g5582.t1,4,0,3,0,1,0
Pocillopora_acuta_HIv1_PredGene_g15239.t1,238,221,204,194,156,194
Pocillopora_acuta_HIv1_PredGene_g1593.t1,0,0,0,0,3,4
Pocillopora_acuta_HIv1_PredGene_g17017.t1,693,302,340,156,128,141
Pocillopora_acuta_HIv1_PredGene_g19167.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g25067.t1,0,0,0,3,0,0
Pocillopora_acuta_HIv1_PredGene_g32263.t1,0,3,0,0,5,8
Pocillopora_acuta_HIv1_PredGene_g28347.t1,0,0,0,0,4,0
Pocillopora_acuta_HIv1_PredGene_g18535.t1,676,733,754,489,621,676
Pocillopora_acuta_HIv1_PredGene_g32679.t1,46,93,23,51,26,42
Pocillopora_acuta_HIv1_PredGene_g24392.t1,35,29,30,23,27,19
Pocillopora_acuta_HIv1_PredGene_30622_t,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g18779.t1,84,22,48,27,18,39
Pocillopora_acuta_HIv1_PredGene_g8603.t1,14,7,16,22,14,18
Pocillopora_acuta_HIv1_PredGene_g24465.t1,735,633,605,426,514,556
Pocillopora_acuta_HIv1_PredGene_g25410.t1,703,719,581,212,171,177
Pocillopora_acuta_HIv1_PredGene_g3818.t1,67,108,92,36,39,53
Pocillopora_acuta_HIv1_PredGene_22237_t,0,5,0,2,19,0
Pocillopora_acuta_HIv1_PredGene_g1162.t1,0,0,0,2,3,0
Pocillopora_acuta_HIv1_PredGene_g8923.t1,10,11,10,13,13,8
Pocillopora_acuta_HIv1_PredGene_g7164.t1,0,0,0,0,6,0
Pocillopora_acuta_HIv1_PredGene_g29069.t1,111,0,184,480,0,819
Pocillopora_acuta_HIv1_PredGene_2409_t,22,2,8,0,0,2
Pocillopora_acuta_HIv1_PredGene_g22795.t1,68,51,45,40,23,30
Pocillopora_acuta_HIv1_PredGene_g19412.t1,13,11,35,14,10,17
Pocillopora_acuta_HIv1_PredGene_g5976.t1,0,0,0,2,3,6
Pocillopora_acuta_HIv1_PredGene_16481_t,191,279,171,225,267,120
Pocillopora_acuta_HIv1_PredGene_g32240.t1,0,0,0,0,2,0
Pocillopora_acuta_HIv1_PredGene_g8626.t1,1064,792,654,677,714,711
Pocillopora_acuta_HIv1_PredGene_30128_t,346,78,261,97,140,176
Pocillopora_acuta_HIv1_PredGene_g11599.t1,55,19,30,29,15,17
Pocillopora_acuta_HIv1_PredGene_11242_t,16,0,12,0,2,11
Pocillopora_acuta_HIv1_PredGene_g1005.t1,663,511,411,332,348,295
Pocillopora_acuta_HIv1_PredGene_g13467.t1,0,2,0,4,2,1
Pocillopora_acuta_HIv1_PredGene_g10107.t1,0,0,0,0,4,0
Pocillopora_acuta_HIv1_PredGene_g29329.t1,0,0,0,0,6,2
Pocillopora_acuta_HIv1_PredGene_g25597.t1,8,8,12,9,9,11
Pocillopora_acuta_HIv1_PredGene_g5974.t2,0,61,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g5974.t3,71,0,7,0,0,2
Pocillopora_acuta_HIv1_PredGene_g19410.t1,194,167,172,118,150,126
Pocillopora_acuta_HIv1_PredGene_g21722.t1,7,8,0,10,12,5
Pocillopora_acuta_HIv1_PredGene_g11101.t1,0,0,0,0,2,0
Pocillopora_acuta_HIv1_PredGene_g32261.t1,0,0,0,1,0,0
Pocillopora_acuta_HIv1_PredGene_g10433.t1,6,0,18,4,7,5
Pocillopora_acuta_HIv1_PredGene_g28345.t1,279,268,230,49,40,23
Pocillopora_acuta_HIv1_PredGene_g20742.t1,50,11,39,6,4,27
Pocillopora_acuta_HIv1_PredGene_g6610.t1,314,149,203,159,148,253
Pocillopora_acuta_HIv1_PredGene_g14547.t1,92,70,85,145,199,184
Pocillopora_acuta_HIv1_PredGene_g3285.t1,134,49,93,99,150,130
Pocillopora_acuta_HIv1_PredGene_g29752.t1,195,164,123,31,32,22
Pocillopora_acuta_HIv1_PredGene_g8601.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g27184.t1,262,248,149,118,143,149
