"","X1101.2.gtf","X1548.2.gtf","X1628.2.gtf","Sample4.2.gtf","Sample5.2.gtf","Sample6.2.gtf"
"MSTRG.48568",64,140,107,0,0,3
"MSTRG.47093",0,0,0,22,14,17
"MSTRG.5918",0,0,0,16,14,17
"MSTRG.20438",166,125,57,14,5,12
"MSTRG.18313",297,231,191,16,28,33
"MSTRG.43179",44,25,15,8,0,8
"MSTRG.43178",0,0,0,21,23,19
"MSTRG.43175",235,192,298,8,7,11
"MSTRG.19847",2,0,0,45,17,30
"MSTRG.43176",284,208,224,35,27,19
"MSTRG.43170",8,4,3,19,17,17
"MSTRG.15176",0,0,0,25,24,16
"MSTRG.18312",29,0,16,0,7,11
"MSTRG.10526",88,34,51,3,8,5
"MSTRG.37307",11,15,6,26,43,31
"MSTRG.37306",3,0,0,23,25,18
"MSTRG.37308",4,1,1,19,11,13
"MSTRG.10528",51,94,77,9,8,9
"MSTRG.18315",0,0,0,15,22,41
"MSTRG.20435",79,74,47,20,33,17
"MSTRG.5668",0,0,0,16,17,21
"MSTRG.38304",8,2,2,14,21,16
"MSTRG.38300",4,0,0,40,25,25
"MSTRG.38309",0,0,0,14,14,15
"MSTRG.3849",1,0,0,23,33,31
"MSTRG.3842",0,4,1,11,11,12
"MSTRG.3847",0,0,0,20,19,39
"MSTRG.3845",0,0,0,20,22,23
"MSTRG.18719",5,0,13,18,24,54
"MSTRG.18718",467,200,254,26,25,33
"MSTRG.18714",310,241,263,0,6,7
"MSTRG.18717",192,140,186,8,18,25
"MSTRG.18716",1083,805,621,62,36,52
"MSTRG.18711",556,329,423,20,27,25
"MSTRG.18710",46,50,53,34,25,22
"MSTRG.18713",306,287,192,21,44,51
"MSTRG.18712",149,121,89,22,8,24
"MSTRG.6311",14,21,52,1,2,5
"MSTRG.33374",287,211,226,19,0,22
"MSTRG.33375",89,49,43,45,20,36
"MSTRG.33376",0,12,0,31,22,34
"MSTRG.44259",16,16,4,89,66,55
"MSTRG.33371",1148,658,526,47,28,49
"MSTRG.33372",1624,694,498,55,56,49
"MSTRG.44255",83,43,72,25,36,17
"MSTRG.44254",1299,1275,560,65,37,64
"MSTRG.44257",320,212,338,0,22,27
"MSTRG.44256",1412,852,734,82,61,80
"MSTRG.44250",545,609,279,47,35,28
"MSTRG.44253",323,261,145,20,31,15
"MSTRG.44252",256,220,187,26,19,14
"MSTRG.34357",0,0,0,11,16,13
"MSTRG.779",0,14,0,12,20,24
"MSTRG.35439",2,0,0,99,54,67
"MSTRG.35438",0,0,0,49,42,29
"MSTRG.32428",414,496,89,2,5,0
"MSTRG.35432",0,0,0,26,13,14
"MSTRG.558",30,31,16,2,5,0
"MSTRG.559",39,31,19,8,5,6
"MSTRG.206",0,0,0,13,14,17
"MSTRG.200",0,0,0,16,13,11
"MSTRG.203",24,0,0,35,25,23
"MSTRG.9992",26,15,54,19,19,21
"MSTRG.9990",126,134,111,6,0,17
"MSTRG.9996",1973,1447,1092,37,29,27
"MSTRG.9997",31,237,39,14,10,10
"MSTRG.9994",74,60,64,60,68,87
"MSTRG.9995",156,122,112,15,14,37
"MSTRG.9998",927,941,530,68,35,44
"MSTRG.9999",854,531,763,48,25,33
"MSTRG.20469",222,78,76,22,7,9
"MSTRG.555",1,0,0,20,19,18
"MSTRG.32269",327,299,179,13,12,0
"MSTRG.23424",47,69,56,11,12,12
"MSTRG.34741",476,349,254,9,12,5
"MSTRG.34742",0,14,12,4,22,35
"MSTRG.34743",125,74,112,8,0,6
"MSTRG.34745",0,0,0,21,22,15
"MSTRG.34746",29,14,13,22,18,15
"MSTRG.34747",3,12,6,21,4,20
"MSTRG.35818",55,50,41,18,24,15
"MSTRG.43174",1,1,1,14,19,16
"MSTRG.23421",0,0,0,22,20,24
"MSTRG.26939",1,1,0,23,16,29
"MSTRG.26936",23,0,0,22,30,21
"MSTRG.26937",15,0,0,7,20,14
"MSTRG.26930",0,0,0,19,20,16
"MSTRG.26933",0,0,0,27,43,31
"MSTRG.35813",162,170,53,58,27,11
"MSTRG.35812",407,463,210,26,31,30
"MSTRG.35938",1580,1258,786,40,36,39
"MSTRG.43172",14,49,17,9,8,11
"MSTRG.23428",2428,1568,1443,89,68,116
"MSTRG.16477",7,20,8,17,12,20
