"","X1101.2.gtf","X1548.2.gtf","X1628.2.gtf","Sample4.2.gtf","Sample5.2.gtf","Sample6.2.gtf"
"MSTRG.30118",0,0,0,17,19,15
"MSTRG.30111",0,0,0,40,30,47
"MSTRG.30113",0,0,0,12,28,23
"MSTRG.30115",0,0,0,15,19,15
"MSTRG.30114",0,3,0,19,12,13
"MSTRG.30117",4,5,0,21,28,30
"MSTRG.45218",4208,2776,1638,76,63,62
"MSTRG.20698",975,739,493,22,24,16
"MSTRG.20693",24,56,57,8,9,7
"MSTRG.20692",16,108,69,4,8,4
"MSTRG.20697",237,135,106,22,21,31
"MSTRG.20696",304,250,146,70,39,78
"MSTRG.20694",9,19,20,14,11,6
"MSTRG.37300",313,326,158,13,13,0
"MSTRG.10520",25,0,9,43,49,30
"MSTRG.28091",47,136,3,27,18,9
"MSTRG.28093",61,159,49,10,15,7
"MSTRG.28092",12,95,25,7,8,6
"MSTRG.28095",1109,972,1259,0,7,10
"MSTRG.28094",489,371,371,34,18,30
"MSTRG.28097",1666,1706,712,32,37,38
"MSTRG.28096",150,88,113,0,9,12
"MSTRG.28099",205,66,24,25,16,18
"MSTRG.28098",20,19,17,21,41,14
"MSTRG.25520",782,1050,830,21,32,49
"MSTRG.25521",126,108,73,12,16,12
"MSTRG.20529",312,338,286,12,7,8
"MSTRG.10524",15,0,9,20,19,18
"MSTRG.20525",183,119,104,25,24,30
"MSTRG.20524",55,23,38,48,23,27
"MSTRG.20527",359,216,127,40,28,25
"MSTRG.20526",216,313,189,20,12,37
"MSTRG.20521",1425,850,914,49,49,55
"MSTRG.20520",52,76,133,2,7,5
"MSTRG.20523",56,29,74,48,32,36
"MSTRG.20522",157,137,99,13,9,26
"MSTRG.17321",46,67,91,18,11,16
"MSTRG.17320",1562,2045,1620,28,19,26
"MSTRG.17323",220,179,305,14,14,15
"MSTRG.17322",1313,1168,1542,11,3,2
"MSTRG.17325",576,528,610,38,28,28
"MSTRG.17326",328,474,360,24,27,28
"MSTRG.17329",37,33,35,22,23,22
"MSTRG.17328",91,82,60,22,19,19
"MSTRG.774",0,0,5,21,35,28
"MSTRG.16054",0,0,0,28,34,19
"MSTRG.37468",276,302,175,17,13,22
"MSTRG.37469",64,60,39,11,12,13
"MSTRG.25349",0,0,0,19,16,12
"MSTRG.37461",0,0,0,18,40,39
"MSTRG.25340",23,20,22,12,12,11
"MSTRG.37467",45,32,28,7,8,9
"MSTRG.7251",15,16,17,16,11,0
"MSTRG.5509",24,9,0,11,12,11
"MSTRG.5508",0,0,0,47,45,44
"MSTRG.5501",924,550,368,0,0,0
"MSTRG.5507",2957,2497,4591,4,6,5
"MSTRG.50606",77,104,75,0,3,7
"MSTRG.21343",27,19,11,20,25,34
"MSTRG.7052",80,56,170,8,6,4
"MSTRG.31510",0,5,0,23,15,28
"MSTRG.889",96,143,141,18,12,6
"MSTRG.50605",150,152,148,19,40,32
"MSTRG.7256",2317,1477,1040,43,41,42
"MSTRG.22588",138,151,170,16,11,11
"MSTRG.11580",0,0,0,23,16,17
"MSTRG.22580",581,530,320,0,11,20
"MSTRG.22583",1083,597,1388,30,8,15
"MSTRG.22582",13452,9814,11432,20,11,20
"MSTRG.22585",459,1021,431,21,19,19
"MSTRG.22584",91,81,146,8,8,6
"MSTRG.22587",128,133,124,3,0,0
"MSTRG.22586",119,827,77,24,28,20
"MSTRG.26691",11,7,4,44,35,21
"MSTRG.26693",0,0,0,49,54,26
"MSTRG.26692",0,0,0,45,45,23
"MSTRG.26697",3,5,0,20,14,14
"MSTRG.26696",30,0,12,30,23,22
"MSTRG.16588",136,81,130,15,24,5
"MSTRG.16589",4,10,0,35,13,21
"MSTRG.16583",368,206,117,71,29,52
"MSTRG.16580",39,303,87,0,9,18
"MSTRG.16581",59,27,41,8,0,0
"MSTRG.16584",28,37,46,2,6,8
"MSTRG.16585",299,252,210,7,12,11
"MSTRG.11058",45,247,559,16,15,66
"MSTRG.11050",41,75,26,14,14,15
"MSTRG.46536",0,0,0,17,24,26
"MSTRG.23187",259,219,57,23,10,17
"MSTRG.23184",1242,908,488,64,71,65
"MSTRG.23182",123,124,73,20,19,18
"MSTRG.23183",29,9,16,16,7,19
"MSTRG.23181",229,138,236,7,11,10
"MSTRG.23189",423,394,524,12,14,17
"MSTRG.47872",28,16,11,34,16,25
"MSTRG.47879",0,0,0,21,26,11
"MSTRG.51873",603,674,865,14,17,14
"MSTRG.51872",144,89,97,13,7,7
"MSTRG.51871",41,44,44,35,18,14
"MSTRG.51870",481,235,148,39,23,24
"MSTRG.51877",1352,1376,380,35,40,34
"MSTRG.45117",6,11,7,25,14,19
"MSTRG.51875",501,423,374,26,14,21
"MSTRG.51874",59,113,72,15,10,8
"MSTRG.51879",580,419,381,25,24,27
"MSTRG.40658",49,44,14,15,16,10
"MSTRG.33098",9,84,60,9,16,26
"MSTRG.54018",931,734,858,19,23,22
"MSTRG.27252",6,13,78,8,14,9
"MSTRG.27251",4,0,0,13,18,16
"MSTRG.27256",24,0,0,29,34,27
"MSTRG.15775",0,1,1,14,19,14
"MSTRG.15779",0,0,0,25,15,18
"MSTRG.10721",33,18,18,15,22,22
"MSTRG.10722",7,4,7,11,13,13
"MSTRG.10723",109,72,108,32,25,31
"MSTRG.10724",36,58,30,12,16,9
"MSTRG.10725",68,202,106,18,23,19
"MSTRG.10726",456,1112,770,71,85,83
"MSTRG.10728",96,220,119,40,67,65
"MSTRG.10729",63,48,76,17,13,22
"MSTRG.4589",136,74,38,8,8,12
"MSTRG.29184",30,35,19,7,8,4
"MSTRG.29185",14,9,41,25,33,31
"MSTRG.46477",16,0,8,20,11,19
"MSTRG.46475",1206,1005,941,65,50,48
"MSTRG.46472",19,6,0,26,30,30
"MSTRG.46470",6,0,0,50,30,32
"MSTRG.50120",0,0,0,16,21,18
"MSTRG.46479",398,305,453,10,9,7
"MSTRG.41849",11,20,12,0,0,0
"MSTRG.41848",258,197,114,8,24,25
"MSTRG.41847",415,308,542,14,14,28
"MSTRG.41846",1430,856,566,164,242,218
"MSTRG.41845",48,18,93,11,7,7
"MSTRG.41844",661,502,688,12,6,12
"MSTRG.41843",2325,1685,1262,71,46,49
"MSTRG.41842",800,881,635,19,15,40
"MSTRG.41841",181,142,118,15,8,11
"MSTRG.33696",223,216,250,10,11,7
"MSTRG.50834",273,240,115,36,26,31
"MSTRG.50835",0,0,0,16,16,14
"MSTRG.50837",42,18,40,17,13,15
"MSTRG.50830",6432,5406,3479,92,74,106
"MSTRG.50831",1393,638,452,59,41,52
"MSTRG.50833",12434,6878,4463,100,73,102
"MSTRG.50839",667,930,503,17,16,20
"MSTRG.50772",331,694,143,38,15,37
"MSTRG.42668",204,330,430,16,7,15
"MSTRG.50770",283,248,126,15,5,16
"MSTRG.12763",0,0,0,15,12,12
"MSTRG.10898",2920,2726,1893,20,18,28
"MSTRG.10899",30942,31173,29641,41,24,70
"MSTRG.38142",65,68,9,23,16,29
"MSTRG.10890",0,0,0,18,20,11
"MSTRG.10896",225,238,310,14,5,25
"MSTRG.17048",24,28,103,0,5,0
"MSTRG.17049",18,26,58,6,7,0
"MSTRG.33178",317,298,229,12,6,9
"MSTRG.33179",40,97,141,27,24,31
"MSTRG.17040",2,3,8,21,20,18
"MSTRG.33176",7,3,12,24,18,22
"MSTRG.17047",12,0,17,23,13,18
"MSTRG.53568",115,101,38,7,11,15
"MSTRG.12499",0,0,14,31,16,17
"MSTRG.53563",188,206,124,0,7,2
"MSTRG.53561",18,275,164,35,30,19
"MSTRG.53567",104,72,42,7,10,17
"MSTRG.33092",511,395,661,11,5,0
"MSTRG.52792",0,0,0,17,15,15
"MSTRG.40035",553,342,311,18,18,10
"MSTRG.40034",18,21,38,13,11,18
"MSTRG.40037",7365,8310,5973,64,40,100
"MSTRG.40036",9988,9126,5585,77,32,93
"MSTRG.40030",0,0,0,14,15,15
"MSTRG.40033",665,689,594,32,56,59
"MSTRG.40032",386,234,228,80,70,71
"MSTRG.40038",327,280,169,14,24,18
"MSTRG.4766",30,13,3,14,9,10
"MSTRG.13541",364,308,198,33,23,32
"MSTRG.2509",0,0,0,11,13,13
"MSTRG.2502",0,10,9,20,40,25
"MSTRG.2503",9,39,0,11,20,8
"MSTRG.2506",0,0,0,18,14,16
"MSTRG.3671",113,114,18,18,26,5
"MSTRG.3676",84,168,15,9,18,2
"MSTRG.20811",110,95,60,9,11,11
"MSTRG.34152",0,7,6,35,17,26
"MSTRG.20813",57,41,44,11,10,11
"MSTRG.33528",14,13,3,15,15,8
"MSTRG.4902",986,844,557,31,26,29
"MSTRG.4903",102,126,132,0,0,0
"MSTRG.4900",356,303,213,9,13,14
"MSTRG.20812",245,108,259,0,15,13
"MSTRG.4906",239,220,157,38,39,38
"MSTRG.4907",1292,705,301,46,69,56
"MSTRG.4904",271,307,311,10,15,17
"MSTRG.4905",377,366,265,22,20,11
"MSTRG.4908",369,1608,388,61,53,70
"MSTRG.4909",2009,1994,1380,15,18,22
"MSTRG.42767",1,0,5,40,25,21
"MSTRG.42763",15,14,5,23,25,23
"MSTRG.49517",0,0,0,15,30,17
"MSTRG.46868",225,54,120,5,9,5
"MSTRG.8593",0,0,0,15,11,12
"MSTRG.777",0,0,0,17,20,11
"MSTRG.770",61,64,24,4,0,6
"MSTRG.771",36,33,32,18,9,20
"MSTRG.46860",67,64,39,6,11,9
"MSTRG.46866",266,284,192,35,27,21
"MSTRG.47176",40,69,87,41,34,42
"MSTRG.41078",769,786,594,19,12,27
"MSTRG.41079",156,198,201,29,40,28
"MSTRG.41077",0,0,0,19,18,21
"MSTRG.41073",56,25,21,37,35,20
"MSTRG.41070",457,471,280,29,30,29
"MSTRG.41071",1713,1407,1010,146,159,161
"MSTRG.34688",0,0,0,41,41,34
"MSTRG.42665",32,21,16,16,6,10
"MSTRG.13547",69,55,126,0,0,0
"MSTRG.50480",15,21,12,34,55,40
"MSTRG.39957",0,3,0,28,30,29
"MSTRG.39955",52,0,0,23,13,11
"MSTRG.1741",0,0,0,13,18,17
"MSTRG.42186",17,6,25,24,24,21
"MSTRG.51680",115,22,21,6,5,5
"MSTRG.51682",14,10,7,10,14,11
"MSTRG.51683",39,22,31,11,55,25
"MSTRG.51686",38,5,4,6,16,12
"MSTRG.21634",15,11,0,6,11,12
"MSTRG.50153",0,0,8,37,26,26
"MSTRG.9243",0,0,0,33,30,34
"MSTRG.9241",0,0,0,16,15,16
"MSTRG.4327",0,0,0,16,26,32
"MSTRG.13548",1455,1110,1402,14,13,19
"MSTRG.47006",0,17,28,11,25,13
"MSTRG.28931",0,0,0,13,12,21
"MSTRG.40856",0,14,10,46,53,38
"MSTRG.34373",0,0,0,20,23,15
"MSTRG.40853",2767,1698,1112,104,61,83
"MSTRG.6436",101,166,79,33,33,31
"MSTRG.34376",0,0,0,18,19,16
"MSTRG.34379",0,2,3,14,12,12
"MSTRG.40858",0,3,0,19,19,13
"MSTRG.54",296,434,289,12,15,11
"MSTRG.53",321,260,289,23,17,15
"MSTRG.34336",96,13,25,17,10,11
"MSTRG.42460",285,437,320,10,33,30
"MSTRG.42462",133,79,97,7,0,10
"MSTRG.22135",161,160,132,5,6,8
"MSTRG.42463",89,100,127,0,0,0
"MSTRG.42466",152,141,72,15,7,8
"MSTRG.28871",105,136,53,24,30,26
"MSTRG.28877",975,1186,446,37,62,82
"MSTRG.6299",615,769,432,18,8,10
"MSTRG.28874",61,88,53,2,9,5
"MSTRG.6294",40,123,127,4,8,6
"MSTRG.6295",33,54,64,14,16,11
"MSTRG.28879",58,0,16,14,6,4
"MSTRG.6290",227,339,183,18,21,10
"MSTRG.6291",287,322,234,12,6,0
"MSTRG.6292",98,146,308,22,11,17
"MSTRG.6293",233,473,168,17,15,7
"MSTRG.37113",181,474,198,15,8,8
"MSTRG.37116",144,461,183,10,0,0
"MSTRG.37117",0,1133,833,13,8,18
"MSTRG.37118",0,1081,112,14,8,22
"MSTRG.7742",1494,902,204,154,93,127
"MSTRG.7745",92,117,187,7,2,6
"MSTRG.7744",1170,552,238,134,96,106
"MSTRG.47698",136,106,67,12,5,13
"MSTRG.33370",2578,2163,1021,152,131,162
"MSTRG.44258",1073,860,448,63,71,64
"MSTRG.30939",7,0,0,19,31,23
"MSTRG.33373",77,87,73,6,9,8
"MSTRG.30936",11,11,49,18,23,31
"MSTRG.30934",0,0,0,23,20,23
"MSTRG.33379",1852,2050,2318,29,14,26
"MSTRG.30931",204,188,258,5,15,10
"MSTRG.18799",1253,655,442,12,7,0
"MSTRG.40111",0,0,0,19,20,19
"MSTRG.29836",24,17,16,7,6,6
"MSTRG.29837",0,10,13,24,15,10
"MSTRG.29832",3,3,1,12,11,18
"MSTRG.29833",68,90,90,14,10,10
"MSTRG.8921",0,0,0,30,15,12
"MSTRG.8922",0,0,0,24,21,36
"MSTRG.8925",0,0,0,32,20,25
"MSTRG.48373",0,39,11,22,24,17
"MSTRG.20226",0,1,0,13,16,16
"MSTRG.20224",888,120,755,36,7,52
"MSTRG.439",468,298,219,25,32,16
"MSTRG.438",444,291,411,0,2,0
"MSTRG.437",72,91,57,19,23,22
"MSTRG.436",21,0,110,12,20,13
"MSTRG.435",196,153,181,35,31,36
"MSTRG.433",30,17,50,3,3,2
"MSTRG.432",364,459,168,40,29,24
"MSTRG.431",228,231,158,53,27,24
"MSTRG.430",98,69,88,8,5,11
"MSTRG.42310",97,22,73,25,9,35
"MSTRG.37947",84,101,106,0,9,4
"MSTRG.37946",132,94,145,9,9,0
"MSTRG.37945",69,102,117,5,2,7
"MSTRG.37944",1246,2425,1289,70,90,79
"MSTRG.37943",0,0,0,17,19,13
"MSTRG.37942",49,64,37,47,33,40
"MSTRG.37941",443,540,287,52,36,59
"MSTRG.37940",0,0,0,19,20,23
"MSTRG.37949",1012,961,1019,12,15,16
"MSTRG.31479",747,481,1039,16,7,17
"MSTRG.31478",0,0,0,22,22,18
"MSTRG.31471",0,9,0,20,26,20
"MSTRG.31477",119,71,122,19,14,22
"MSTRG.31476",92,44,149,30,17,18
"MSTRG.368",0,9,4,13,16,19
"MSTRG.17284",0,0,0,13,16,21
"MSTRG.21579",34,37,32,22,19,24
"MSTRG.21575",1147,853,1379,6,0,7
"MSTRG.21574",4,0,0,64,40,70
"MSTRG.21577",313,223,134,25,22,16
"MSTRG.21576",437,337,428,74,62,91
"MSTRG.42051",0,0,16,0,11,18
"MSTRG.24858",214,218,175,7,9,4
"MSTRG.14882",0,0,0,51,34,43
"MSTRG.14885",0,6,3,39,24,26
"MSTRG.14888",2,0,0,16,23,26
"MSTRG.27387",61,27,41,0,0,0
"MSTRG.30704",13,0,0,57,18,32
"MSTRG.30707",0,0,0,20,31,42
"MSTRG.25860",0,0,0,27,16,36
"MSTRG.28681",19,32,32,17,27,21
"MSTRG.28682",0,3,0,21,15,17
"MSTRG.28689",5,4,21,21,10,13
"MSTRG.17395",443,497,439,46,54,43
"MSTRG.16627",12,4,3,11,18,8
"MSTRG.16625",0,0,0,19,20,14
"MSTRG.16629",67,73,56,22,30,23
"MSTRG.13865",31,100,87,0,12,8
"MSTRG.11932",0,2,0,15,23,24
"MSTRG.11931",22,11,12,0,0,4
"MSTRG.22178",26,16,12,34,12,39
"MSTRG.29485",556,542,631,28,37,44
"MSTRG.22175",2,3,0,25,27,24
"MSTRG.29487",227,176,276,8,4,9
"MSTRG.42056",27,16,9,12,5,7
"MSTRG.23221",1431,1102,534,42,28,43
"MSTRG.23220",362,222,349,21,17,19
"MSTRG.23227",295,458,205,39,61,59
"MSTRG.23225",2909,1378,1398,78,37,84
"MSTRG.35698",64,44,13,6,3,0
"MSTRG.23229",243,302,77,18,16,15
"MSTRG.23228",94,112,116,28,30,39
"MSTRG.48917",1,0,0,18,31,35
"MSTRG.25686",16,27,25,6,8,21
"MSTRG.25684",31,11,40,1,0,4
"MSTRG.32429",170,104,109,4,4,4
"MSTRG.29157",101,49,82,74,36,53
"MSTRG.49060",1235,789,807,32,24,31
"MSTRG.49063",1618,1393,1269,18,6,12
"MSTRG.29154",0,0,0,14,22,19
"MSTRG.49065",81,22,719,9,2,22
"MSTRG.29152",96,56,101,5,7,0
"MSTRG.49067",439,235,384,23,15,33
"MSTRG.29150",346,337,331,7,0,13
"MSTRG.29159",7,13,17,19,17,20
"MSTRG.29158",0,11,4,12,13,13
"MSTRG.35695",62,66,89,0,0,5
"MSTRG.22013",1,1,5,42,19,21
"MSTRG.35694",366,263,154,19,21,14
"MSTRG.32728",196,34,0,11,15,0
"MSTRG.30895",0,1,1,13,12,13
"MSTRG.22798",0,1,0,27,22,29
"MSTRG.27033",0,0,0,59,34,32
"MSTRG.22790",2290,1372,641,0,8,10
"MSTRG.22791",165,166,154,24,17,23
"MSTRG.22792",243,205,127,21,33,27
"MSTRG.22794",90,64,96,0,7,0
"MSTRG.22795",287,299,256,8,9,18
"MSTRG.22796",0,218,164,0,11,6
"MSTRG.22797",1031,765,461,29,25,26
"MSTRG.51447",15,9,2,0,15,16
"MSTRG.51444",1050,1089,872,47,50,74
"MSTRG.51445",178,178,122,15,24,11
"MSTRG.51442",197,184,117,14,17,11
"MSTRG.51443",630,685,545,23,5,14
"MSTRG.51440",259,199,254,12,7,5
"MSTRG.51441",3161,3555,3928,29,12,20
"MSTRG.26081",0,10,0,31,11,19
"MSTRG.26082",96,107,60,32,35,31
"MSTRG.26083",269,814,272,14,12,7
"MSTRG.26084",50,59,44,18,8,17
"MSTRG.26085",113,196,181,7,2,8
"MSTRG.26086",124,99,51,10,0,0
"MSTRG.26087",2210,1923,1355,45,59,39
"MSTRG.50315",191,131,140,28,12,19
"MSTRG.50317",235,6,79,25,22,25
"MSTRG.50316",14,35,12,12,0,17
"MSTRG.50311",34,23,58,4,0,5
"MSTRG.50310",89,71,29,60,32,56
"MSTRG.50313",1321,1254,970,32,0,17
"MSTRG.50312",1880,817,646,20,12,11
"MSTRG.400",0,0,0,22,17,11
"MSTRG.50319",0,15,10,24,41,21
"MSTRG.24792",1605,1083,526,72,46,41
"MSTRG.24793",1351,932,416,57,31,50
"MSTRG.24790",205,199,206,22,17,23
"MSTRG.24791",580,611,621,17,19,26
"MSTRG.24796",132,355,131,8,8,33
"MSTRG.24797",28,104,28,0,4,4
"MSTRG.24794",39,58,31,0,3,8
"MSTRG.24798",162,124,0,47,46,35
"MSTRG.401",90,117,94,11,9,21
"MSTRG.31366",165,146,212,23,20,22
"MSTRG.26332",0,5,0,26,20,19
"MSTRG.26330",0,0,1,12,22,17
"MSTRG.26331",0,0,0,45,40,37
"MSTRG.26337",1055,1208,565,292,142,321
"MSTRG.2150",0,0,0,29,12,11
"MSTRG.18563",0,0,0,15,22,17
"MSTRG.14411",0,0,0,73,35,60
"MSTRG.24249",0,0,0,28,13,30
"MSTRG.14414",11,7,7,42,37,68
"MSTRG.22012",180,91,112,18,19,13
"MSTRG.29119",385,258,164,4,6,5
"MSTRG.25644",10,24,18,9,14,4
"MSTRG.17398",1405,1674,1352,14,14,10
"MSTRG.31363",491,351,431,16,10,22
"MSTRG.17399",311,329,302,16,11,18
"MSTRG.17919",700,680,468,114,56,92
"MSTRG.25649",18,24,0,24,48,19
"MSTRG.29114",0,0,0,13,20,19
"MSTRG.53159",0,0,0,24,22,30
"MSTRG.53157",28,32,25,14,6,15
"MSTRG.53154",211,159,70,8,10,14
"MSTRG.53152",9,11,9,14,14,24
"MSTRG.53151",408,267,158,25,21,17
"MSTRG.10916",14,11,23,0,0,0
"MSTRG.10914",81,88,39,9,0,0
"MSTRG.10913",178,188,276,41,18,15
"MSTRG.10912",317,253,168,21,18,26
"MSTRG.10910",0,0,0,29,21,23
"MSTRG.10918",52,23,12,11,9,0
"MSTRG.41919",114,18,119,35,10,16
"MSTRG.17917",602,431,423,25,13,29
"MSTRG.39428",20,13,16,15,30,35
"MSTRG.39422",0,0,0,31,33,25
"MSTRG.39420",143,154,153,28,20,11
"MSTRG.39424",0,0,2,19,24,22
"MSTRG.39425",92,214,0,65,80,84
"MSTRG.49713",6,10,4,101,64,66
"MSTRG.41658",586,444,458,20,14,18
"MSTRG.41659",1332,1007,1065,23,20,23
"MSTRG.41656",120,83,103,2,9,11
"MSTRG.41657",820,593,663,32,36,30
"MSTRG.41654",1562,1272,1162,119,73,85
"MSTRG.41655",25,12,16,9,2,11
"MSTRG.41652",854,654,712,30,28,34
"MSTRG.41651",340,281,512,15,12,4
"MSTRG.43243",4,21,0,20,24,24
"MSTRG.43247",0,0,0,46,35,52
"MSTRG.43245",1396,1031,1544,0,8,6
"MSTRG.44026",0,0,0,15,19,16
"MSTRG.44027",10,44,17,24,20,10
"MSTRG.44024",672,628,575,23,23,19
"MSTRG.44025",97,58,63,21,10,43
"MSTRG.44022",123,121,585,12,12,16
"MSTRG.44023",141,215,436,13,21,8
"MSTRG.44020",50,20,15,17,6,7
"MSTRG.44021",800,832,637,71,63,60
"MSTRG.44028",40,26,53,8,12,2
"MSTRG.44029",126,214,363,8,0,3
"MSTRG.45375",19,25,15,13,8,4
"MSTRG.45374",0,0,0,12,16,21
"MSTRG.45376",14,49,14,10,5,8
"MSTRG.45370",4035,6249,4028,67,84,110
"MSTRG.38488",108,58,92,7,9,5
"MSTRG.45379",17,0,0,18,27,16
"MSTRG.52208",130,208,123,25,38,24
"MSTRG.52205",57,250,153,29,29,36
"MSTRG.52204",93,80,93,68,62,29
"MSTRG.52207",0,10,21,7,17,17
"MSTRG.52206",8,32,16,52,39,22
"MSTRG.52201",11,7,0,15,26,25
"MSTRG.52200",11,28,18,13,11,6
"MSTRG.43796",144,135,188,13,10,4
"MSTRG.43790",15,14,18,14,11,0
"MSTRG.43792",199,188,208,14,11,10
"MSTRG.45578",188,196,179,5,5,9
"MSTRG.3427",0,0,7,19,31,73
"MSTRG.12519",0,237,365,4,12,7
"MSTRG.19769",21,23,18,17,9,12
"MSTRG.19768",11,2,4,14,4,14
"MSTRG.12512",28,0,0,36,26,5
"MSTRG.12517",1317,1169,592,21,30,27
"MSTRG.19760",4,0,0,23,23,15
"MSTRG.33709",208,141,62,31,13,16
"MSTRG.33708",33,49,61,23,11,18
"MSTRG.48007",1919,1597,1427,30,17,23
"MSTRG.33701",9056,10767,6031,72,72,94
"MSTRG.33700",1941,615,848,14,17,10
"MSTRG.32099",1024,836,815,20,20,17
"MSTRG.33705",1,3,0,14,21,34
"MSTRG.33707",2693,2185,1637,0,18,17
"MSTRG.33706",24,0,13,21,19,11
"MSTRG.44680",161,116,136,14,24,13
"MSTRG.44684",227,62,19,23,10,1
"MSTRG.44558",11,5,5,27,12,27
"MSTRG.2719",18,20,17,0,0,6
"MSTRG.34950",0,0,0,13,18,12
"MSTRG.34952",0,0,0,65,74,106
"MSTRG.34954",0,0,0,14,23,17
"MSTRG.2717",875,741,674,52,26,42
"MSTRG.7940",55,72,56,29,27,23
"MSTRG.42684",546,538,495,28,15,18
"MSTRG.42685",245,182,265,4,7,6
"MSTRG.42686",831,702,705,5,4,0
"MSTRG.42687",35,40,74,27,19,51
"MSTRG.42680",518,594,594,7,9,0
"MSTRG.42681",355,220,121,6,14,8
"MSTRG.42682",163,197,106,17,11,0
"MSTRG.42683",267,226,84,53,46,51
"MSTRG.42688",125,81,36,32,17,27
"MSTRG.42689",0,0,0,15,18,15
"MSTRG.44974",89,71,82,20,14,5
"MSTRG.44975",822,1035,597,112,92,102
"MSTRG.44977",20,16,12,14,11,9
"MSTRG.44970",8,1,0,12,18,12
"MSTRG.44971",196,702,254,13,14,6
"MSTRG.44972",374,265,135,22,4,9
