"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
"MSTRG.19849",68.4483907705851,2.55421033037458,0.415279137806811,6.15058667253062,7.71968580188116e-10,2.57466729790783e-08,"MSTRG.19849"
"MSTRG.19844",496.394656031116,1.43730004019135,0.537484415189996,2.67412412261903,0.00749247147166449,0.0290441937731627,"MSTRG.19844"
"MSTRG.10523",45.5539361593273,1.12085485790532,0.420654118996567,2.66455219927245,0.00770909010629421,0.029667170351462,"MSTRG.10523"
"MSTRG.10520",91.301563628547,1.16220999854887,0.316625821211367,3.67061029357117,0.000241972028879906,0.00172682649249303,"MSTRG.10520"
"MSTRG.10521",543.661722734705,-1.54903477224439,0.262708874202378,-5.89639302040131,3.7153344293955e-09,1.04568406303782e-07,"MSTRG.10521"
"MSTRG.5666",62.295745054843,-1.13624892140292,0.350685240074628,-3.24008196398891,0.00119495345326324,0.00654666117531799,"MSTRG.5666"
"MSTRG.3848",1073.68355400646,-0.972368830092668,0.211087166992759,-4.60648008093274,4.09542271515077e-06,5.14165074488761e-05,"MSTRG.3848"
"MSTRG.3849",345.593007861827,1.75095321828437,0.270171568947309,6.48089369694505,9.11808996330203e-11,3.79906376507926e-09,"MSTRG.3849"
"MSTRG.3844",200.766141952155,-1.60905737844982,0.321607259152522,-5.00317493669112,5.63937216138476e-07,9.0035321383666e-06,"MSTRG.3844"
"MSTRG.18719",48.0991623579412,1.79768637379235,0.381890102463779,4.70733952567637,2.50970707856121e-06,3.36636620106489e-05,"MSTRG.18719"
"MSTRG.18718",14.376361007324,1.79980946831653,0.621718763767207,2.89489327523408,0.00379287463200309,0.0166855038371051,"MSTRG.18718"
"MSTRG.18715",27.8548449943731,1.42811393710567,0.449788582086593,3.17507823449092,0.00149796108417058,0.00787662953060954,"MSTRG.18715"
"MSTRG.18713",227.313471541252,0.829144614290467,0.293061717472736,2.82924914738345,0.00466573609065258,0.0197176258635426,"MSTRG.18713"
"MSTRG.6314",982.778895554478,-0.90061349872732,0.211621252002165,-4.25578003251823,2.08321443229233e-05,0.000211498433162554,"MSTRG.6314"
"MSTRG.6319",158.037669436493,1.55493350349274,0.264928287893506,5.86926188915616,4.37739523134443e-09,1.21309658016413e-07,"MSTRG.6319"
"MSTRG.16180",1117.03523022652,-1.57152828265619,0.275003106297198,-5.71458375076617,1.0997287748335e-08,2.74415032182173e-07,"MSTRG.16180"
"MSTRG.9990",24.7623691016701,-1.78125921684744,0.562034469974094,-3.16930599813485,0.00152803429246168,0.00800675767362799,"MSTRG.9990"
"MSTRG.9997",545.035136404936,-0.957945077508571,0.290579854669972,-3.29666720563463,0.000978393571996717,0.00553329104463723,"MSTRG.9997"
"MSTRG.9994",321.396758230479,-0.785506983255615,0.228172365264967,-3.44260349996126,0.00057614335243302,0.00356943757597669,"MSTRG.9994"
"MSTRG.15172",558.12246603907,-0.730071226752438,0.241714570079019,-3.02038568264118,0.00252452988137565,0.0120108237315132,"MSTRG.15172"
"MSTRG.20690",236.083785420537,1.36240675896297,0.270083056563887,5.04439921665614,4.54948549692733e-07,7.42780704525484e-06,"MSTRG.20690"
"MSTRG.20525",25.5770202466708,-2.23865399048731,0.505040844799348,-4.43261968519938,9.30949941103289e-06,0.000104904858759803,"MSTRG.20525"
"MSTRG.20521",102.723751284826,0.935751995674766,0.34461082821567,2.71538767519266,0.00661982282177075,0.0262421936997508,"MSTRG.20521"
"MSTRG.17327",50.0233097533283,1.17312384466257,0.396656183137309,2.95753323541782,0.00310111316055086,0.0141641268067824,"MSTRG.17327"
"MSTRG.17328",119.352952237328,1.24543450297671,0.350647730266806,3.55181110691653,0.000382589409127132,0.00254041057418571,"MSTRG.17328"
"MSTRG.16053",195.226962730327,-0.977601463891295,0.334781425540045,-2.92011858876071,0.00349898210287842,0.0156018626094982,"MSTRG.16053"
"MSTRG.16054",501.646983859961,0.6618282330479,0.243746626461572,2.71523033018158,0.00662296903028332,0.0262488981272718,"MSTRG.16054"
"MSTRG.25342",131.535779506747,0.758174948407005,0.276865199708173,2.73842631434414,0.00617339928013235,0.0247718630811539,"MSTRG.25342"
"MSTRG.25343",31.9020693929108,-1.36068572860579,0.452108596643228,-3.00964356508254,0.0026155443480745,0.0123590978479864,"MSTRG.25343"
"MSTRG.25347",221.93607642277,-1.09462941159812,0.305114508095746,-3.58760197418938,0.000333733226434951,0.00225585655230909,"MSTRG.25347"
"MSTRG.25344",172.777840548312,0.772150630794251,0.298729329563292,2.58478346241746,0.00974401715891663,0.0356286610385113,"MSTRG.25344"
"MSTRG.25345",231.03309159006,0.783209608887685,0.310743809413054,2.52043511459502,0.0117209845731431,0.0412038742564447,"MSTRG.25345"
"MSTRG.5501",98.8141626299135,1.55732347438026,0.350661903627858,4.44109684647403,8.95015001714062e-06,0.000101298404303158,"MSTRG.5501"
"MSTRG.5502",90.1120561273377,0.976507803564122,0.354909569576582,2.75142708811466,0.00593362271177536,0.0239911446309142,"MSTRG.5502"
"MSTRG.2025",556.675833416939,0.863345114953909,0.224689559440369,3.84239088413467,0.000121841587020218,0.000961567835271985,"MSTRG.2025"
"MSTRG.5506",67.8379438002423,-1.08169828641166,0.426499395002152,-2.53622466781271,0.0112054819177698,0.0397792403145385,"MSTRG.5506"
"MSTRG.2024",1626.5708493273,-0.756971766022641,0.204517716489448,-3.70125277661065,0.000214537620533109,0.00155816151853374,"MSTRG.2024"
"MSTRG.22588",48.6093019726327,-1.12149923901361,0.422741803305796,-2.65291776267122,0.00797993103717412,0.0305278548316291,"MSTRG.22588"
"MSTRG.11584",4314.2022348284,-3.89910190588169,0.389257942417737,-10.0167561942701,1.2865632249911e-23,3.13660637054924e-21,"MSTRG.11584"
"MSTRG.11583",205.646354759635,-1.47399353055929,0.452244955847577,-3.25928130651409,0.00111694857028166,0.00618694171214351,"MSTRG.11583"
"MSTRG.11582",1045.95463729009,-3.82442222482329,0.412640781417644,-9.26816349000778,1.89378457486371e-20,3.25388262048726e-18,"MSTRG.11582"
"MSTRG.11580",1420.7591398624,-3.6729505554395,0.445175016465468,-8.25057655885865,1.57632153965146e-16,1.6927629105269e-14,"MSTRG.11580"
"MSTRG.22581",79.3577379079781,1.22988430201833,0.315551149527995,3.8975750963291,9.71606979327334e-05,0.000789583851983983,"MSTRG.22581"
"MSTRG.22580",835.254088372112,0.632247532490023,0.219401697187605,2.88168934240013,0.00395549503135182,0.0172619946445617,"MSTRG.22580"
"MSTRG.22585",54.4053408598218,1.37494268501792,0.414983121993683,3.31324965317227,0.000922186237262578,0.0052699277499063,"MSTRG.22585"
"MSTRG.22586",1135.84094897401,-0.522474285846505,0.202396580031754,-2.58143831167767,0.00983895737608162,0.0359175698142227,"MSTRG.22586"
"MSTRG.16589",1859.5761077088,-1.18740778310704,0.207163293802168,-5.73174794295826,9.94009115771066e-09,2.51513582855902e-07,"MSTRG.16589"
"MSTRG.16582",36.4150963066603,1.40174756133897,0.419307124287257,3.34300916952382,0.000828751613259792,0.00481375011423693,"MSTRG.16582"
"MSTRG.16583",4864.36514595752,2.0559572515577,0.212202058366685,9.6886772323622,3.36863086929913e-22,7.23493684678876e-20,"MSTRG.16583"
"MSTRG.16580",1350.51011858319,-3.173814959055,0.282636789012637,-11.2293058881061,2.92769387637765e-29,1.32046313059323e-26,"MSTRG.16580"
"MSTRG.16581",698.948910706373,-2.08868782426908,0.29328173707664,-7.12177936849599,1.06542513957163e-12,6.38582556246237e-11,"MSTRG.16581"
"MSTRG.23185",85.5974610660924,1.05059708086292,0.370003843080386,2.83942207766384,0.0045195331924614,0.019198704573863,"MSTRG.23185"
"MSTRG.15775",59.4901977733561,1.32594787414895,0.374297605005703,3.54249628214626,0.000396359009967368,0.00260784569614197,"MSTRG.15775"
"MSTRG.15776",317.668254172472,0.612419198283463,0.251431247160424,2.43573225364751,0.0148616804751187,0.0496517736021512,"MSTRG.15776"
"MSTRG.10722",76.0181757575167,2.29825947686531,0.334804154764008,6.86448911748205,6.67296271215366e-12,3.48947595043374e-10,"MSTRG.10722"
"MSTRG.10725",1125.70843444896,0.850719844860183,0.220393094746769,3.86001133945533,0.00011338176349406,0.000903498407772235,"MSTRG.10725"
"MSTRG.12769",192.644967399941,0.879883237282265,0.300788568752163,2.92525490889666,0.00344174168831459,0.0153846535676124,"MSTRG.12769"
"MSTRG.12761",28.562842134183,1.38228942606186,0.458689393029534,3.01356309316892,0.0025819934696271,0.0122390289504841,"MSTRG.12761"
"MSTRG.12765",50.1208342118894,-2.81361735032972,0.423480556660571,-6.64402959256734,3.05221252467045e-11,1.40831115492531e-09,"MSTRG.12765"
"MSTRG.10892",123.894683817482,1.44764354210706,0.329901781163688,4.38810465648497,1.14342753941351e-05,0.000125021674173086,"MSTRG.10892"
"MSTRG.10893",102.021534997826,1.36137682907078,0.302269997500775,4.50384371696463,6.67352915255934e-06,7.93652863818873e-05,"MSTRG.10893"
"MSTRG.10890",75.0349400920561,1.66831507550261,0.40998532071465,4.06920685012465,4.71734527191572e-05,0.000425315472516899,"MSTRG.10890"
"MSTRG.10891",254.316660590914,1.53534355280931,0.357134672217806,4.2990604728318,1.71523671234605e-05,0.000178767102989227,"MSTRG.10891"
"MSTRG.10895",190.579607755382,1.86154372508831,0.312438625249451,5.95811008834793,2.55171608998867e-09,7.52214215351071e-08,"MSTRG.10895"
"MSTRG.17048",90.7730898031572,-0.972108077901453,0.334673443606204,-2.90464659348739,0.00367667984095707,0.0162615790661207,"MSTRG.17048"
"MSTRG.12494",546.207249544569,0.601561662566042,0.234976660886739,2.5600911183941,0.0104644722310651,0.037659992723049,"MSTRG.12494"
