"","X1041.gtf","X1471.gtf","X1637.gtf","Sample1.gtf","Sample2.gtf","Sample3.gtf"
"STRG.15595",37,7,33,59,28,89
"STRG.15597",225,176,144,165,247,208
"STRG.15598",313,299,259,95,97,148
"STRG.12064",432,700,361,443,802,554
"STRG.12060",68,44,49,94,60,90
"STRG.18750",280,193,177,43,36,33
"STRG.1013",169,129,141,57,54,55
"STRG.18759",27,10,20,67,76,78
"STRG.14881",14,6,0,41,27,70
"STRG.18289",1393,1336,1215,979,2008,1708
"STRG.22385",386,323,270,87,85,89
"STRG.22383",361,199,301,69,93,82
"STRG.16764",110,159,120,136,164,187
"STRG.16765",589,588,622,593,687,806
"Pocillopora_acuta_HIv1_PredGene_g10882.t1",0,0,0,28,28,31
"STRG.15046",80,158,73,113,317,105
"STRG.19483",86,64,49,124,76,86
"STRG.19151",826,723,760,196,158,186
"STRG.19152",149,88,122,30,18,42
"STRG.6841",2279,1614,1769,2038,2551,2523
"STRG.6840",1070,1056,1013,357,316,329
"STRG.6845",117,80,151,138,127,163
"STRG.15867",451,354,336,48,24,49
"STRG.15863",335,271,249,271,297,342
"STRG.4992",6037,4163,4341,4143,6813,6082
"STRG.4994",115,82,78,21,21,26
"STRG.256",202,283,257,62,106,84
"STRG.252",59,75,68,20,22,12
"STRG.250",357,239,263,19,42,43
"STRG.21124",14,0,13,107,29,139
"STRG.21122",13,5,10,65,8,88
"STRG.10332",1751,1389,1461,634,661,602
"STRG.10336",72,70,75,65,122,127
"STRG.20839",216,223,159,42,19,23
"STRG.20834",179,148,105,31,43,43
"STRG.17573",160,148,131,182,226,223
"STRG.3508",162,124,97,171,152,132
"STRG.7082",172,142,185,33,31,69
"STRG.1866",68,53,66,15,15,21
"STRG.14059",201,158,151,162,292,237
"STRG.1862",100,117,110,19,19,25
"STRG.1860",1787,1621,1276,2096,2752,2522
"STRG.14051",801,854,790,952,1084,1289
"STRG.1868",1387,1334,1289,1037,1387,1288
"STRG.8509",334,571,293,84,129,117
"STRG.7336",3614,4459,3668,800,847,987
"STRG.7331",453,613,449,533,1471,1093
"STRG.16991",41,69,40,90,140,96
"Pocillopora_acuta_HIv1_PredGene_g17706.t1",0,0,4,18,27,13
"STRG.23711",649,529,540,62,60,80
"STRG.23716",164,160,147,148,188,223
"STRG.12065",26,18,19,26,36,39
"STRG.4064",101,108,88,166,155,181
"STRG.6064",803,534,530,778,844,694
"STRG.21822",1451,1264,1283,1917,4717,3058
"STRG.21821",305,176,206,69,59,52
"STRG.15381",39,36,45,12,7,8
"STRG.13526",108,121,103,107,200,139
"STRG.13525",273,141,133,63,54,59
"STRG.23565",28,20,11,28,56,38
"STRG.1016",81,54,41,61,144,105
"Pocillopora_acuta_HIv1_PredGene_g22811.t1",0,0,0,31,26,45
"STRG.5590",1994,1487,1119,1850,2773,2203
"STRG.9076",109,110,97,87,172,142
"STRG.5598",312,297,332,339,538,639
"STRG.5599",380,341,295,72,72,105
"STRG.9079",1361,2892,2288,341,423,580
"STRG.15528",291,231,220,222,291,273
"STRG.4249",321,150,199,228,343,294
"STRG.14298",302,226,241,321,936,691
"STRG.14299",426,280,303,285,367,344
"STRG.14292",7,9,12,27,20,16
"STRG.14294",287,225,237,53,99,107
"STRG.7532",74,137,87,34,25,25
"STRG.3629",500,363,289,120,138,147
"STRG.3626",448,320,289,351,323,350
"STRG.3625",673,494,422,172,260,154
"STRG.3622",366,321,245,91,99,110
"STRG.3623",1278,1156,998,908,1052,1199
"STRG.15654",249,318,253,108,103,118
"STRG.3195",717,642,723,316,298,351
"STRG.12928",3,0,0,11,32,34
"STRG.6661",19,24,14,69,70,89
"STRG.6664",419,393,344,354,772,484
"STRG.6666",433,360,320,502,526,422
"STRG.6668",598,424,432,433,644,629
"STRG.2572",772,786,719,263,234,334
"STRG.2578",27,49,47,131,195,147
"Pocillopora_acuta_HIv1_PredGene_g4328.t1",0,0,0,19,17,13
"STRG.23994",64,36,60,10,4,7
"STRG.23996",20,5,11,36,37,48
"STRG.23998",453,404,408,121,152,179
"STRG.19839",508,294,358,345,641,480
"STRG.5923",549,481,467,453,513,460
"STRG.19831",183,146,184,65,46,37
"STRG.5927",564,399,312,330,700,445
"STRG.19835",226,205,201,81,44,87
"STRG.5924",49,69,47,70,110,98
"STRG.13722",29,13,17,29,47,45
"STRG.13724",102,191,168,146,411,262
"STRG.13729",23,12,7,32,26,29
"STRG.13728",852,761,461,928,1344,964
"STRG.11769",47,83,67,8,12,12
"STRG.11768",147,246,195,329,692,508
"STRG.11766",251,395,203,776,967,867
"STRG.22641",113,144,117,144,282,190
"STRG.13897",192,145,70,260,226,216
"STRG.22649",104,66,66,134,162,182
"STRG.21599",472,543,443,137,159,188
"STRG.20648",326,352,225,318,337,310
"STRG.20642",254,150,196,176,213,244
"STRG.20646",574,492,477,414,484,450
"STRG.20647",430,391,267,123,79,92
"STRG.11495",152,126,145,34,27,28
"STRG.11490",116,126,78,118,172,145
"STRG.1604",144,55,114,194,339,380
"STRG.1605",474,461,406,285,714,561
"STRG.8021",311,274,306,98,104,103
"STRG.5125",236,185,311,213,351,449
"STRG.7844",251,185,239,237,267,334
"STRG.9465",365,341,406,74,33,65
"Pocillopora_acuta_HIv1_PredGene_g32335.t1",0,36,39,164,95,187
"STRG.19156",32,62,49,73,87,56
"STRG.7037",85,74,98,27,17,19
"STRG.15865",181,155,111,22,13,14
"STRG.18823",226,182,161,45,45,45
"STRG.18827",140,149,106,37,57,49
"Pocillopora_acuta_HIv1_PredGene_g28116.t1",0,2,3,175,174,187
"STRG.23522",191,138,153,137,251,197
"STRG.23527",137,56,105,20,9,25
"Pocillopora_acuta_HIv1_PredGene_g28114.t1",0,16,0,66,37,59
"STRG.52",62,65,70,50,97,116
"STRG.9910",2032,1094,1343,553,606,580
"STRG.9919",268,260,282,49,98,67
"STRG.20404",352,251,311,43,14,22
"STRG.20405",3509,2883,2511,4248,5343,4803
"STRG.5417",349,414,364,100,117,108
"STRG.5416",193,315,145,49,92,63
"STRG.5413",59,37,59,61,146,128
"STRG.5412",113,100,87,31,38,40
"STRG.2824",5,4,8,13,11,26
"STRG.2828",91,41,121,205,120,249
"STRG.1696",809,869,551,757,989,927
