"","X1041.gtf","X1471.gtf","X1637.gtf","Sample1.gtf","Sample2.gtf","Sample3.gtf"
"STRG.14481",1730,1583,1889,2045,4720,4140
"STRG.14483",272,237,245,77,105,90
"STRG.14485",82,52,54,116,116,159
"STRG.14487",179,171,142,49,69,58
"STRG.14486",567,409,476,407,712,551
"STRG.8392",54,74,83,18,5,19
"STRG.8397",2352,2755,2264,2482,4331,3637
"STRG.8399",464,332,553,87,69,202
"STRG.7965",213,159,136,48,61,36
"STRG.14737",9426,7953,4847,2678,2634,1987
"STRG.14736",186,222,210,60,88,89
"STRG.14735",121,156,145,25,44,66
"STRG.7967",623,640,472,239,267,206
"STRG.15287",244,187,139,208,234,239
"STRG.15282",53,20,42,57,182,98
"STRG.4389",514,381,467,57,50,88
"STRG.7705",251,232,236,284,388,389
"STRG.8972",601,915,663,172,259,186
"STRG.8970",1006,848,768,286,214,310
"STRG.3018",51,41,24,105,96,89
"STRG.12880",30,47,14,0,0,0
"STRG.1705",886,697,723,1033,913,1063
"STRG.1703",454,309,335,131,147,141
"STRG.1701",835,558,619,832,820,908
"STRG.16646",11,7,8,19,20,19
"STRG.16642",432,443,341,388,445,382
"STRG.14052",171,215,201,49,23,55
"STRG.17118",35,55,56,56,94,75
"STRG.2057",1548,1499,1254,2229,3052,2896
"STRG.18591",252,200,223,193,225,251
"STRG.18597",454,348,324,272,432,476
"STRG.2058",1150,658,708,724,946,899
"STRG.19649",255,392,144,55,49,112
"STRG.19645",66,112,88,15,33,16
"STRG.23815",133,141,114,30,41,21
"STRG.23811",134,225,182,17,33,37
"STRG.23812",76,66,55,68,67,96
"STRG.23813",316,256,380,83,72,126
"STRG.8502",2375,1872,1726,1985,2241,2785
"STRG.8500",1911,3770,1647,11334,23016,13544
"STRG.13912",92,113,112,217,298,348
"STRG.13918",211,162,163,287,367,378
"STRG.21417",43,21,31,45,76,40
"STRG.3836",575,500,439,158,242,260
"STRG.3835",4992,6537,4983,776,731,760
"STRG.3833",515,500,385,451,485,487
"STRG.3830",1017,926,1057,249,266,307
"STRG.12273",969,1010,946,938,1185,1210
"STRG.1245",1042,626,738,685,1029,1056
"STRG.11519",1645,1581,1568,262,140,328
"STRG.11510",546,326,334,123,91,104
"STRG.11516",124,135,188,54,40,48
"STRG.16075",126,55,81,28,23,22
"STRG.24131",326,319,274,59,35,48
"STRG.24138",32,20,23,69,24,96
"STRG.11634",3,4,6,14,42,20
"STRG.13005",552,345,392,79,81,64
"STRG.5194",1580,1372,1250,988,2616,1786
"STRG.4704",6,14,14,25,62,42
"STRG.4702",85,89,100,14,17,24
"Pocillopora_acuta_HIv1_PredGene_g14167.t1",0,9,0,104,100,110
"Pocillopora_acuta_HIv1_PredGene_g21500.t1",0,2,3,12,28,12
"STRG.23717",1375,1274,1232,479,619,569
"STRG.9346",205,144,159,48,33,30
"Pocillopora_acuta_HIv1_PredGene_g11311.t1",0,0,0,2330,10144,5541
"Pocillopora_acuta_HIv1_PredGene_g23735.t1",0,0,0,35,32,18
"Pocillopora_acuta_HIv1_PredGene_g14132.t1",0,4,0,13,32,33
"STRG.12573",111,121,94,147,247,162
"STRG.12576",104,151,78,96,234,185
"STRG.14808",10,43,0,59,144,157
"STRG.14805",7,7,9,53,118,52
"STRG.14804",192,259,184,661,1317,1226
"STRG.14807",4,28,4,96,197,188
"STRG.14806",12,11,7,121,185,139
"STRG.14801",209,218,143,136,299,238
"STRG.14800",317,304,239,566,1303,900
"STRG.14803",40,21,34,75,194,132
"STRG.22304",163,85,77,179,289,250
"STRG.2877",226,148,246,59,44,95
"STRG.19409",29,25,31,0,4,0
"STRG.16981",2041,934,1344,1272,1529,1924
"STRG.16988",110,77,136,127,120,244
"STRG.21654",80,48,117,19,10,12
"STRG.21656",2189,2192,1838,334,341,393
"STRG.21653",237,169,141,280,309,340
"STRG.17051",181,166,119,28,65,62
"STRG.17054",61,40,69,10,14,8
"STRG.3584",613,665,606,145,121,156
"STRG.3589",603,459,449,210,198,265
"STRG.10913",341,301,282,49,72,105
"STRG.10912",2924,2159,1547,2919,3553,2740
"STRG.10911",1591,1603,1516,1649,1920,2073
"STRG.20219",235,182,182,71,45,35
"STRG.20218",3691,2673,2750,1439,985,1195
"STRG.20215",136,135,138,149,290,233
"STRG.20214",347,290,310,313,480,457
"STRG.20213",2396,2124,1826,1661,2050,1848
"STRG.20210",214,174,158,40,52,61
"STRG.11065",243,148,112,33,34,37
"STRG.11068",4083,1235,3830,12299,2927,13707
"STRG.11069",1738,1135,1993,4376,1832,5796
"Pocillopora_acuta_HIv1_PredGene_g5137.t1",0,0,0,87,158,342
"STRG.2674",67,85,59,72,106,93
"STRG.2672",651,557,552,628,1276,1099
"STRG.2671",2471,2031,2035,2318,5413,4269
"STRG.7004",81,113,97,7,28,27
"STRG.7001",397,252,364,385,521,591
"STRG.6350",3039,1186,1047,4516,1850,2056
"STRG.6353",991,806,878,792,836,945
"STRG.6356",72,109,141,198,224,256
"STRG.8583",266,375,403,293,603,483
"STRG.944",265,197,137,47,78,69
"STRG.942",1369,1209,1139,1076,1296,1257
"STRG.1511",1104,668,558,992,969,949
"STRG.13034",78,105,95,21,21,18
"STRG.13036",747,620,567,256,300,292
"STRG.13038",117,99,69,82,182,120
"STRG.10078",350,309,319,42,117,99
"STRG.10074",146,114,100,116,152,193
"STRG.10075",867,735,615,670,995,880
"STRG.11309",384,322,341,129,161,169
"STRG.11300",120,112,109,29,31,19
"STRG.11305",1188,1039,1022,766,1235,1341
"STRG.11307",219,198,132,31,40,40
"STRG.11306",1814,1290,1178,1074,1406,1317
"STRG.18024",95,73,76,28,27,15
"STRG.5666",2445,1913,1780,3778,4155,4830
"STRG.5661",1146,1283,904,1139,1582,1373
"STRG.5663",388,239,224,409,442,390
"STRG.5669",1207,1405,988,1603,2406,2156
"STRG.8921",20,16,21,30,48,53
"STRG.7750",43,19,49,106,132,165
"STRG.14218",921,573,633,850,904,883
"STRG.8741",65,213,147,148,371,253
"STRG.1358",8708,7825,7443,1324,2016,1888
"STRG.1350",232,156,172,33,57,60
"STRG.1351",81,63,56,6,10,29
"STRG.1355",411,233,247,82,56,65
"STRG.18659",704,723,598,475,929,808
"STRG.12302",827,701,550,193,178,179
"STRG.2149",399,368,246,57,27,45
"STRG.22531",68,89,38,69,128,108
"STRG.22533",180,208,186,59,76,67
"STRG.16532",1904,1916,1570,462,382,515
"STRG.16530",66,41,43,4,7,4
"STRG.16534",22,13,24,63,24,73
"STRG.683",57,51,49,66,133,71
"STRG.688",108,92,83,62,273,123
"STRG.5306",95,82,68,10,15,6
"STRG.6962",327,362,248,90,81,87
"STRG.6964",634,552,413,436,1004,867
"STRG.10276",340,237,301,77,105,121
"STRG.10273",177,156,172,68,52,59
"STRG.9453",90,89,51,105,108,75
"STRG.20978",12,4,17,34,38,48
"STRG.20974",1292,1615,1185,283,467,387
"STRG.20971",143,324,84,24,62,23
"STRG.3460",59,38,75,122,118,149
"STRG.3464",16,19,32,0,4,0
"STRG.3467",267,233,200,273,565,473
"STRG.3468",128,135,135,33,51,61
"STRG.358",175,217,180,55,46,56
"STRG.352",179,191,189,343,399,403
"STRG.353",249,232,180,279,190,278
"STRG.350",27,24,41,113,129,157
"STRG.351",98,79,93,323,457,376
"STRG.2313",250,354,252,0,0,12
"STRG.10892",484,390,400,847,616,633
"STRG.20398",157,126,138,180,285,295
"STRG.20392",37,17,21,58,21,58
"STRG.20395",314,211,185,78,65,86
"STRG.8269",1313,499,733,276,134,273
"STRG.8260",3244,2971,1930,621,704,513
"STRG.6142",2971,2271,1884,725,1117,792
"STRG.6147",165,65,156,252,278,319
"STRG.13207",474,651,526,496,603,801
"STRG.15240",220,152,224,197,313,328
"STRG.21995",420,315,313,100,86,72
"Pocillopora_acuta_HIv1_PredGene_g5488.t1",0,15,3,102,150,152
"STRG.11572",188,208,176,217,290,279
"Pocillopora_acuta_HIv1_PredGene_g12139.t1",0,1,0,42,11,13
"STRG.16422",133,78,98,21,17,33
"STRG.5144",209,255,244,65,117,86
"Pocillopora_acuta_HIv1_PredGene_g6739.t1",0,3,3,16,25,11
"STRG.4816",489,438,337,174,180,212
"STRG.4813",3,17,0,17,55,34
"STRG.5495",31270,47403,32048,6905,8406,7066
"STRG.9330",176,49,154,454,364,553
"STRG.4125",176,111,118,42,59,43
"STRG.17978",20,13,15,45,74,87
"STRG.4362",419,451,368,89,117,106
"STRG.4360",337,500,373,109,161,142
"STRG.4361",304,241,371,33,38,61
"STRG.8461",220,205,182,59,53,53
"STRG.8460",550,513,369,89,147,136
"STRG.14401",1454,862,1079,1080,983,1298
"STRG.11286",2,9,3,22,17,26
"STRG.14407",93,45,62,105,63,115
"STRG.16317",29,53,24,62,82,66
"STRG.16315",94,54,51,11,15,6
"STRG.16314",528,609,418,583,688,831
"STRG.12809",1103,660,787,265,173,211
"STRG.12808",770,273,469,79,33,74
"STRG.12802",4,6,3,14,18,15
"STRG.12800",144,215,104,38,44,43
"STRG.12807",1625,1742,1890,228,192,203
"STRG.12806",3842,3031,2383,462,369,352
"STRG.12805",188,185,175,27,0,30
"STRG.12804",103,119,64,24,39,19
"STRG.19691",133,76,102,276,227,197
"STRG.19696",263,81,146,226,275,217
"STRG.6438",7252,8013,6441,1262,769,1099
"STRG.2329",514,267,387,85,48,127
"STRG.2320",83,56,65,281,125,352
"STRG.2322",7002,8316,7087,873,819,894
"STRG.2325",178,217,148,39,31,43
"STRG.2326",598,732,637,148,158,215
"Pocillopora_acuta_HIv1_PredGene_g31681.t1",0,0,12,29,27,78
"STRG.15468",320,260,206,851,553,749
"STRG.15462",19,7,34,23,49,73
"STRG.15466",312,241,236,81,137,108
"STRG.12119",9,53,13,118,163,138
"STRG.12110",1649,1748,1526,1522,1926,2070
"STRG.12116",222,181,174,48,45,59
"STRG.17191",821,1308,904,1659,2307,2191
"STRG.17196",4150,4266,4249,1665,2004,2259
"STRG.17197",206,97,199,43,30,41
"STRG.209",1038,920,941,174,149,213
"STRG.17198",97,189,181,24,14,15
"STRG.21944",21,12,18,44,46,51
"STRG.21946",134,207,151,191,322,239
"STRG.21940",165,104,114,46,33,33
"STRG.23896",389,446,378,673,778,962
"STRG.23890",586,558,506,126,145,155
"STRG.23899",17321,20997,21716,2382,2648,3343
"STRG.19976",618,455,423,410,742,548
"STRG.5806",544,540,547,255,200,244
"STRG.5801",297,291,288,26,15,37
"STRG.19970",371,175,234,80,74,78
"STRG.18377",192,161,241,49,60,56
"STRG.18375",3353,3651,3064,982,952,906
"STRG.18374",113,150,109,127,135,181
"STRG.13446",2600,2203,2000,3759,6519,5560
"STRG.13447",831,739,742,851,944,825
"STRG.13440",883,935,876,1394,3027,2061
"STRG.13448",266,313,308,62,62,82
"Pocillopora_acuta_HIv1_PredGene_g6495.t1",0,0,0,12,26,22
"STRG.22768",114,86,111,122,92,200
"STRG.21496",887,892,756,273,437,401
"STRG.21494",75,92,111,86,124,141
"STRG.21492",952,676,659,782,1216,1054
"STRG.20722",2263,2222,2236,467,238,310
"STRG.11595",1043,989,966,854,1075,1060
"STRG.19026",90,51,42,9,5,9
"STRG.1912",15,10,0,55,18,31
"STRG.1910",241,143,115,222,300,239
"STRG.1917",53,93,93,16,30,21
"STRG.1914",61,65,45,74,146,118
"STRG.7422",209,42,142,178,202,268
"Pocillopora_acuta_HIv1_PredGene_g7868.t1",0,0,0,17,21,13
"STRG.23408",5,10,8,36,40,34
"STRG.23407",9,9,8,30,42,40
"STRG.23404",471,281,292,131,119,139
"Pocillopora_acuta_HIv1_PredGene_g2799.t1",0,0,0,12,43,11
"STRG.2010",137,152,205,52,61,65
"Pocillopora_acuta_HIv1_PredGene_g907.t1",0,0,0,11,16,11
"STRG.13959",98,140,161,174,299,307
"STRG.9815",130,74,72,379,267,296
"STRG.9813",398,343,212,85,91,111
"STRG.16906",705,798,849,318,330,359
"STRG.16907",203,156,124,125,322,217
"STRG.16900",1192,987,1013,465,478,526
"STRG.8932",318,190,314,335,396,426
"STRG.5751",493,313,357,347,571,479
"STRG.5753",95,73,54,98,144,101
"STRG.5754",270,279,279,305,610,349
"STRG.20291",89,81,78,26,20,29
"STRG.2900",885,688,670,561,1129,930
"STRG.2901",548,407,350,595,699,621
"STRG.2904",125,108,188,361,464,645
"STRG.9104",77,50,80,11,10,7
"STRG.8054",223,92,145,180,250,256
"STRG.8055",81,67,71,246,319,355
"STRG.8050",6,26,20,54,43,57
"STRG.14676",336,229,283,294,410,453
"STRG.14675",3271,918,1195,3284,2815,2830
"STRG.14672",510,233,240,633,614,689
"STRG.14671",1138,699,693,987,944,946
"STRG.14678",69,64,62,130,160,154
"STRG.16297",1288,1062,896,431,465,468
"STRG.16291",550,628,696,127,243,213
"STRG.7991",1100,838,765,996,1294,1422
"STRG.16129",1549,1568,1328,1782,1755,1775
"STRG.16126",336,368,372,115,123,166
"STRG.12638",66,54,95,98,129,150
"STRG.12636",98,81,101,100,156,171
"STRG.21066",311,170,198,57,33,48
"STRG.23176",466,248,217,68,66,99
"STRG.2480",550,971,1150,182,283,272
"STRG.2488",10258,8912,8292,10600,14410,13975
"STRG.17657",488,302,361,151,150,172
"STRG.17656",570,583,683,104,144,235
"STRG.18497",475,266,218,41,20,17
"STRG.18495",142,141,140,140,264,289
"STRG.3376",7034,9426,6568,1150,1525,1491
"STRG.20622",560,398,415,75,73,95
"STRG.10568",677,533,418,476,675,554
"STRG.10565",292,265,245,93,101,117
"STRG.18236",812,789,649,679,960,708
"STRG.18237",154,203,185,173,323,208
"Pocillopora_acuta_HIv1_PredGene_g24515.t1",0,0,0,13,11,11
"STRG.19296",159,194,188,158,193,211
"STRG.445",871,775,780,593,890,798
"STRG.20886",906,808,835,727,1329,1110
"STRG.20887",351,380,263,241,620,398
"STRG.9620",144,127,105,121,135,180
"STRG.23238",56,71,79,89,288,218
"STRG.23232",1508,902,1111,416,283,458
"STRG.77",873,1002,873,859,1128,1074
"STRG.17827",333,347,270,112,118,93
"STRG.17825",2247,1978,2038,1947,3090,3189
"STRG.19591",511,588,391,409,604,582
"STRG.12438",276,214,233,313,300,386
"STRG.12439",5176,4845,4744,1033,940,1205
"STRG.12436",151,144,166,39,36,51
"STRG.12434",275,134,128,64,45,38
"STRG.12431",73,103,76,89,205,133
"STRG.5",164,277,114,30,53,41
"STRG.19529",155,277,215,245,472,289
"STRG.19528",94,103,82,14,7,5
"STRG.19525",104,71,86,18,23,24
"STRG.19527",121,69,58,14,28,21
"STRG.19526",76,54,46,15,11,20
"STRG.19520",117,101,79,23,24,34
"STRG.5386",397,176,320,371,388,469
"STRG.9605",231,203,175,161,255,206
"STRG.5380",70,48,56,66,79,93
"STRG.21044",718,495,419,643,548,571
"STRG.21041",767,741,725,665,886,893
"STRG.21043",6062,7190,5759,504,393,591
"STRG.3972",177,278,160,257,485,427
"STRG.17262",772,656,443,521,1260,753
"STRG.17265",1077,1099,1039,1098,1295,1404
"STRG.17268",933,645,784,906,878,1388
"STRG.605",137,91,71,34,20,31
"STRG.606",1213,1256,1129,1070,1116,1217
"STRG.607",29,51,32,38,69,61
"STRG.600",1443,1241,1213,566,545,505
"STRG.601",153,127,138,31,34,52
"STRG.4477",47,48,48,47,69,63
"STRG.4475",225,168,351,386,188,573
"STRG.10812",14,8,0,28,23,34
"STRG.10813",459,537,412,612,739,836
"STRG.10811",9,19,9,20,25,32
"STRG.10816",275,195,128,51,27,35
"STRG.17840",531,453,442,527,851,767
"STRG.6955",86,86,51,100,214,137
"STRG.20312",241,127,158,229,459,400
"STRG.6953",133,92,85,29,30,27
"STRG.20318",213,234,195,285,357,339
"STRG.11141",1173,1190,802,364,528,433
"STRG.15939",1539,1995,1985,1564,2714,2990
"STRG.8157",48,51,109,102,161,276
"STRG.8156",113,64,67,20,20,31
"STRG.11853",284,287,205,275,285,363
"STRG.23032",331,256,147,374,296,317
"STRG.23035",104,135,66,27,19,20
"STRG.22928",105,98,107,24,26,33
"STRG.3128",1678,1197,1166,2039,2432,2335
"STRG.1418",848,967,657,823,1247,974
"STRG.1417",6,2,4,35,29,24
"STRG.13174",1078,1001,815,836,899,981
"STRG.13176",2490,2426,2107,2484,2748,2889
"STRG.13172",393,281,302,92,101,120
"STRG.13173",118,115,143,18,23,16
"STRG.13178",89,111,70,17,14,15
"STRG.13179",477,579,404,148,201,159
"STRG.10485",241783,270129,225889,36108,50565,47461
"STRG.10486",257,349,395,315,492,548
"STRG.10482",1866,1101,1754,1604,1477,2366
"STRG.13828",30,23,10,406,83,158
"STRG.13829",75,44,52,164,35,139
"STRG.13822",12,27,11,66,172,97
"Pocillopora_acuta_HIv1_PredGene_21647_t",0,0,0,14,17,19
"STRG.13825",4,35,0,75,239,98
"STRG.21523",3803,1858,3167,407,309,545
"STRG.21520",101,87,84,83,134,112
"STRG.10738",319,199,236,260,356,392
"STRG.10734",607,416,448,435,619,624
"STRG.4740",47,42,25,6,9,6
"STRG.11461",71,107,75,24,29,26
"STRG.24046",878,866,729,179,188,208
"STRG.18124",329,338,352,436,720,551
"STRG.8820",173,155,125,56,56,39
"STRG.9448",2229,1748,1501,2521,1947,2289
"STRG.9449",309,301,194,73,61,78
"STRG.9440",654,520,687,998,1659,1687
"STRG.9442",307,255,229,51,80,92
"STRG.9445",151,105,168,188,315,399
"STRG.4678",14,0,0,34,21,35
"STRG.4670",83,55,56,62,75,86
"STRG.4672",2,0,2,17,13,16
"STRG.4673",7,5,8,26,50,50
"STRG.3103",45,57,55,62,125,130
"STRG.3100",87,92,87,11,24,27
"STRG.3107",14,26,25,24,64,65
"STRG.3106",80,77,77,14,25,22
"STRG.16067",478,336,410,572,758,859
"STRG.10884",396,199,224,103,53,57
"STRG.15750",137,70,67,23,19,7
"STRG.17447",113,174,149,56,737,315
"STRG.18048",55,65,52,0,0,13
"STRG.18047",166,128,111,21,16,43
"STRG.18041",223,159,232,0,0,4
"STRG.18043",487,491,438,136,126,179
"STRG.14930",239,155,197,34,45,45
"STRG.14939",104,97,44,100,122,121
"STRG.5888",210,145,173,62,56,69
"STRG.12191",647,519,518,230,159,221
"STRG.12196",49,49,43,54,81,102
"STRG.22273",6349,5661,4137,13765,13232,13521
"STRG.22277",352,234,252,85,85,130
"Pocillopora_acuta_HIv1_PredGene_g25290.t1",0,0,0,32,41,38
"STRG.5268",221,214,205,74,102,96
"STRG.22644",562,539,511,138,126,144
"STRG.13898",60,77,75,132,277,193
"STRG.10135",81,47,152,160,133,255
"STRG.10134",36,54,44,158,108,278
"STRG.10136",41,41,19,69,147,118
"STRG.21596",13,16,8,30,30,21
"STRG.11262",7,0,7,14,24,34
"STRG.11260",37,54,46,57,117,71
"STRG.21595",9,5,11,34,47,48
"STRG.11269",2251,2086,1596,795,738,834
"STRG.8347",521,481,431,361,588,585
"STRG.8348",1139,1039,1141,857,2611,1629
"STRG.1991",251,210,260,58,54,38
"STRG.14166",687,286,492,173,71,177
"Pocillopora_acuta_HIv1_PredGene_7507_t",0,0,0,82,129,169
"STRG.6772",384,447,295,303,464,441
"STRG.6771",483,493,428,509,635,640
"STRG.6774",436,397,405,154,182,168
"STRG.11953",54,62,42,11,9,10
"STRG.1206",27,38,35,46,41,55
"STRG.13326",28,47,65,78,67,107
"STRG.13321",156,87,149,42,31,39
"STRG.13320",1547,1127,1380,3167,2439,4621
"STRG.13322",3878,1881,2026,5356,2922,3852
"Pocillopora_acuta_HIv1_PredGene_g31816.t2",0,0,0,31,87,85
"STRG.16990",572,539,591,426,804,707
"STRG.9182",976,872,928,270,348,372
"STRG.9185",234,228,215,88,90,96
"STRG.21504",679,431,410,450,646,661
"STRG.4003",23,10,26,73,23,41
"STRG.4007",87,52,36,264,99,103
"STRG.4004",325,313,352,28,27,26
"STRG.14365",331,180,139,52,83,49
"STRG.15090",9,23,21,80,254,139
"STRG.15093",6,12,24,100,100,158
"Pocillopora_acuta_HIv1_PredGene_g2802.t1",0,0,0,29,31,39
"STRG.8630",379,381,350,142,191,172
"STRG.8631",585,589,586,755,1018,1102
"STRG.8635",583,752,625,179,208,175
"STRG.8636",2540,1658,1871,512,852,702
"STRG.15548",549,381,338,175,110,174
"STRG.15545",270,261,257,78,79,107
"STRG.15544",19,21,25,0,0,0
"STRG.15543",204,219,202,84,28,53
"STRG.15542",263,220,261,56,90,110
"STRG.15541",265,275,244,307,460,402
"Pocillopora_acuta_HIv1_PredGene_g33619.t1",0,4,7,13,39,23
"STRG.12013",114,146,183,209,267,231
"Pocillopora_acuta_HIv1_PredGene_g31799.t1",0,0,7,14,60,35
"STRG.4942",550,385,417,82,52,72
"STRG.4949",2666,2402,2389,1967,3038,3265
"STRG.22409",20,21,21,25,54,41
"STRG.22400",75,38,68,16,16,15
"STRG.22407",233,283,245,44,48,59
"STRG.13657",202,124,105,158,166,219
"STRG.13656",971,636,609,170,130,173
"STRG.13650",136,256,231,36,39,67
"STRG.20800",59,80,38,7,8,9
"STRG.1058",2992,3197,2573,4258,9165,7207
"STRG.195",960,572,767,309,334,272
"STRG.11656",384,258,279,74,61,54
"STRG.11654",157,159,156,115,249,209
"STRG.11652",273,226,151,39,50,55
"STRG.11650",29,64,78,9,7,17
"STRG.19103",225,133,166,260,218,221
"STRG.19100",102,112,95,23,23,15
"STRG.19108",593,553,426,544,812,799
"STRG.6896",74,101,97,117,177,121
"STRG.6897",554,416,327,29,16,26
"STRG.6894",230,221,311,38,40,64
"STRG.6891",153,94,120,33,26,29
"STRG.8612",280,130,186,188,218,298
"STRG.224",414,522,389,317,1167,745
"STRG.225",398,680,566,52,50,62
