"","X1041.2","X1471.2","X1637.2","Sample1.2","Sample2.2","Sample3.2"
"MSTRG.1951",114,151,138,32,42,69
"MSTRG.18882",196,153,149,38,66,58
"MSTRG.19103",14,5,11,24,21,22
"MSTRG.18855",219,259,220,489,801,709
"MSTRG.18853",13,10,19,31,47,29
"MSTRG.18850",148,109,84,55,19,31
"MSTRG.18851",175,128,120,229,313,222
"MSTRG.8146",4,4,5,16,19,25
"MSTRG.8145",49,33,25,60,43,54
"MSTRG.8148",49,65,60,8,12,25
"MSTRG.8149",8,6,8,17,14,26
"MSTRG.4821",511,303,363,84,51,84
"MSTRG.4823",132,120,117,42,39,52
"MSTRG.4827",96,51,75,31,25,19
"MSTRG.3444",21,23,28,34,43,49
"MSTRG.8497",298,375,267,66,80,74
"MSTRG.3442",102,107,129,231,333,366
"MSTRG.8492",132,110,134,61,54,53
"MSTRG.3448",94,88,93,36,38,43
"MSTRG.4792",384,238,298,156,126,133
"MSTRG.4791",8,12,11,35,32,28
"MSTRG.4795",65,81,88,19,29,35
"MSTRG.4794",859,824,757,1000,1590,1231
"MSTRG.1179",1704,1227,2537,1749,4063,5273
"MSTRG.9368",33,30,33,51,69,49
"MSTRG.12767",1583,1446,1272,2382,2116,2294
"MSTRG.5462",45,49,52,70,54,93
"MSTRG.5463",66,124,111,133,261,284
"MSTRG.5460",256,323,249,349,359,354
"MSTRG.22254",309,215,206,94,87,92
"MSTRG.8807",350,210,299,132,118,140
"MSTRG.8806",596,542,496,886,642,898
"MSTRG.8804",1054,770,872,1405,1046,1559
"MSTRG.8800",12,14,42,79,39,86
"MSTRG.371",1011,872,682,328,306,241
"MSTRG.373",183,123,152,59,64,78
"MSTRG.14960",190,231,230,102,77,117
"MSTRG.14961",104,102,141,169,139,212
"MSTRG.14968",252,246,315,123,142,113
"MSTRG.17434",174,307,145,22,73,24
"MSTRG.11876",165,210,191,60,76,57
"MSTRG.11875",220,180,159,53,40,42
"MSTRG.11874",2898,1849,1930,2651,2727,2815
"MSTRG.11873",297,281,224,103,124,138
"MSTRG.22038",102,127,99,33,28,37
"MSTRG.23342",859,928,719,938,976,1052
"MSTRG.16479",4405,5654,4141,600,454,442
"MSTRG.16472",541,627,388,777,765,768
"MSTRG.16470",1145,1015,945,356,373,423
"MSTRG.11295",178,277,192,348,564,438
"MSTRG.11294",34,75,44,86,223,155
"MSTRG.22695",68,77,53,129,93,70
"MSTRG.24696",1045,794,716,271,239,338
"MSTRG.11124",42,24,66,99,64,91
"MSTRG.11122",2,7,13,15,28,21
"MSTRG.24529",139,178,52,544,358,457
"MSTRG.24528",324,270,227,86,47,59
"MSTRG.14519",96,102,132,39,22,31
"MSTRG.14518",161,102,163,46,25,58
"MSTRG.14510",216,130,200,49,46,64
"MSTRG.13563",81,70,41,109,111,82
"MSTRG.11265",2577,2564,2375,520,488,549
"MSTRG.13382",35,38,33,10,13,7
"MSTRG.13381",167,176,164,293,180,385
"MSTRG.19606",219,148,160,215,390,409
"MSTRG.18956",1206,1178,1091,1549,2014,1752
"MSTRG.18955",255,273,264,24,106,87
"MSTRG.18959",99,38,56,174,76,136
"MSTRG.12382",461,209,219,719,614,693
"MSTRG.12383",1037,635,627,1143,951,969
"MSTRG.12387",321,217,249,331,412,454
"MSTRG.12389",61,78,66,147,164,154
"MSTRG.2619",220,315,250,105,109,107
"MSTRG.2616",238,203,182,326,342,430
"MSTRG.6810",38,45,34,58,118,69
"MSTRG.6811",60,16,39,12,8,9
"MSTRG.6818",206,132,111,251,309,245
"MSTRG.6819",585,525,429,253,267,281
"MSTRG.12409",129,103,98,39,52,44
"MSTRG.8753",50,49,70,74,99,70
"MSTRG.8759",509,358,346,568,674,616
"MSTRG.4616",661,495,459,1141,862,737
"MSTRG.4617",477,542,391,469,643,546
"MSTRG.4614",336,227,284,93,88,106
"MSTRG.4611",104,111,108,27,26,20
"MSTRG.3086",577,444,392,603,669,542
"MSTRG.775",768,479,580,806,1369,1147
"MSTRG.5055",1498,1141,809,2460,1155,1412
"MSTRG.6474",178,211,161,50,33,57
"MSTRG.21128",200,181,132,145,370,288
"MSTRG.6503",8822,10725,7803,1192,2021,1590
"MSTRG.7366",153,159,105,156,246,156
"MSTRG.24325",150,187,179,217,178,271
"MSTRG.14778",31,26,38,108,178,137
"MSTRG.1741",520,640,533,282,281,285
"MSTRG.16867",216,233,209,75,46,50
"MSTRG.1744",395,567,428,637,1455,1119
"MSTRG.15919",290,255,224,322,295,347
"MSTRG.15915",402,343,307,56,23,49
"MSTRG.15917",169,136,116,25,14,13
"MSTRG.15911",122,58,51,132,211,165
"MSTRG.20314",170,91,110,42,32,35
"MSTRG.13812",218,267,308,108,122,134
"MSTRG.12146",10,12,10,26,24,28
"MSTRG.17663",564,595,528,158,126,150
"MSTRG.17668",621,506,494,181,130,155
"MSTRG.3106",82,103,62,16,33,21
"MSTRG.16393",464,434,357,150,189,208
"MSTRG.3109",17,27,25,97,140,120
"MSTRG.11181",765,507,468,638,736,742
"MSTRG.24670",775,718,656,404,279,321
"MSTRG.24672",120,55,73,144,146,160
"MSTRG.16538",91,115,142,17,22,31
"MSTRG.16533",38,39,34,69,64,45
"MSTRG.16531",169,205,195,1203,1071,1205
"MSTRG.16537",539,497,559,918,1283,1328
"MSTRG.11629",99,57,67,11,14,16
"MSTRG.11624",18,16,9,24,25,36
"MSTRG.23137",59,72,70,27,8,16
"MSTRG.23135",173,159,140,76,77,60
"MSTRG.23133",198,237,213,64,66,89
"MSTRG.23138",569,409,396,474,741,562
"MSTRG.3521",9742,11969,9096,1131,993,1250
"MSTRG.18360",108,20,96,21,17,23
"MSTRG.18362",116,173,119,42,67,58
"MSTRG.18365",1220,1045,1014,1121,1394,1300
"MSTRG.10175",35,49,28,54,67,61
"MSTRG.13485",960,843,784,1054,906,994
"MSTRG.14709",71,75,66,26,32,31
"MSTRG.10280",25,22,14,34,54,49
"MSTRG.1244",112,91,107,42,52,40
"MSTRG.1242",1088,733,808,221,213,250
"MSTRG.1243",430,352,257,186,113,131
"MSTRG.10824",85,57,55,24,19,27
"MSTRG.13738",310,275,249,107,101,137
"MSTRG.13737",197,95,155,55,41,66
"MSTRG.13732",2340,2540,2083,2968,3081,3586
"MSTRG.1869",62,86,88,18,27,26
"MSTRG.56",183,230,182,203,424,334
"MSTRG.3406",148,26,123,210,136,270
"MSTRG.3407",23,65,28,54,135,82
"MSTRG.9475",8,9,6,19,32,14
"MSTRG.9477",7,6,7,39,33,33
"MSTRG.9476",132,137,88,48,51,40
"MSTRG.9471",41,34,30,75,116,98
"MSTRG.9470",222,347,193,626,536,532
"MSTRG.25283",516,411,364,470,625,668
"MSTRG.22064",107,164,113,66,41,50
"MSTRG.20484",120,171,132,15,19,36
"MSTRG.20485",141,81,164,189,220,236
"MSTRG.8503",241,196,262,56,70,89
"MSTRG.5156",457,440,427,167,229,263
"MSTRG.5157",69,64,70,75,106,137
"MSTRG.5155",18,23,14,37,42,25
"MSTRG.21685",59,93,54,22,22,17
"MSTRG.21689",92,84,66,119,99,129
"MSTRG.21358",274,252,223,87,80,64
"MSTRG.21351",35,40,39,40,81,65
"MSTRG.11798",68,42,42,13,8,9
"MSTRG.6712",204,159,93,46,53,43
"MSTRG.6719",356,471,359,77,75,117
"MSTRG.6718",7251,9767,6474,1117,1635,1264
"MSTRG.11429",916,706,766,274,377,325
"MSTRG.11425",596,649,833,209,186,270
"MSTRG.11423",84,74,163,22,28,35
"MSTRG.7442",242,240,220,308,459,496
"MSTRG.7440",1059,628,799,174,113,220
"MSTRG.7446",310,202,231,26,40,40
"MSTRG.7444",576,451,444,486,845,580
"MSTRG.132",67,85,61,128,155,156
"MSTRG.23449",109,96,49,21,17,26
"MSTRG.23448",122,129,96,21,32,37
"MSTRG.23446",63,59,57,13,5,15
"MSTRG.23443",246,96,136,35,26,21
"MSTRG.15890",578,372,525,98,52,83
"MSTRG.25841",182,87,65,488,149,208
"MSTRG.25840",110,116,82,171,227,236
"MSTRG.25842",147,63,44,338,99,149
"MSTRG.25848",1068,481,665,1522,735,1316
"MSTRG.14277",8,4,6,18,14,12
"MSTRG.14274",74,25,36,13,8,15
"MSTRG.14275",207,283,229,878,1624,1354
"MSTRG.14272",65,48,65,72,75,90
"MSTRG.14273",833,871,841,1154,1161,1228
"MSTRG.13135",230,228,183,109,82,85
"MSTRG.13130",95,70,68,30,27,29
"MSTRG.12267",582,432,478,282,124,201
"MSTRG.12264",298,265,196,107,135,92
"MSTRG.2463",230,56,228,56,10,62
"MSTRG.11983",384,417,316,710,516,572
"MSTRG.11982",312,338,291,398,526,389
"MSTRG.11981",39,62,65,146,244,225
"MSTRG.9066",363,262,296,480,475,546
"MSTRG.1468",474,521,345,840,662,735
"MSTRG.1467",436,347,331,496,586,667
"MSTRG.1461",676,859,680,298,254,359
"MSTRG.22456",228,224,275,245,344,336
"MSTRG.22452",992,827,805,313,122,166
"MSTRG.22450",615,630,494,270,217,203
"MSTRG.9676",242,187,132,346,303,293
"MSTRG.9674",639,554,494,656,892,883
"MSTRG.4179",210,345,182,67,51,77
"MSTRG.4178",1126,1029,1139,337,231,371
"MSTRG.4176",736,521,599,268,279,329
"MSTRG.10327",58,28,34,11,7,6
"MSTRG.10323",426,212,153,123,52,46
"MSTRG.15663",70,56,29,108,87,62
"MSTRG.16259",1112,805,773,491,385,367
"MSTRG.24572",212,229,148,78,94,86
"MSTRG.16253",238,194,239,68,53,54
"MSTRG.18669",59,19,39,192,116,172
"MSTRG.18668",345,301,319,654,655,782
"MSTRG.18664",23,2,8,60,20,55
"MSTRG.14133",11,10,5,22,14,20
"MSTRG.14540",198,209,206,108,90,92
"MSTRG.14542",663,372,445,712,668,672
"MSTRG.10045",354,553,546,587,1326,1070
"MSTRG.14546",191,182,175,65,92,90
"MSTRG.11617",344,449,741,564,815,1165
"MSTRG.7281",99,166,99,695,1285,1247
"MSTRG.19221",239,240,175,48,48,32
"MSTRG.8263",511,442,430,528,1021,904
"MSTRG.1007",82,114,101,30,19,24
"MSTRG.5343",278,169,264,84,97,103
"MSTRG.5349",671,610,545,981,993,1152
"MSTRG.25231",303,395,305,69,178,116
"MSTRG.25239",181,65,70,41,12,26
"MSTRG.16749",63,53,71,18,16,15
"MSTRG.16744",108,263,153,252,792,424
"MSTRG.16741",207,497,239,313,1290,598
"MSTRG.22612",117,135,130,39,30,47
"MSTRG.17895",449,537,483,1105,1360,1392
"MSTRG.24618",185,290,195,74,66,84
"MSTRG.24616",80,133,79,28,33,43
"MSTRG.24613",302,365,308,114,113,124
"MSTRG.13535",73,69,72,22,20,22
"MSTRG.13537",150,144,137,203,420,344
"MSTRG.17826",70,43,56,20,12,26
"MSTRG.17820",169,69,167,344,179,249
"MSTRG.14333",445,328,320,153,138,173
"MSTRG.14330",1086,1071,847,1547,1620,1647
"MSTRG.10659",112,159,91,38,45,58
"MSTRG.14334",352,236,336,48,36,80
"MSTRG.10655",165,181,186,185,236,279
"MSTRG.10650",30,39,25,91,96,111
"MSTRG.13303",13,26,15,57,43,75
"MSTRG.13305",143,191,194,64,72,65
"MSTRG.13304",62,95,46,25,21,10
"MSTRG.13309",991,803,971,383,360,391
"MSTRG.13308",268,266,213,116,98,84
"MSTRG.17174",177,124,149,69,57,74
"MSTRG.17170",92,64,89,26,42,23
"MSTRG.16886",183,234,88,34,86,58
"MSTRG.16882",49,45,85,110,130,149
"MSTRG.19022",479,637,470,631,749,955
"MSTRG.19027",63,34,55,71,59,95
"MSTRG.3505",475,425,363,437,540,552
"MSTRG.2340",55,51,47,71,137,75
"MSTRG.2345",125,89,97,275,189,192
"MSTRG.2348",800,506,726,142,141,158
"MSTRG.8060",52,82,30,87,106,112
"MSTRG.16221",760,455,733,192,158,198
"MSTRG.16227",117,143,185,62,60,65
"MSTRG.16226",1033,1250,984,2511,2163,2500
"MSTRG.2695",4,7,5,14,27,12
"MSTRG.2690",464,495,427,144,155,141
"MSTRG.2692",6780,6150,5547,1635,1059,1336
"MSTRG.3564",315,387,306,439,504,425
"MSTRG.4695",61,20,41,430,189,507
"MSTRG.4690",1318,1224,796,4558,4725,3629
"MSTRG.18049",1375,939,543,1869,1595,1017
"MSTRG.18046",386,588,369,122,174,118
"MSTRG.1585",744,667,730,268,271,253
"MSTRG.1581",1950,1757,1738,1600,4157,2855
"MSTRG.1589",27,28,43,63,129,87
"MSTRG.1637",33,30,27,5,8,8
"MSTRG.1634",403,383,349,408,420,471
"MSTRG.1632",382,388,395,116,80,94
"MSTRG.19873",13,8,12,24,37,38
"MSTRG.19872",2555,1939,1976,3540,2788,3368
"MSTRG.19870",67,58,45,22,15,20
"MSTRG.15141",21,19,20,42,59,83
"MSTRG.15146",220,223,206,430,620,600
"MSTRG.10510",32,312,189,13,53,38
"MSTRG.10517",510,436,398,195,134,177
"MSTRG.10516",883,727,707,247,63,94
"MSTRG.10515",909,812,784,249,79,151
"MSTRG.5639",98,198,65,34,48,41
"MSTRG.5633",146,150,83,24,33,26
"MSTRG.5632",101,79,103,36,27,28
"MSTRG.5634",96,51,79,91,143,87
"MSTRG.7678",1029,774,779,1841,3161,2519
"MSTRG.7674",138,114,76,57,13,13
"MSTRG.7670",404,361,490,122,68,81
"MSTRG.7672",695,678,436,91,65,94
"MSTRG.7095",88,44,130,193,285,373
