"","X1041.2","X1471.2","X1637.2","Sample1.2","Sample2.2","Sample3.2"
"MSTRG.19849",110,155,137,15,12,26
"MSTRG.19844",334,895,1205,94,253,374
"MSTRG.10523",105,46,69,28,22,26
"MSTRG.10520",142,158,137,37,60,53
"MSTRG.10521",366,324,276,547,916,692
"MSTRG.5666",60,45,32,66,70,92
"MSTRG.3848",1002,757,773,1069,1380,1331
"MSTRG.3849",777,501,587,154,149,115
"MSTRG.3844",89,151,101,217,268,320
"MSTRG.18719",81,89,88,16,22,19
"MSTRG.18718",30,27,21,5,8,4
"MSTRG.18715",58,40,44,13,15,12
"MSTRG.18713",449,279,294,175,120,137
"MSTRG.6314",978,686,734,1084,1071,1241
"MSTRG.6319",285,262,271,68,62,83
"MSTRG.16180",572,718,648,1067,1773,1614
"MSTRG.9990",17,8,14,47,18,36
"MSTRG.9997",557,424,321,751,471,679
"MSTRG.9994",307,267,248,379,317,381
"MSTRG.15172",561,532,374,516,687,648
"MSTRG.20690",363,416,394,131,116,102
"MSTRG.20525",9,15,7,33,41,38
"MSTRG.20521",115,158,188,56,67,64
"MSTRG.17327",70,98,71,32,28,21
"MSTRG.17328",166,215,197,38,77,74
"MSTRG.16053",191,146,124,149,324,217
"MSTRG.16054",629,720,767,347,328,354
"MSTRG.25342",235,160,183,72,90,98
"MSTRG.25343",20,26,16,46,45,30
"MSTRG.25347",231,162,107,295,253,251
"MSTRG.25344",262,276,219,100,148,90
"MSTRG.25345",352,412,253,109,191,152
"MSTRG.5501",151,203,155,45,31,57
"MSTRG.5502",185,90,144,49,64,48
"MSTRG.2025",1051,742,725,306,373,370
"MSTRG.5506",71,33,49,115,57,70
"MSTRG.2024",1533,1374,1300,1500,1957,1978
"MSTRG.22588",24,49,32,46,69,62
"MSTRG.11584",583,451,829,4475,5689,11536
"MSTRG.11583",112,74,187,144,257,411
"MSTRG.11582",136,103,233,1150,1379,2708
"MSTRG.11580",164,163,374,1437,1932,3701
"MSTRG.22581",141,123,123,40,34,52
"MSTRG.22580",1305,1138,1091,646,552,532
"MSTRG.22585",125,91,61,34,18,28
"MSTRG.22586",1104,1128,1002,1205,1115,1227
"MSTRG.16589",1425,1357,1166,1958,2578,2328
"MSTRG.16582",76,57,52,16,23,14
"MSTRG.16583",8976,10116,8086,1523,1814,1666
"MSTRG.16580",292,361,279,1493,2623,2367
"MSTRG.16581",336,317,273,693,1375,945
"MSTRG.23185",106,122,167,59,40,48
"MSTRG.15775",96,94,104,31,20,39
"MSTRG.15776",550,437,359,181,222,266
"MSTRG.10722",158,141,140,25,19,24
"MSTRG.10725",1983,1580,1495,786,689,646
"MSTRG.12769",299,259,307,79,140,143
"MSTRG.12761",42,44,56,12,15,15
"MSTRG.12765",11,16,16,74,62,97
"MSTRG.10892",183,271,172,56,67,53
"MSTRG.10893",169,163,176,58,44,49
"MSTRG.10890",199,95,110,39,20,36
"MSTRG.10891",283,503,502,87,141,119
"MSTRG.10895",311,405,316,62,59,98
"MSTRG.17048",74,79,60,101,136,81
"MSTRG.12494",820,815,656,308,442,404
"MSTRG.3678",193,164,149,357,316,371
"MSTRG.3670",1926,1913,1781,956,760,952
"MSTRG.20813",549,484,469,817,1031,1095
"MSTRG.4907",96,105,68,102,159,172
"MSTRG.4905",1136,914,837,1156,1389,1276
"MSTRG.17821",1056,1468,1020,1667,1697,1712
"MSTRG.18179",920,825,935,240,263,293
"MSTRG.18174",3094,4121,1983,1195,1000,842
"MSTRG.1749",649,470,731,153,161,223
"MSTRG.21634",813,874,1040,339,219,276
"MSTRG.21632",883,718,721,959,1169,1152
"MSTRG.21631",195,297,258,99,102,138
"MSTRG.9242",637,630,554,648,909,838
"MSTRG.9241",5909,6361,5457,8048,8536,8784
"MSTRG.57",30,13,12,30,71,27
"MSTRG.53",10,13,18,47,18,50
"MSTRG.22139",44,93,46,8,28,14
"MSTRG.6299",5,7,7,23,22,28
"MSTRG.6290",24,38,20,77,158,150
"MSTRG.7748",1394,1242,1027,2073,1807,1986
"STRG.18121",23,18,7,28,31,28
"MSTRG.8926",178,142,162,179,226,179
"MSTRG.20226",1048,571,532,1347,1317,1087
"MSTRG.433",2,4,3,39,42,33
"MSTRG.21574",628,451,601,881,1231,1407
"MSTRG.21571",95,70,54,155,246,212
"MSTRG.21572",132,44,104,177,158,167
"MSTRG.14881",768,650,698,709,720,856
"MSTRG.14880",160,130,160,28,31,35
"MSTRG.14886",5506,6791,5234,673,409,574
"MSTRG.14889",49,61,34,14,10,12
"MSTRG.16626",18,30,17,37,43,49
"MSTRG.16624",39,33,24,10,9,9
"MSTRG.16623",345,272,333,70,51,72
"MSTRG.16629",96,49,102,31,8,20
"MSTRG.16628",192,97,184,57,44,64
"MSTRG.11932",127,81,70,96,166,137
"MSTRG.11936",160,192,165,44,76,62
"MSTRG.25683",128,90,97,25,38,40
"MSTRG.25682",31,35,24,31,70,49
"MSTRG.25687",29,17,23,60,103,69
"MSTRG.25686",718,674,671,681,1009,971
"MSTRG.25684",5090,8601,6726,12480,21911,20171
"MSTRG.22790",580,333,367,173,136,120
"MSTRG.22792",229,234,156,261,264,225
"MSTRG.22797",1693,1807,1327,3281,6674,3756
"MSTRG.26082",139,94,121,165,118,179
"MSTRG.26085",190,117,126,246,202,281
"MSTRG.26087",273,175,171,272,288,285
"MSTRG.25908",345,341,250,113,110,112
"MSTRG.24793",380,405,434,518,432,640
"MSTRG.24794",43,79,79,26,20,21
"MSTRG.24798",1179,765,588,1721,1038,1087
"MSTRG.24799",128,169,158,34,52,47
"MSTRG.18567",6525,7348,6245,1011,484,695
"MSTRG.14418",577,875,449,1052,1351,1189
"MSTRG.18563",85,103,37,245,151,97
"MSTRG.18561",370,82,214,1047,325,464
"MSTRG.14413",71,112,82,28,25,37
"MSTRG.14414",1199,785,844,282,188,288
"MSTRG.10917",728,583,506,874,1080,1125
"MSTRG.5024",1403,1222,1169,1081,2230,1802
"MSTRG.12519",1427,1416,1209,2084,1753,1791
"MSTRG.12511",25,32,40,10,7,6
"MSTRG.19765",406,317,312,458,437,510
"MSTRG.12514",2415,2666,2202,965,532,740
"MSTRG.2719",125,131,120,155,170,178
"MSTRG.2718",10040,11221,10029,2018,2192,2374
"MSTRG.2710",32,27,17,46,108,78
"MSTRG.7940",590,493,506,545,544,627
"MSTRG.19189",44,273,67,10,34,15
"MSTRG.19187",141,216,189,174,316,353
"MSTRG.25864",356,311,308,557,480,507
"MSTRG.9894",176,76,184,43,10,63
"MSTRG.9891",12,22,40,40,45,87
"MSTRG.20027",245,167,236,100,47,103
"MSTRG.20021",286,284,148,805,985,736
"MSTRG.631",435,414,301,533,482,562
"MSTRG.8416",1973,2010,1674,2246,3838,3295
"MSTRG.4712",67,140,141,175,255,333
"MSTRG.4717",244,264,299,89,92,118
"MSTRG.20790",37,34,26,54,50,54
"MSTRG.20798",37001,46566,36405,9112,8628,8745
"MSTRG.20799",459,358,344,89,56,67
"MSTRG.986",1756,794,801,2568,1302,1761
"MSTRG.985",194,68,94,45,19,43
"MSTRG.984",217,236,187,187,334,323
"MSTRG.980",456,341,345,176,189,146
"MSTRG.989",965,973,943,1078,1171,1206
"MSTRG.21776",150,123,170,173,243,170
"MSTRG.21775",2211,2382,1872,4107,4474,4140
"MSTRG.5399",2455,2868,1876,4079,2581,3434
"MSTRG.5975",63,83,61,108,124,117
"MSTRG.5976",751,706,527,967,1000,979
"MSTRG.7530",352,243,260,340,373,337
"MSTRG.24500",43,77,49,123,186,175
"MSTRG.24006",12,13,10,47,34,40
"MSTRG.22511",1026,253,848,167,86,142
"MSTRG.1409",1644,513,1092,458,186,417
"MSTRG.23857",82,23,73,14,15,15
"MSTRG.23859",381,281,307,81,40,100
"MSTRG.21987",217,296,237,125,103,118
"MSTRG.13918",20,28,14,49,28,32
"MSTRG.13919",105,52,68,391,263,267
"MSTRG.12061",359,272,291,86,114,152
"MSTRG.12062",299,294,204,125,105,114
"MSTRG.12067",309,312,274,319,375,313
"MSTRG.17746",60,19,18,151,100,119
"MSTRG.17743",72,49,39,114,107,79
"MSTRG.17748",72,73,98,164,154,211
"MSTRG.24859",260,360,352,109,90,126
"MSTRG.3024",250,177,111,84,33,38
"MSTRG.3026",484,634,357,185,284,171
"MSTRG.24852",238,167,284,78,87,130
"MSTRG.24855",1225,3291,1964,475,943,776
"MSTRG.16297",201,193,200,106,87,89
"MSTRG.16294",188,246,161,259,220,289
"MSTRG.4555",49,41,55,11,12,2
"MSTRG.9701",169,243,224,397,365,407
"MSTRG.9700",286,524,499,100,141,143
"MSTRG.25726",21,34,27,46,90,46
"MSTRG.2860",7,7,4,15,15,18
"MSTRG.4080",1222,922,837,377,362,466
"MSTRG.13708",228,174,99,52,27,34
"MSTRG.18243",57,38,64,9,7,7
"MSTRG.18247",101,204,79,16,27,11
"MSTRG.18245",40,72,46,13,26,13
"MSTRG.18249",212,215,198,216,287,247
"MSTRG.18248",161,180,118,206,315,258
"MSTRG.14598",163,130,123,55,64,40
"MSTRG.18794",333,244,217,68,28,39
"MSTRG.17989",88,112,79,32,32,41
"MSTRG.17988",36,42,36,104,125,179
"MSTRG.19684",634,530,486,549,912,702
"MSTRG.19680",59,73,67,173,197,115
"MSTRG.19682",239,154,163,374,355,348
"MSTRG.13079",125,100,134,49,60,51
"MSTRG.13071",1907,1082,1615,3896,3878,4588
"MSTRG.13074",303,210,189,91,63,74
"MSTRG.19537",92,80,70,14,17,8
"MSTRG.12304",851,593,597,866,895,824
"MSTRG.12305",38,41,33,55,51,64
"MSTRG.12306",42,69,98,23,27,16
"MSTRG.19531",27,72,74,6,8,9
"MSTRG.2038",2027,1759,1422,2083,2124,2149
"MSTRG.7048",897,853,714,1159,860,1033
"MSTRG.7041",135,48,33,16,9,16
"MSTRG.1993",4,18,5,17,30,41
"MSTRG.1996",1708,1153,1031,1670,2503,1549
"MSTRG.1997",288,261,312,67,53,49
"MSTRG.3415",138,104,58,153,234,165
"MSTRG.20611",103,84,66,39,29,19
"MSTRG.20610",145,105,84,50,30,31
"MSTRG.5404",87,54,52,91,91,109
"MSTRG.3416",302,100,82,62,45,52
"MSTRG.5503",356,340,363,641,906,740
"MSTRG.5408",89,111,80,154,110,124
"MSTRG.19999",918,813,660,1070,1256,967
"MSTRG.5586",202,364,379,56,71,125
"MSTRG.21256",445,389,390,127,121,125
"MSTRG.21257",5493,3732,4030,2159,2049,2127
"MSTRG.21252",4,13,6,9,20,33
"MSTRG.6585",1012,779,881,951,1031,1083
"MSTRG.6587",348,200,252,138,106,123
"MSTRG.22503",368,346,412,123,87,83
"MSTRG.22505",360,277,282,342,619,487
"MSTRG.6054",895,559,640,245,135,175
"MSTRG.6055",521,390,383,206,85,151
"MSTRG.6050",1972,2119,2320,377,279,290
"MSTRG.6051",793,287,504,86,32,76
"MSTRG.6058",161,124,117,165,196,151
"MSTRG.6059",37,70,95,113,144,202
"MSTRG.23672",397,316,310,84,115,112
"MSTRG.23673",1326,1326,1084,1280,1413,1398
"MSTRG.15991",227,202,151,74,78,97
"MSTRG.14021",12,11,7,44,14,16
"MSTRG.20938",5686,7629,5238,411,468,381
"MSTRG.14701",282,547,304,107,112,151
"MSTRG.10224",139,136,84,47,45,43
"MSTRG.19334",990,721,824,1482,980,1378
"MSTRG.19335",97,31,53,121,102,155
"MSTRG.19332",460,442,462,564,626,650
"MSTRG.19333",293,196,231,83,91,142
"MSTRG.2235",158,248,157,249,547,427
"MSTRG.2232",175,82,119,17,13,29
"MSTRG.2581",103,82,77,24,21,26
"MSTRG.13899",7,11,5,16,22,21
"MSTRG.18646",468,822,415,120,115,155
"MSTRG.1387",521,561,587,864,962,1021
"MSTRG.18642",189,215,190,362,508,504
"MSTRG.1385",762,649,593,995,943,1153
"MSTRG.6178",5,18,19,1336,2650,2619
"MSTRG.3189",129,48,70,126,173,156
"MSTRG.22261",101,70,59,14,12,16
"MSTRG.22266",30,13,33,60,162,122
"MSTRG.4328",160,145,170,32,33,32
"MSTRG.4329",26,40,15,40,65,67
"MSTRG.19560",203,130,132,75,57,38
"MSTRG.15034",258,296,224,97,103,93
"MSTRG.10207",1088,896,726,1331,2055,1965
"MSTRG.10206",491,386,407,110,170,157
"MSTRG.10204",11292,12212,9854,2129,3042,2254
"MSTRG.5741",66,84,104,13,14,10
"MSTRG.17385",786,614,599,622,1133,933
"MSTRG.18450",128,143,138,47,59,61
"MSTRG.6214",107,49,45,113,78,143
"MSTRG.6210",36,41,32,82,113,96
"MSTRG.19473",1180,1068,1036,1168,1238,1209
"MSTRG.19472",532,414,491,229,248,227
"MSTRG.19471",240,184,123,52,75,70
"MSTRG.19477",1426,1067,1055,2779,4692,3755
"MSTRG.124",389,318,375,605,642,744
"MSTRG.127",58,68,55,20,22,22
"MSTRG.126",147,112,132,33,21,33
"MSTRG.8307",155,107,108,57,61,45
"MSTRG.8302",472,362,400,724,884,928
"MSTRG.8303",893,738,610,1820,1416,1666
"MSTRG.21864",2,5,3,19,38,21
"MSTRG.12132",683,559,479,571,666,714
"MSTRG.12130",530,363,326,532,496,499
"MSTRG.16514",6489,7826,6873,2411,2067,2694
"MSTRG.20400",521,654,464,481,983,685
"MSTRG.17207",61,90,65,19,23,20
"MSTRG.16155",134,75,57,219,499,250
"MSTRG.16154",27,22,46,49,192,96
"MSTRG.16157",60,13,41,54,120,79
"MSTRG.16152",52,87,66,100,110,91
"MSTRG.5263",307,327,260,134,128,167
"MSTRG.11319",58,62,40,15,21,16
"MSTRG.11315",20,24,19,40,61,47
"MSTRG.26005",214,274,179,218,354,313
"MSTRG.26006",176,179,283,284,307,343
"MSTRG.947",727,606,909,200,131,178
"STRG.13205",11,7,12,17,29,23
"MSTRG.24719",130,144,118,56,45,36
"MSTRG.24713",10743,10243,9693,1816,1558,2030
"MSTRG.24710",310,266,249,280,300,372
"MSTRG.24711",714,700,837,1184,1609,1294
"MSTRG.24716",149,149,129,157,178,164
"MSTRG.10449",178,199,146,68,51,58
"MSTRG.15549",1329,1245,1532,4047,4159,5719
"MSTRG.15548",297,187,215,300,250,280
"MSTRG.17945",680,587,613,108,116,81
"MSTRG.17946",255,199,170,71,58,75
"MSTRG.17949",510,846,843,153,127,183
"MSTRG.17948",197,318,260,97,72,74
"MSTRG.10995",564,310,323,136,104,120
"MSTRG.10993",1386,1360,1188,1520,1681,1798
"MSTRG.10992",199,181,139,78,81,78
"MSTRG.1952",178,207,178,68,86,93
"MSTRG.1953",8372,7155,4393,2946,2578,1960
