gene_id,1101,1548,1628,Sample4,Sample5,Sample6
adi2mcaRNA16492_R3,172,69,0,51,51,5
g15977,0,1,0,7,8,14
g15976,0,0,0,8,18,18
g15971,51,20,18,34,58,39
g15970,70,13,11,38,42,31
g15972,35,3,7,6,6,5
adi2mcaRNA14110_R3,0,0,0,0,88,9
g15979,0,0,0,0,1,6
g15978,0,0,0,1,1,3
g53536,19,18,16,13,31,27
g62577,0,0,0,43,59,44
adi2mcaRNA29813_R5,0,0,4,44,44,102
g62575,431,367,256,43,33,42
g62574,203,208,245,15,25,24
g15182,258,481,543,5,30,24
g62571,4,0,2,28,42,47
g62570,6,3,11,123,136,168
g15183,1164,833,1010,13,9,7
g37221,135,148,209,19,42,20
adi2mcaRNA16564_R4,11,14,6,21,58,43
g21902,71,38,128,49,63,53
g25351,0,1,0,19,79,33
adi2mcaRNA22121_R5,0,0,0,55,70,52
adi2mcaRNA4115_R2,20,47,96,6,8,11
g37223,2854,7154,2877,152,314,268
g7651,58,44,43,6,14,11
g58309,397,104,186,94,129,129
g21906,1383,1003,531,88,198,113
g34359,0,0,0,64,81,70
g44629,13,3,0,34,55,48
g1587,594,612,668,42,102,72
g14852,43,34,36,23,19,22
g19436,0,0,0,4,4,7
g7655,0,0,0,11,0,19
g28011,1789,1167,1028,10,28,32
adi2mcaRNA13733_R5,0,0,4,5,12,5
g45917,0,0,0,0,7,14
g32646,2,0,0,10,23,21
adi2mcaRNA36756_R1,28,17,19,21,41,27
g32640,0,0,0,24,25,10
g32641,0,0,0,5,17,10
g32642,0,0,0,7,29,12
g45911,0,0,0,24,30,23
g55555,302,347,439,25,40,67
adi2mcaRNA16564_R8,14,3,3,40,21,20
g32648,1,12,10,26,55,46
g32649,0,0,10,14,36,17
g45918,0,3,0,15,70,99
adi2mcaRNA3536_R0,1249,1165,989,20,28,53
g40393,765,129,178,61,43,62
g40392,486,200,232,22,31,25
g40391,1101,752,622,128,127,101
g40390,2729,1846,1780,75,111,82
g40397,2145,709,721,116,105,106
adi2mcaRNA28071_R4,0,0,0,9,51,7
g40399,9,5,4,11,14,11
g40398,588,247,135,136,87,42
g37038,1381,30,25,79,161,96
g37039,170,54,24,46,61,46
g38028,231,113,121,31,35,37
g38029,120,42,57,14,24,16
g38026,166,46,51,32,63,43
g38027,830,638,1038,6,5,17
g38024,179,82,77,43,93,76
g38025,410,199,180,59,83,102
g37030,0,0,0,26,78,47
g38023,471,367,415,14,35,25
g37032,833,440,372,51,105,80
g38021,299,242,329,20,29,20
g29473,0,0,0,21,28,10
g29472,0,0,0,17,18,16
g29471,853,706,856,67,106,99
g29470,675,419,576,21,20,14
g29477,6,5,0,8,16,1
g36348,6,21,22,46,101,68
g29475,0,0,0,36,39,27
g44513,0,0,0,42,54,5
adi2mcaRNA24862_R1,3,5,0,20,37,41
g36344,149,143,175,49,126,86
g36347,30,8,20,9,10,11
g36346,46,50,104,15,17,25
g36343,212,100,179,133,217,191
adi2mcaRNA19725_R9,236,185,76,150,110,109
g25292,92,21,82,36,41,50
adi2mcaRNA20722_R2,0,0,0,16,10,13
adi2mcaRNA20722_R3,0,0,2,18,14,19
g55552,0,4,14,19,34,33
adi2mcaRNA16263_R7,0,0,44,3,2,13
g19474,71,0,7,96,44,87
g19475,99,6,145,148,53,180
g19476,31,0,6,17,11,36
g19477,32,2,30,107,107,188
adi2mcaRNA16562_R7,0,2,0,12,12,12
g19471,0,0,0,22,4,14
g19472,0,0,0,22,4,30
g19473,0,0,0,11,4,12
adi2mcaRNA17743_R4,205,138,487,9,26,20
g19478,1,0,0,10,12,20
g19479,0,0,0,10,7,9
adi2mcaRNA17743_R1,89,47,178,2,8,6
adi2mcaRNA19029_R3,0,0,0,23,34,20
g37690,426,250,282,28,50,27
g22738,227,1852,1424,57,41,39
g37692,457,269,561,16,26,25
g37694,0,0,0,3,13,19
g37695,2,0,0,11,35,30
g70928,0,0,0,8,28,13
g37697,5,3,0,8,17,14
g37698,4,8,4,21,40,22
g37699,1,2,0,12,23,19
g22735,163,946,1087,36,50,60
g22734,236,525,374,63,105,95
g22737,0,0,0,22,17,20
g22736,0,0,0,11,18,11
g56708,314,566,132,23,86,38
g30826,0,0,0,34,67,48
g25961,0,0,0,65,106,88
g25963,0,0,4,7,17,16
g25962,1423,621,1487,22,56,33
g25965,4,0,0,3,8,26
g6639,0,0,0,25,16,23
g25967,0,12,37,42,77,51
g25966,1011,49,198,42,82,76
g25969,4847,3835,2729,227,424,291
g25968,9,20,0,37,44,40
g10232,0,0,0,0,0,2
adi2mcaRNA23975_R0,1139,804,572,49,98,77
g31698,181,193,179,48,88,62
g31699,2171,1412,1222,51,89,75
adi2mcaRNA8188_R0,1145,307,487,34,27,25
adi2mcaRNA7590_R5,66,32,172,41,28,47
g31693,0,30,8,83,94,106
g31696,204,101,99,24,22,63
g31697,1583,1311,1319,51,89,73
g31694,11,2,16,183,264,236
g31695,5,4,48,72,136,120
g37968,48,32,79,5,14,12
g37969,5,0,8,19,51,34
g37962,18,17,36,14,30,15
g10239,7,10,2,21,19,22
g37960,3,1,3,61,73,17
g37961,554,303,154,17,24,6
g37966,9,4,10,25,21,7
g37967,5,8,3,35,47,63
g44860,3,3,2,16,43,21
g10238,0,0,0,0,0,0
g33278,282,179,142,46,65,43
g41119,8,5,4,18,28,17
g60950,0,0,3,20,41,40
g33272,365,355,395,11,6,7
g41113,147,50,30,44,92,51
adi2mcaRNA29507_R0,113,67,62,17,42,33
g56704,0,0,0,38,44,35
g33277,66,49,71,24,47,21
g33274,0,0,0,0,0,0
g33275,97,76,4,15,22,10
g31524,0,0,0,10,16,9
g31525,0,4,3,18,50,22
g31526,1,0,0,16,49,11
g31527,0,0,0,4,14,3
g31520,5,9,5,116,168,136
g70988,6,5,9,70,120,85
g31522,0,0,0,34,73,53
g23207,7,0,0,40,50,61
g70985,0,3,0,14,33,26
g70984,3,0,0,27,62,26
g70987,4,0,4,21,49,38
g70986,0,11,6,137,187,164
g31529,0,0,5,121,114,106
g70982,1,0,0,10,41,31
g8219,3,4,4,27,47,21
g8218,17,0,29,14,0,34
g8217,0,0,0,12,0,27
g8216,0,0,0,4,6,3
g8215,0,0,0,3,0,0
g8214,0,0,0,2,0,3
g8213,0,0,0,8,0,0
g8212,9,0,1,22,20,37
g8211,11,0,0,8,0,0
g23066,0,0,0,5,12,7
g18704,974,752,866,34,75,37
g18707,0,0,0,4,12,12
g18706,0,2,0,22,9,16
g18701,887,612,424,34,91,45
g18700,0,0,0,2,12,6
g18703,275,187,227,32,100,56
g18702,27,71,55,33,111,113
g66983,145,10,262,21,6,36
g66980,8,4,0,22,5,11
g23201,0,0,1,25,56,39
g18709,181,60,101,76,64,82
g66987,2,0,23,0,0,7
g66984,2,0,0,3,2,4
g66985,0,0,0,0,0,0
g67056,10,22,17,75,79,83
g67055,646,397,929,5,11,8
g67052,5668,4439,4787,88,168,193
g67051,5,1,0,30,45,46
g67050,13,5,0,86,146,105
g67059,0,0,0,8,13,11
adi2mcaRNA10635_R1,837,406,336,50,68,55
adi2mcaRNA19016_R4,9,0,0,14,55,18
g70922,4,0,0,31,61,47
g71329,2,0,0,18,24,17
g24998,191,95,95,36,78,77
adi2mcaRNA17358_R6,401,272,496,67,213,307
adi2mcaRNA26197_R7,4,7,0,25,31,21
g48421,0,0,0,14,22,13
g48420,3,4,15,39,48,76
g48422,0,0,0,25,22,23
g61068,1265,797,693,44,74,49
g20602,289,222,131,12,32,21
g48427,31,38,37,8,23,19
g11954,62,31,62,36,45,32
g61065,4,1,3,5,15,7
g61066,0,0,0,44,77,72
g61067,0,0,0,29,65,41
g655,115,25,20,15,21,22
g61061,274,322,175,39,65,41
g20609,0,0,0,26,35,29
g20608,0,0,0,4,13,8
g24772,190,139,53,32,59,53
g24771,0,3,5,3,0,2
g24770,17,7,5,41,62,59
g24779,57,42,83,19,29,24
g24778,646,345,423,47,60,58
g55558,478,271,198,109,191,119
g23660,0,0,0,26,34,25
g9168,0,0,0,7,35,6
g9169,0,0,0,7,6,1
g9166,0,0,0,27,64,0
g65982,0,0,0,45,33,34
g9164,2,5,0,7,20,9
g65987,0,0,0,35,42,33
g9163,4,11,0,18,42,12
g9160,0,10,0,21,40,11
g9161,0,0,0,12,25,5
g68852,0,0,1,4,13,6
adi2mcaRNA786_R1,0,0,0,61,89,86
g59270,0,11,10,12,25,21
g59271,38,66,91,35,60,36
g59276,16,139,17,217,230,220
g59277,12,0,0,15,17,23
g58014,545,274,360,22,30,42
g48393,0,0,0,10,17,6
g48392,29,0,40,116,104,102
g48391,0,0,6,39,43,48
g48390,0,0,0,23,16,48
g48397,0,0,6,20,21,8
g48396,1,0,0,43,28,15
g48395,55,33,0,17,26,12
g48394,13,5,8,46,100,65
adi2mcaRNA19062_R9,0,0,0,66,75,91
adi2mcaRNA35816_R0,3619,3909,2276,258,443,368
g68855,184,654,1696,75,147,135
g46411,0,0,0,5,6,13
g58017,0,0,0,9,14,18
g44945,0,0,0,10,0,0
g13911,163,247,301,25,101,54
g13910,14,7,21,24,92,33
g13913,2,3,5,14,14,21
g13912,69,0,6,18,74,97
g13915,10,3,8,4,2,4
g13914,0,217,91,44,147,91
g13916,41,5,51,4,8,15
g39330,4,1,0,5,10,10
g13918,60,11,82,10,13,34
g65369,15,33,30,11,25,24
g65368,41,7,11,61,143,104
g65367,0,9,0,39,104,42
g65366,3,4,0,30,58,18
g65365,2,0,0,5,17,19
adi2mcaRNA25571_R0,0,0,0,45,85,82
g65361,6,5,9,12,19,17
g65360,15,0,0,60,74,61
adi2mcaRNA22408_R2,376,573,107,21,24,24
adi2mcaRNA34187_R1,88,39,92,33,43,50
g26601,0,0,0,0,0,0
g26603,0,0,0,6,18,0
g26602,0,0,0,6,0,0
g26605,0,0,0,0,0,0
g26607,0,0,0,2,2,3
g26606,0,0,0,4,25,14
g26609,0,0,0,0,0,0
g26608,0,0,0,0,0,0
adi2mcaRNA38796_R1,16,7,9,17,36,17
g39290,11,11,25,53,77,44
adi2mcaRNA26726_R0,0,0,0,17,29,33
g27959,19,14,32,34,66,34
g27956,415,221,234,15,26,21
g27957,338,183,221,53,58,64
g27954,9,5,12,37,84,54
g27955,0,1,0,46,73,45
g27953,0,0,0,20,53,21
g27950,3,0,3,47,74,37
g27951,0,0,0,17,23,22
g60852,7,0,2,10,25,26
g60853,23,0,4,24,72,42
g60851,17,7,3,43,43,61
g60856,5,2,2,25,61,49
g60857,0,7,2,24,40,30
g60854,16,0,0,13,40,17
g63765,0,0,0,12,24,29
g60858,12,11,14,20,46,44
g60859,0,0,0,18,37,30
g63764,0,0,0,11,10,19
g3150,0,0,0,15,33,33
g3153,5,0,0,7,35,11
adi2mcaRNA18136_R1,0,0,0,11,36,14
g3155,15,0,0,60,113,67
g3154,0,0,0,9,24,6
g3157,0,0,0,6,9,7
g3156,0,0,0,14,23,21
g3159,0,0,0,3,8,9
g3158,0,0,0,30,53,56
g63766,0,0,0,20,38,78
g20570,20,12,6,17,17,3
g3291,1,2,0,16,31,21
g29808,0,0,1,6,6,10
g29809,0,0,1,13,19,17
adi2mcaRNA40367_R7,61,197,65,47,186,115
g29800,29,24,29,0,23,12
g29807,2,11,5,5,19,10
g68544,99,73,77,42,44,58
adi2mcaRNA29768_R9,0,0,0,39,56,52
g35738,12,3,0,33,32,16
adi2mcaRNA29768_R3,0,0,0,52,66,48
adi2mcaRNA29768_R2,0,0,0,8,9,11
adi2mcaRNA29768_R6,0,0,0,43,54,44
adi2mcaRNA29768_R5,0,0,0,0,34,19
adi2mcaRNA24078_R2,0,9,33,8,36,50
adi2mcaRNA24078_R0,13,49,11,48,108,33
g26978,2,4,0,25,39,19
g55300,11,49,19,50,73,44
adi2mcaRNA9480_R1,28,8,8,75,103,109
adi2mcaRNA9480_R0,43,14,11,85,142,111
g37089,0,0,0,12,6,9
adi2mcaRNA9480_R2,0,0,3,79,191,124
adi2mcaRNA38235_R4,10,6,28,5,0,21
adi2mcaRNA38235_R5,7,7,9,6,11,16
adi2mcaRNA39874_R5,0,0,0,19,38,22
adi2mcaRNA39874_R6,0,3,15,34,69,69
adi2mcaRNA39874_R0,23,29,0,27,75,34
adi2mcaRNA39874_R1,9,9,0,41,77,75
adi2mcaRNA39874_R2,34,7,0,37,111,11
adi2mcaRNA39874_R3,4,3,0,64,54,47
adi2mcaRNA39874_R8,4,0,4,9,22,45
adi2mcaRNA29808_R0,0,0,0,10,15,13
adi2mcaRNA29808_R1,0,0,0,13,6,9
adi2mcaRNA29808_R2,12,16,8,15,25,28
adi2mcaRNA29808_R3,0,0,0,11,15,17
adi2mcaRNA29808_R6,2,2,3,13,34,13
adi2mcaRNA37323_R1,93,28,6,13,21,16
g41354,35,270,112,64,79,79
g35732,0,0,5,10,11,16
g23419,0,0,0,38,54,192
g12618,0,0,0,22,57,39
g36478,88,47,24,52,124,108
g68548,621,409,336,39,81,54
g23418,0,0,0,15,22,149
g68549,718,539,586,66,104,95
adi2mcaRNA8479_R1,0,0,0,0,13,46
adi2mcaRNA3366_R8,4,12,29,39,44,40
adi2mcaRNA5269_R1,1,2,0,17,26,27
g60661,0,0,0,3,31,0
adi2mcaRNA35619_R0,60,42,42,27,62,61
g5412,28,26,27,9,8,0
g5413,0,0,0,32,36,31
g5410,5,3,7,5,5,9
g5416,536,474,423,38,45,44
g5417,39,37,49,141,133,264
g5414,72,8,12,36,29,43
g5415,412,264,191,78,109,82
adi2mcaRNA13580_R0,2076,1104,995,80,130,118
g5418,118,12,79,57,51,76
g23410,0,3,0,32,74,24
g60660,1,0,2,17,52,8
g63039,627,245,387,52,72,59
adi2mcaRNA16409_R8,0,0,0,17,43,30
g66048,328,140,210,39,63,58
g63035,165,515,179,52,30,37
g63034,17,0,17,14,8,18
g63037,4,6,22,73,92,107
g66044,0,0,0,26,23,37
g66043,0,0,0,10,20,19
g66042,226,37,211,59,26,37
g63033,3445,2246,2293,68,41,64
g66040,210,182,59,29,96,27
adi2mcaRNA10307_R0,352,304,328,22,47,40
adi2mcaRNA5406_R2,0,0,0,19,12,68
adi2mcaRNA5406_R1,0,0,0,15,63,109
adi2mcaRNA5406_R0,4,21,11,104,131,166
g9948,0,2,0,4,4,8
adi2mcaRNA5406_R5,0,0,0,34,80,62
adi2mcaRNA5406_R4,0,0,0,28,72,56
g68913,0,0,0,3,7,7
g68912,0,0,0,0,1,0
g9946,684,396,1011,35,76,57
g68910,2,0,15,20,17,14
g9940,0,0,0,4,6,6
g68916,0,0,0,4,3,3
g9942,715,294,848,3,10,8
g68914,0,0,0,0,3,2
g54947,2710,2219,1369,98,157,130
g54946,80,55,66,24,44,35
g57368,3,1,0,17,14,11
g54944,2591,1569,1437,26,48,43
g54943,3112,1589,1023,63,54,72
g54942,1771,1272,2297,14,11,16
g54941,660,459,438,43,40,47
g19261,0,0,0,2,7,10
g57362,7,0,12,43,58,60
g57363,4,0,0,6,10,29
g57360,0,3,0,20,25,26
g57361,3,4,0,20,69,39
g57366,0,1,2,10,20,27
g57367,5,6,9,61,104,94
g57364,3,0,0,9,13,19
g54948,154,88,53,23,38,35
g67444,1,8,0,5,35,4
g21831,0,0,0,10,12,15
adi2mcaRNA9928_R5,50,55,12,19,43,15
g26409,12,10,11,34,60,53
g39073,0,0,0,7,16,3
adi2mcaRNA22857_R4,4,4,3,7,10,10
adi2mcaRNA22857_R3,0,0,3,35,73,60
g19260,264,120,212,17,29,50
g26524,20,20,11,94,139,82
g32960,1027,699,529,150,252,191
adi2mcaRNA4648_R0,0,0,0,30,20,33
adi2mcaRNA4648_R1,0,0,0,0,25,0
adi2mcaRNA4648_R7,0,0,0,16,37,37
adi2mcaRNA4648_R4,0,0,0,22,12,25
g6090,0,4,0,0,0,63
g32965,437,543,315,113,245,213
adi2mcaRNA26413_R0,1555,954,728,41,82,70
g11669,2,4,2,23,44,37
g11668,768,280,479,28,34,50
g26525,0,0,0,13,45,34
g32967,458,481,180,46,86,78
g11660,437,103,101,10,27,27
adi2mcaRNA18786_R9,0,0,0,5,0,29
g11662,0,0,0,30,50,39
g11665,8808,5360,3191,25,53,31
g11664,6,0,0,6,13,1
g11667,4,0,4,17,16,26
g10392,0,0,0,3,3,4
g42277,0,0,0,15,9,6
g10390,6,0,2,6,13,9
g10391,0,6,0,32,14,6
g10396,0,2,0,10,2,1
g10397,0,2,0,5,21,3
g48248,131,143,133,8,13,11
g35538,0,2,0,5,5,1
g10398,61,25,60,49,32,28
g17623,714,765,522,49,89,95
g17622,36,28,65,6,18,17
g17621,17,12,37,11,11,10
g17627,0,39,0,15,21,18
g17626,0,0,0,1,17,2
g17625,86,96,82,7,47,9
g17624,514,545,416,29,61,39
g17629,0,25,0,0,7,0
g17628,0,392,0,0,42,0
adi2mcaRNA13127_R1,80,54,50,100,145,103
adi2mcaRNA35334_R3,105,81,9,54,66,24
adi2mcaRNA35334_R7,25,66,128,27,132,99
adi2mcaRNA35334_R6,34,78,91,36,153,156
g54079,4,7,3,46,97,42
g39577,17,82,96,26,75,82
adi2mcaRNA28186_R8,0,6,0,4,22,0
g39575,1,4,12,10,34,27
g39574,0,0,0,9,58,21
g39573,0,0,0,79,192,181
g39572,1,0,1,27,93,48
g39571,27,81,62,33,64,49
g54076,6,2,1,19,31,8
g39578,0,0,1,7,34,24
g60074,7462,4614,3036,25,62,38
g60075,577,397,462,12,12,16
g60076,200,98,320,21,33,19
g60077,2,59,47,17,40,17
g60073,1022,752,154,76,133,97
g68261,0,0,0,4,9,4
g68260,1,0,0,1,2,2
