gene_id,1101,1548,1628,Sample4,Sample5,Sample6
g16981,115,37,141,65,34,93
g16980,3,0,5,8,0,7
g16983,0,0,0,48,37,56
adi2mcaRNA10886_R1,0,0,0,14,7,9
g16985,10,1,14,13,9,13
g16984,46,0,0,43,11,42
g16987,3,0,2,21,14,32
g16986,0,0,0,2,4,7
g16989,3,0,0,7,7,5
g16988,46,5,158,18,25,35
adi2mcaRNA17502_R0,1387,1096,1979,50,82,50
g47168,447,299,221,82,172,93
g21716,419,265,446,27,66,50
g21717,41,0,37,68,185,123
g21714,181,135,156,18,24,12
g21715,16,3,0,88,145,124
g51269,0,5,0,25,43,46
g21713,697,342,443,73,83,105
g21710,504,364,1190,11,15,0
g21711,0,2,1,16,27,10
adi2mcaRNA14205_R5,0,0,0,14,7,14
adi2mcaRNA14205_R4,11,24,6,55,62,42
adi2mcaRNA14205_R6,0,0,0,26,75,17
adi2mcaRNA14205_R3,0,0,0,27,5,40
g66605,0,0,0,31,11,0
g53688,0,2,0,12,19,14
adi2mcaRNA13045_R0,601,462,656,18,55,41
g53680,10,18,14,74,104,67
g53683,0,0,0,20,14,13
g53682,0,0,0,24,14,18
g53685,0,0,0,14,14,11
g53684,0,0,0,68,76,32
g53686,0,0,0,16,30,22
g21769,0,0,5,2,41,39
g43896,0,0,0,7,19,13
g35549,4182,2449,1737,308,411,387
g50136,36,24,41,56,118,129
g50137,31,81,29,17,27,14
g50134,0,0,0,16,15,6
g50135,0,0,0,158,79,107
g50132,11,0,8,18,21,36
g50133,210,173,96,35,88,40
g50130,7155,10509,5824,587,824,849
adi2mcaRNA29958_R1,0,15,101,21,20,11
g50138,0,2,0,23,51,23
g50139,3,3,0,18,28,24
g44627,0,0,0,9,13,1
g15185,1388,969,1474,36,79,57
g44625,0,10,0,14,42,9
g44624,0,10,0,19,84,7
g53537,0,0,0,9,0,4
g44622,0,0,0,15,13,13
g44621,17,34,15,29,54,51
g58302,22156,6233,6955,72,66,79
g7652,2780,2214,2280,26,40,40
g7653,852,535,508,57,66,67
g7650,221,127,171,0,11,11
g53538,0,0,0,15,36,32
g7656,0,0,0,19,6,30
g15189,0,0,0,8,24,21
g7654,0,0,0,26,1,15
g44628,0,19,0,27,53,32
g58616,49,29,26,8,6,15
adi2mcaRNA10208_R3,8,1,0,16,34,22
adi2mcaRNA10208_R0,2,3,1,5,17,12
g55567,14,25,11,13,26,14
g55564,48,28,23,21,22,28
g55565,1009,476,697,41,55,52
g55560,3,0,12,51,61,10
g10899,182,0,32,5,0,7
g22550,194,90,118,35,82,46
g66606,0,0,0,3,1,15
g36541,15,16,28,30,56,47
adi2mcaRNA14205_R8,5,2,7,20,28,20
adi2mcaRNA22685_R2,0,0,0,26,76,59
adi2mcaRNA22685_R3,3,0,2,45,129,70
adi2mcaRNA22685_R1,62,0,8,19,23,19
adi2mcaRNA22685_R8,50,0,18,22,24,20
g47617,10,2,0,31,60,42
g17328,508,488,634,28,36,36
g66601,0,0,1,5,10,17
adi2mcaRNA28746_R0,285,231,359,5,16,8
adi2mcaRNA28746_R1,222,0,57,9,3,5
adi2mcaRNA5769_R9,31,139,30,41,69,57
adi2mcaRNA5769_R5,0,0,0,17,28,40
g68850,0,0,2,4,14,10
g68851,0,0,6,7,7,24
g68856,0,0,0,2,21,3
g68857,24,19,26,47,43,63
g68854,0,0,0,6,19,14
adi2mcaRNA12403_R0,560,317,359,66,102,77
g53150,0,4,13,15,44,23
g14589,0,0,0,17,37,40
g14588,38,0,87,16,34,23
g14583,44,1,61,14,20,17
g14582,0,20,8,6,17,9
g14581,2,21,10,23,34,26
g14580,3,19,10,9,17,10
g14587,0,0,0,21,13,19
g14586,1,0,4,20,13,15
g14585,0,0,0,7,7,6
g14584,0,0,0,5,8,14
g10808,74,44,61,43,47,57
g10809,794,434,477,103,125,108
g10803,0,0,4,24,11,21
g10800,0,0,0,3,5,3
g10801,0,0,0,15,11,9
g10806,29,27,169,0,8,4
g10807,459,273,230,9,26,19
g10804,0,0,0,20,50,24
g10805,1,0,0,15,17,6
g5897,1,0,1,15,25,34
g4307,24,14,35,6,10,13
g4306,2,0,0,29,72,53
g4301,0,0,3,12,21,27
g4303,0,0,0,16,9,44
g4302,0,0,0,6,21,31
g11402,1,4,4,32,72,61
g4309,280,717,282,27,68,44
g4308,0,0,0,1,9,0
g42702,0,6,2,35,57,55
g42703,0,1,1,6,24,16
g42700,0,0,0,13,14,14
g42701,0,0,0,43,79,65
g42706,0,0,0,22,28,35
adi2mcaRNA36670_R8,0,0,0,36,16,18
g42704,0,0,0,29,48,40
g42705,0,3,0,9,30,23
adi2mcaRNA36670_R5,0,0,0,6,20,25
g42708,0,0,0,11,34,16
adi2mcaRNA36670_R6,0,0,0,30,47,38
adi2mcaRNA36670_R0,0,0,0,39,65,67
adi2mcaRNA36670_R3,0,0,13,36,34,26
adi2mcaRNA36670_R2,0,0,4,27,22,23
g5650,3,6,0,19,30,54
g5651,0,0,0,27,20,32
g5652,0,0,0,26,35,27
adi2mcaRNA7802_R2,135,83,143,10,22,22
g5654,0,0,0,12,4,21
g5655,0,0,0,28,0,54
g5656,0,0,0,57,52,80
g5658,0,0,0,10,22,14
g5659,0,0,0,18,25,27
g23754,269,187,165,18,28,20
adi2mcaRNA1478_R5,0,0,0,43,86,80
g65410,48,23,4,46,80,61
g40638,281,127,111,118,266,173
g40639,0,0,0,6,4,0
g40634,0,0,0,0,0,0
g39886,0,0,3,3,3,12
g40636,0,0,0,21,32,24
g40637,0,8,2,23,62,42
g40630,0,0,0,7,14,11
g39882,0,0,10,2,12,20
g39881,0,71,139,2,80,66
g39880,21,9,55,74,83,100
adi2mcaRNA34667_R2,5,0,67,55,176,114
adi2mcaRNA34667_R7,3,0,0,11,47,39
adi2mcaRNA34667_R5,9,0,46,36,124,103
adi2mcaRNA34667_R4,3,0,0,98,129,171
adi2mcaRNA34667_R9,3,0,0,23,65,67
adi2mcaRNA34667_R8,6,0,0,53,43,41
adi2mcaRNA24340_R0,73,48,257,18,41,47
adi2mcaRNA24340_R1,175,56,294,32,38,47
g1379,14,37,7,2,14,10
g1378,197,113,75,16,30,24
g45288,9,18,32,38,60,69
g45289,213,63,106,39,51,36
g45286,28,11,26,13,26,7
g1372,0,4,0,23,7,16
g1371,195,48,86,66,52,62
g1370,13,33,0,1,19,3
g1377,343,183,432,34,49,44
g45283,46,22,56,176,231,278
g1375,231,114,121,22,40,29
g45281,758,209,471,58,43,48
g16756,0,0,0,14,14,9
g13801,0,0,0,21,36,37
adi2mcaRNA29406_R2,44,63,33,34,122,51
g39778,33,12,50,22,27,16
adi2mcaRNA29406_R0,262,172,220,39,60,45
adi2mcaRNA22450_R1,1657,598,342,29,56,39
g53157,171,106,120,47,35,52
g189,0,0,0,18,25,26
g39770,35,9,15,17,18,14
g39773,0,0,0,0,0,2
g39772,0,0,0,13,23,30
g39774,0,0,0,0,0,4
g39777,0,3,0,30,46,31
g22613,2,0,0,6,15,8
g1087,4,7,0,25,48,29
g1089,14,13,1,10,25,11
g1088,16,11,1,4,17,12
g6001,0,0,0,2,4,13
g51982,14,8,17,104,147,117
g56917,0,0,0,13,30,18
g6003,0,0,0,9,8,0
g69680,2335,1793,3140,79,29,105
adi2mcaRNA13696_R1,0,0,0,5,14,11
adi2mcaRNA38633_R0,892,509,707,62,97,55
adi2mcaRNA20482_R4,9,0,0,51,80,51
g53159,221,148,168,27,69,42
g51988,0,0,0,8,15,11
g67163,101,87,149,22,28,28
g35607,0,0,0,23,17,19
g51989,0,0,0,0,23,0
adi2mcaRNA38428_R1,0,4,22,0,27,57
adi2mcaRNA38428_R3,0,0,0,46,67,59
adi2mcaRNA38428_R4,0,0,0,0,28,41
g41948,67,22,37,56,57,57
g27315,0,3,3,15,36,33
g41945,0,0,0,18,21,23
g41944,1,2,5,29,44,39
g41947,12,5,3,44,44,50
g187,0,1,0,51,64,15
g41941,3850,2506,2040,72,96,91
g41940,1303,774,320,37,52,58
g41943,1,1,0,18,56,23
g41942,2607,766,2811,134,180,166
g53158,757,720,618,38,47,44
g53854,2,2,5,21,14,22
g31431,0,0,6,10,6,22
adi2mcaRNA18344_R1,0,0,0,21,186,86
adi2mcaRNA21193_R0,5298,3614,7883,23,32,19
g50131,0,0,0,15,15,24
g47557,5,8,10,9,13,14
g31437,17,13,22,46,88,40
g6688,23,16,30,16,38,17
g6689,3,4,0,18,28,21
g31434,33,35,22,19,84,55
g6682,70,118,71,19,34,20
g6683,46,75,41,24,62,51
g6680,6,0,4,22,35,12
g5046,332,224,358,16,39,24
g6687,208,407,87,15,47,19
g6684,0,0,0,19,49,38
g6685,740,319,244,23,40,21
g33597,0,0,0,7,7,12
g28439,123,26,39,14,14,12
g33595,437,285,949,6,13,13
g33594,396,353,502,25,36,41
g33593,144,93,63,15,9,17
g33592,741,352,400,41,63,94
g30945,0,6,5,59,63,62
g33590,668,494,616,28,54,53
g28431,11,8,20,16,41,30
g28432,2,4,10,13,22,10
g28433,36,0,31,13,35,40
g28434,0,0,0,8,12,5
g28436,0,1,0,3,5,5
g33598,1710,1150,1147,42,28,38
g47622,0,0,0,22,14,14
g255,0,0,0,10,31,15
g47620,3,7,3,10,27,21
g70168,1,11,32,4,28,22
g47626,65,36,48,39,35,27
g47627,1935,1068,1496,46,76,88
g71007,772,426,606,13,18,17
g253,6,1,5,13,15,14
g39876,1013,720,449,267,447,385
g70161,33,53,0,77,105,46
g70160,0,0,0,14,2,2
g70167,0,0,0,4,0,13
g259,2,2,6,13,24,30
g70165,8,0,0,7,0,0
adi2mcaRNA615_R0,26,4,5,35,36,27
adi2mcaRNA17763_R1,0,0,0,20,42,18
adi2mcaRNA17763_R0,0,0,0,15,18,16
adi2mcaRNA17763_R3,0,0,0,5,9,12
g6533,0,0,0,3,19,7
adi2mcaRNA16492_R9,611,255,478,80,91,161
adi2mcaRNA19502_R1,388,160,350,25,44,59
adi2mcaRNA17763_R7,0,14,14,13,52,30
adi2mcaRNA17763_R6,0,28,43,18,31,31
g6539,13,3,5,43,152,49
adi2mcaRNA615_R2,6,0,9,25,63,67
adi2mcaRNA16492_R1,231,182,118,106,90,21
adi2mcaRNA16492_R0,335,732,832,73,154,113
