gene_id,1041,1471,1637,Sample1,Sample2,Sample3
XLOC_017763,0,0,0,5,1,4
XLOC_017762,0,0,0,4,4,3
XLOC_017761,0,0,1,1,1,1
XLOC_017760,0,0,0,12,6,5
XLOC_017767,1,0,6,15,10,12
XLOC_017766,19,12,9,16,19,16
XLOC_017765,8,2,0,2,12,9
XLOC_017764,9,0,0,4,3,3
XLOC_017769,2,6,0,3,10,4
XLOC_017768,0,2,3,11,13,17
XLOC_036010,0,7,7,11,24,10
XLOC_013472,12792,8384,6810,98260,42503,55341
XLOC_036012,203,263,215,156,217,197
XLOC_013470,86,0,24,113,5,58
XLOC_036014,62,47,50,30,35,78
XLOC_036015,95,144,149,122,147,178
XLOC_013475,165,90,63,338,179,252
XLOC_036017,323,668,221,569,1190,538
XLOC_036018,426,181,267,239,138,190
XLOC_036019,8334,6014,6241,2248,948,1591
XLOC_013479,4,0,0,5,9,3
XLOC_013478,0,0,4,2,0,0
XLOC_025892,11,0,20,183,82,90
XLOC_012259,11,0,11,26,27,14
XLOC_014111,3,0,0,28,13,5
XLOC_026999,30,16,20,8,0,4
XLOC_026994,11,15,0,88,20,64
XLOC_026995,0,0,0,0,0,0
XLOC_026996,6,0,13,5,2,0
XLOC_026997,0,0,0,1,2,0
XLOC_026990,2,0,1,20,15,14
XLOC_026991,0,0,2,5,4,2
XLOC_026992,80,75,56,94,46,70
XLOC_026993,0,0,0,0,0,0
XLOC_014110,0,0,0,1,3,1
XLOC_002419,0,0,0,0,0,0
XLOC_035971,213,173,223,924,694,838
XLOC_013473,11704,10223,8965,4330,2838,3935
XLOC_036011,21,15,5,43,39,55
XLOC_027447,690,633,584,494,432,462
XLOC_013471,2737,1110,1242,1659,786,871
XLOC_014112,2,0,0,7,3,0
XLOC_036013,104,92,101,108,152,113
XLOC_002411,0,0,0,32,0,0
XLOC_013477,14,9,9,13,12,5
XLOC_002410,0,0,0,36,13,0
XLOC_013476,0,0,3,12,10,6
XLOC_026338,23,26,20,21,15,21
XLOC_026339,0,0,4,7,4,2
XLOC_036016,417,220,329,463,278,530
XLOC_026330,0,5,0,0,3,0
XLOC_026331,0,5,0,0,0,0
XLOC_026332,2113,933,1128,859,284,669
XLOC_013474,1109,710,818,326,154,231
XLOC_026334,164,219,112,279,259,247
XLOC_026335,613,324,422,118,273,63
XLOC_026336,9,14,5,26,11,20
XLOC_026337,38,15,27,61,47,28
XLOC_025973,16,8,0,26,15,16
XLOC_025972,10,8,8,39,22,34
XLOC_025971,76,78,50,206,90,155
XLOC_025970,10,8,9,32,24,27
XLOC_025977,2,0,5,3,2,3
XLOC_025976,527,567,198,338,354,138
XLOC_025975,4,6,0,5,10,2
XLOC_025974,0,2,0,0,3,0
XLOC_025979,841,57,368,240,59,198
XLOC_025978,0,0,0,2,9,0
XLOC_014908,0,0,0,0,3,0
XLOC_014909,0,0,2,2,10,0
XLOC_014906,221,271,33,43,57,75
XLOC_014907,39,51,48,35,46,30
XLOC_014904,1171,695,842,424,396,420
XLOC_014905,499,306,295,480,277,414
XLOC_014902,135,103,119,241,157,199
XLOC_014903,1499,770,755,819,839,918
XLOC_014900,433,251,215,1126,555,724
XLOC_014901,264,163,233,203,188,162
XLOC_034625,0,56,12,10,61,19
XLOC_034624,119,118,85,94,118,61
XLOC_034627,81,60,51,157,120,119
XLOC_034626,85,46,39,50,26,41
XLOC_034621,109,37,104,83,113,109
XLOC_015265,642,476,608,2505,2661,2754
XLOC_015059,0,0,0,4,3,3
XLOC_015058,0,0,0,3,9,2
XLOC_034623,264,153,214,147,159,116
XLOC_015053,10,0,5,2,0,0
XLOC_015052,670,360,463,365,322,349
XLOC_015051,0,9,8,15,22,29
XLOC_034622,10,0,8,26,24,12
XLOC_015057,565,200,259,246,75,177
XLOC_015056,0,0,0,3,0,0
XLOC_015055,862,665,425,1147,1185,1078
XLOC_015054,251,104,259,199,44,197
XLOC_015268,82,42,72,85,73,52
XLOC_020643,17683,9465,11775,15943,6481,13948
XLOC_005029,0,0,0,291,309,262
XLOC_005028,489,405,283,3151,2896,2529
XLOC_005027,124,123,114,171,219,153
XLOC_020646,508,370,352,394,202,302
XLOC_005025,142,76,85,174,93,197
XLOC_005024,60,74,47,118,64,121
XLOC_005023,142,95,70,272,202,205
XLOC_005022,535,464,502,393,210,346
XLOC_005021,1141,712,714,2828,2363,2598
XLOC_005020,399,270,294,165,224,225
XLOC_017855,0,0,0,2,0,0
XLOC_023469,4,10,3,0,0,6
XLOC_023468,0,0,0,0,0,0
XLOC_028419,0,0,0,8,2,6
XLOC_027475,0,0,0,0,8,5
XLOC_023463,110,84,59,159,84,143
XLOC_023462,0,0,0,3,0,8
XLOC_023461,0,0,10,0,17,0
XLOC_023460,0,0,0,6,4,0
XLOC_023467,0,0,0,0,0,0
XLOC_023466,42,41,22,24,24,9
XLOC_023465,6,2,3,4,0,2
XLOC_023464,0,8,3,16,4,4
XLOC_010108,166,137,114,59,61,86
XLOC_010109,2701,1789,1656,3311,1762,2632
XLOC_024208,0,0,0,10,7,0
XLOC_024209,1100,622,641,497,336,436
XLOC_024206,20,31,14,13,14,15
XLOC_010103,261,187,256,104,64,73
XLOC_010100,81,68,123,62,88,87
XLOC_024205,9,0,0,14,3,0
XLOC_010106,66,63,104,40,25,24
XLOC_010107,65,82,75,75,50,70
