gene_id,54,57,65
g54061,77,24,36
g108,62,56,63
g15637,26,8,17
g50337,121,115,97
g7388,85,53,82
g58739,14,5,7
g5887,10,2,8
g28907,94,55,83
g11501,10,12,16
adi2mcaRNA24278_R1,35,13,28
g45431,50,52,28
g43802,9,0,4
g65497,42,24,26
g5730,44,42,39
g15173,32,9,5
g51029,13,10,6
g4459,513,279,457
g42981,46,21,55
g28794,36,36,25
g60295,24,28,23
adi2mcaRNA26632_R2,3,7,32
adi2mcaRNA29288_R0,35,39,83
g460,35,29,31
adi2mcaRNA17116_R1,65,31,46
adi2mcaRNA37268_R3,265,147,70
g49742,9,4,7
adi2mcaRNA14647_R7,66,43,74
adi2mcaRNA32436_R0,50,43,67
g3806,42,16,30
g18776,21,17,19
g30968,39,34,12
g1609,79,52,107
g62895,49,15,29
g57181,1,1,2
g38211,146,83,124
g62766,36,23,55
g35288,88,44,66
g58775,52,36,54
g16911,9,3,12
g23578,66,51,33
g33075,35,37,26
g71518,25,11,19
g52403,22,8,24
g67936,18,12,17
g64086,52,56,55
g38705,66,40,25
g18383,21,11,14
g28972,31,32,38
adi2mcaRNA6978_R1,26,19,0
adi2mcaRNA9997_R0,41,32,23
g42216,695,400,586
g36147,34,1,16
adi2mcaRNA557_R2,15,6,7
adi2mcaRNA30038_R0,38,32,15
g18054,25,17,21
g59868,2,17,8
adi2mcaRNA27471_R6,21,26,36
g19500,18,25,6
g38614,23,14,21
g26872,43,13,28
g29691,72,26,40
g44966,0,7,13
adi2mcaRNA34277_R0,160,81,115
g41983,19,11,26
adi2mcaRNA4629_R1,28,12,16
g6535,88,50,90
g48303,47,28,32
g57717,12,9,18
adi2mcaRNA3015_R8,39,15,24
g7669,0,16,2
adi2mcaRNA36098_R3,199,46,94
g13768,72,69,129
g68735,20,0,0
g60548,114,102,98
g56637,116,111,67
g7799,43,66,37
g64717,5,6,17
g13011,18,23,9
g54783,71,33,38
g53686,25,15,22
g29990,64,24,34
g65221,36,19,28
g35588,19,17,18
adi2mcaRNA28976_R3,49,11,26
g34065,19,33,26
g1648,25,17,27
g52894,59,38,62
g38387,48,18,16
g59667,24,13,16
adi2mcaRNA4380_R0,155,91,123
g39126,10,23,20
adi2mcaRNA20797_R2,73,38,17
g69239,40,1,25
g36186,238,158,173
adi2mcaRNA19438_R1,68,37,85
g64,4,4,31
g5613,14,6,15
g62089,50,22,44
g47362,39,34,45
g6264,25,11,18
g61357,43,22,48
adi2mcaRNA21588_R0,74,43,51
g63457,17,25,30
g34094,20,10,17
g12741,44,34,39
g10940,14,8,26
g63944,75,36,74
g9117,30,17,0
adi2mcaRNA21790_R0,143,56,141
g57874,0,30,34
g68635,29,18,17
g1419,8,0,14
g26219,42,19,41
g383,45,12,49
g32542,0,2,3
g8359,19,17,28
g66245,25,29,14
g23385,14,20,26
g39652,102,42,62
adi2mcaRNA36820_R2,61,21,34
g41237,20,27,15
g24796,27,16,17
g8212,20,23,38
g4252,33,26,30
g27950,77,45,37
adi2mcaRNA20264_R8,27,22,7
adi2mcaRNA14348_R7,6,5,12
g29641,369,214,330
g69605,8,5,3
g54980,40,12,41
g10355,22,17,23
g19199,40,28,20
g12336,73,37,50
adi2mcaRNA5543_R1,18,9,3
adi2mcaRNA23307_R4,91,54,0
g45889,10,16,1
g19602,54,29,45
g69749,10,13,25
g6667,45,27,29
g42949,24,4,8
adi2mcaRNA29768_R3,66,56,54
g63082,50,23,36
g47105,25,21,9
g35626,39,22,21
adi2mcaRNA13304_R3,6,4,3
g43310,98,71,110
g9205,32,26,51
g27844,20,6,15
adi2mcaRNA12571_R0,24,13,19
g27198,213,168,227
g34858,169,58,61
g37874,5,2,5
adi2mcaRNA34705_R5,9,11,14
g3258,15,7,9
g14888,146,110,188
g43119,164,116,136
g62994,16,12,7
g62722,39,38,36
g50259,14,15,7
g601,56,52,66
g17887,69,46,70
g36462,13,14,20
adi2mcaRNA24363_R8,0,18,0
adi2mcaRNA37519_R2,42,14,20
g32807,10,10,18
g1982,37,39,17
adi2mcaRNA22058_R4,39,47,40
g61564,42,23,12
g34853,22,13,49
g59606,24,8,16
g20534,54,36,46
g67334,33,33,44
g64544,61,44,27
g35685,21,15,44
g46826,46,29,47
g55529,53,19,46
g65220,147,128,133
g15664,7,5,13
adi2mcaRNA2054_R0,151,97,141
g32255,37,74,94
g16763,4,2,2
g36424,142,86,100
g38109,85,63,67
g49605,43,24,42
g51332,10,1,10
g25938,33,23,21
g38102,125,100,136
g44639,9,25,7
g55775,32,19,8
g36396,5,7,3
g36482,34,19,33
g16990,24,33,30
g8375,16,6,12
g29645,0,12,22
g39484,54,56,50
g41806,19,5,14
g46182,32,18,31
