transcript_id,54,57,65
g19965.t1,39,66,50
g43090.t1,11,5,11
g850.t1,134,64,63
g10873.t1,24,11,23
g66004.t1,58,56,40
g2471.t1,53,22,29
g1391.t1,39,2,61
g481.t1,128,97,118
g69532.t1,46,24,25
g35515.t1,27,16,29
g55876.t1,13,6,5
adi2mcaRNA38950_R5.t1,23,29,47
g36437.t1,31,16,26
g13630.t1,7,5,6
g62955.t1,9,4,1
g48803.t1,25,32,35
g68337.t1,140,80,103
g48152.t1,211,119,134
g45678.t1,28,14,31
g38695.t1,108,63,53
g32935.t1,17,5,16
g22100.t1,20,20,18
adi2mcaRNA2149_R0.t1,66,27,42
g38570.t1,25,1,12
g9213.t1,0,2,2
g50544.t1,38,9,16
adi2mcaRNA20062_R4.t1,0,7,22
g67234.t1,17,10,8
g46667.t1,1,0,2
adi2mcaRNA38740_R0.t1,23,39,28
g10942.t1,73,36,57
g24038.t1,26,10,22
g32977.t1,35,34,59
g37387.t1,123,62,93
g3559.t1,41,0,2
g23788.t1,43,7,4
g27643.t1,81,23,52
g11206.t1,873,554,767
adi2mcaRNA22733_R0.t1,117,99,116
g57037.t1,27,13,10
g17821.t1,12,6,12
g70557.t1,51,35,41
g20003.t1,174,158,234
g64333.t1,21,4,5
g70519.t1,54,20,46
adi2mcaRNA28245_R7.t1,60,14,43
g32067.t1,74,67,60
g43474.t1,44,28,29
g1675.t1,32,13,19
g1729.t1,7,4,16
g49868.t1,37,17,29
g19733.t1,65,18,28
g55839.t1,17,14,18
g56607.t1,36,5,24
adi2mcaRNA36409_R5.t1,11,0,13
g50030.t1,12,4,8
adi2mcaRNA14548_R4.t1,73,50,61
g55699.t1,44,47,26
g56411.t1,53,36,62
g49910.t1,16,8,10
g55010.t1,0,3,0
g69739.t1,17,6,4
g47309.t1,21,5,17
g52956.t1,62,38,31
g68007.t1,37,26,50
g16582.t1,86,55,85
g56501.t1,184,133,143
g58658.t1,25,15,29
g7912.t1,0,0,30
g21541.t1,0,20,0
g30560.t1,124,48,111
g48336.t1,57,19,31
g4139.t1,25,8,14
g61986.t1,511,256,395
g57640.t1,40,32,27
g66897.t1,32,18,23
adi2mcaRNA25229_R1.t1,43,28,40
g55786.t1,34,18,27
adi2mcaRNA32387_R0.t1,146,85,86
g12495.t1,16,0,7
g55318.t1,43,23,41
adi2mcaRNA26142_R8.t1,0,4,0
g14266.t1,11,8,27
adi2mcaRNA21074_R1.t1,124,93,114
g27348.t1,41,22,21
g124.t1,110,34,29
g2509.t1,56,33,65
g33939.t1,44,49,44
g16896.t1,132,23,45
g23045.t1,71,41,53
g49726.t1,37,0,0
g61928.t1,27,19,13
g50366.t1,272,140,226
g58666.t1,41,52,46
adi2mcaRNA33429_R2.t1,17,13,13
g20930.t1,12,8,11
g12153.t1,17,4,22
g60311.t1,62,33,39
g1178.t1,84,55,50
g9870.t1,29,14,29
adi2mcaRNA10172_R0.t1,337,186,241
g7705.t1,6,16,25
g61261.t1,15,16,10
