Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
1041_1	pass	0.0	warn	136.693215308	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	18573932.0	pass	fail	warn	43.0	51.0080015756	1041_1.fastq	pass	pass
1041_1P	pass	0.0	warn	147.979988691	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	11415345.0	pass	fail	warn	43.0	55.6849879016	1041_1P	pass	pass
1041_1U	pass	0.0	warn	118.694913116	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	7158587.0	pass	fail	pass	43.0	64.4484252223	1041_1U	pass	pass
1041_2	pass	0.0	warn	141.821765793	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	11442983.0	pass	warn	warn	43.0	66.8193426225	1041_2.fastq	pass	pass
1041_2P	pass	0.0	warn	141.890319565	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	11415345.0	pass	warn	warn	43.0	66.8381356903	1041_2P	pass	pass
1041_2U	pass	0.0	pass	113.506946957	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	27638.0	pass	warn	warn	42.0	97.886967219	1041_2U	fail	pass
1101_1	pass	0.0	warn	136.693215308	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	18573932.0	pass	fail	warn	43.0	51.0080015756	1101_1.fastq	pass	pass
1101_1P	pass	0.0	warn	148.817477194	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	14279432.0	pass	fail	warn	43.0	61.751079179	1101_1P	pass	pass
1101_1U	pass	0.0	pass	108.746577097	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	7289061.0	pass	fail	pass	43.0	70.769040324	1101_1U	pass	pass
1101_2	pass	0.0	warn	141.821765793	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	11442983.0	pass	warn	warn	43.0	66.8193426225	1101_2.fastq	pass	pass
1101_2P	pass	0.0	warn	146.570999043	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	14279432.0	pass	fail	warn	43.0	63.4302337717	1101_2P	pass	pass
1101_2U	pass	0.0	pass	124.483069977	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	19935.0	pass	fail	warn	44.0	98.5352395285	1101_2U	warn	pass
1471_1	pass	0.0	warn	136.693215308	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	18573932.0	pass	fail	warn	43.0	51.0080015756	1471_1.fastq	pass	pass
1471_1P	pass	0.0	warn	146.712279077	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	8494238.0	pass	warn	warn	45.0	54.8468055096	1471_1P	fail	pass
1471_1U	pass	0.0	warn	121.551258062	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	8387783.0	pass	warn	warn	44.0	56.4795884398	1471_1U	fail	pass
1471_2	pass	0.0	warn	141.821765793	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	11442983.0	pass	warn	warn	43.0	66.8193426225	1471_2.fastq	pass	pass
1471_2P	pass	0.0	warn	142.874337992	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	fail	8494238.0	pass	fail	fail	46.0	55.278565211	1471_2P	pass	pass
1471_2U	pass	0.0	pass	131.500341456	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	fail	55644.0	pass	fail	fail	45.0	90.8561569981	1471_2U	fail	pass
1548_1P	pass	0.0	warn	149.00208652	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	11642352.0	pass	fail	pass	45.0	68.3618922288	1548_1P	pass	pass
1548_1U	pass	0.0	pass	107.456654328	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	5942208.0	pass	fail	pass	45.0	76.3535802019	1548_1U	pass	pass
1548_2P	pass	0.0	warn	146.394784576	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	11642352.0	pass	fail	pass	45.0	69.9205016866	1548_2P	pass	pass
1548_2U	pass	0.0	pass	121.66319234	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	warn	16502.0	pass	fail	warn	45.0	99.1637377288	1548_2U	warn	pass
1628_1P	pass	0.0	warn	148.921453398	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	13860676.0	pass	fail	pass	42.0	59.1889319817	1628_1P	pass	pass
1628_1U	pass	0.0	warn	107.438693493	Sanger / Illumina 1.9	pass	warn	36-150	Conventional base calls	pass	pass	7711033.0	pass	fail	pass	43.0	67.3114730698	1628_1U	pass	pass
